"RK",TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS"
"1",1,"Christian McCaffrey",CAR,"24.4"
"2",1,"Dalvin Cook",MIN,"21.0"
"3",1,"Derrick Henry",TEN,"19.6"
"4",2,"Alvin Kamara",NO,"19.7"
"5",2,"Ezekiel Elliott",DAL,"11.4"
"6",2,"Nick Chubb",CLE,"16.0"
"7",2,"Jonathan Taylor",IND,"14.5"
"8",2,"Saquon Barkley",NYG,"4.7"
"9",2,"Aaron Jones",GB,"15.1"
"10",2,"Tyreek Hill",KC,"16.1"
"11",2,"Davante Adams",GB,"17.4"
"12",3,"Stefon Diggs",BUF,"12.6"
"13",3,"Calvin Ridley",ATL,"12.8"
"14",3,"Travis Kelce",KC,"13.9"
"15",3,"Antonio Gibson",WAS,"11.9"
"16",3,"Joe Mixon",CIN,"13.1"
"17",3,"DeAndre Hopkins",ARI,"10.8"
"18",3,"D.K. Metcalf",SEA,"11.8"
"19",3,"A.J. Brown",TEN,"12.7"
"20",3,"George Kittle",SF,"9.6"
"21",3,"Justin Jefferson",MIN,"11.6"
"22",4,"Patrick Mahomes II",KC,"25.4"
"23",4,"Austin Ekeler",LAC,"11.1"
"24",4,"Darren Waller",LV,"10.7"
"25",4,"Clyde Edwards-Helaire",KC,"10.8"
"26",4,"J.K. Dobbins",BAL,"10.0"
"27",4,"Terry McLaurin",WAS,"9.1"
"28",4,"Najee Harris",PIT,"0"
"29",4,"Allen Robinson II",CHI,"10.1"
"30",4,"Mike Evans",TB,"11.2"
"31",4,"Keenan Allen",LAC,"10.4"
"32",4,"Chris Carson",SEA,"12.6"
"33",4,"David Montgomery",CHI,"14.1"
"34",5,"CeeDee Lamb",DAL,"9.0"
"35",5,"Chris Godwin",TB,"10.5"
"36",5,"Julio Jones",TEN,"10.6"
"37",5,"Amari Cooper",DAL,"9.1"
"38",5,"D'Andre Swift",DET,"11.1"
"39",5,"Josh Jacobs",LV,"13.2"
"40",5,"Miles Sanders",PHI,"11.9"
"41",5,"D.J. Moore",CAR,"9.7"
"42",5,"Robert Woods",LAR,"9.7"
"43",5,"Josh Allen",BUF,"25.3"
"44",5,"Adam Thielen",MIN,"12.0"
"45",5,"Kenny Golladay",NYG,"9.2"
"46",5,"Cooper Kupp",LAR,"7.8"
"47",5,"Darrell Henderson",LAR,"7.6"
"48",6,"Kyler Murray",ARI,"24.4"
"49",6,"Mark Andrews",BAL,"8.0"
"50",6,"Lamar Jackson",BAL,"22.8"
"51",6,"Brandon Aiyuk",SF,"10.4"
"52",6,"Myles Gaskin",MIA,"12.3"
"53",6,"Tyler Lockett",SEA,"10.3"
"54",6,"T.J. Hockenson",DET,"6.8"
"55",6,"Tee Higgins",CIN,"8.0"
"56",6,"Odell Beckham Jr.",CLE,"9.1"
"57",6,"Dak Prescott",DAL,"27.7"
"58",6,"Diontae Johnson",PIT,"8.9"
"59",6,"Kareem Hunt",CLE,"11.3"
"60",6,"Courtland Sutton",DEN,"6.6"
"61",6,"Kyle Pitts",ATL,"0"
"62",6,"Chase Claypool",PIT,"9.6"
"63",6,"Mike Davis",ATL,"9.8"
"64",6,"Ja'Marr Chase",CIN,"0"
"65",6,"D.J. Chark Jr.",JAC,"7.7"
"66",6,"Russell Wilson",SEA,"23.3"
"67",7,"Travis Etienne",JAC,"0"
"68",7,"Damien Harris",NE,"8.6"
"69",7,"Aaron Rodgers",GB,"24.2"
"70",7,"Justin Herbert",LAC,"22.9"
"71",7,"Raheem Mostert",SF,"10.5"
"72",7,"Jerry Jeudy",DEN,"6.6"
"73",7,"Chase Edmonds",ARI,"7.2"
"74",7,"Robby Anderson",CAR,"8.1"
"75",7,"Deebo Samuel",SF,"6.8"
"76",7,"Melvin Gordon III",DEN,"11.1"
"77",7,"JuJu Smith-Schuster",PIT,"8.6"
"78",7,"Ronald Jones II",TB,"11.3"
"79",7,"Brandin Cooks",HOU,"10.1"
"80",7,"Dallas Goedert",PHI,"6.4"
"81",7,"James Robinson",JAC,"14.4"
"82",7,"Javonte Williams",DEN,"0"
"83",7,"Will Fuller V",MIA,"12.4"
"84",7,"Tyler Boyd",CIN,"7.6"
"85",7,"Noah Fant",DEN,"5.8"
"86",7,"Curtis Samuel",WAS,"9.0"
"87",7,"Robert Tonyan",GB,"7.8"
"88",7,"Tom Brady",TB,"21.9"
"89",7,"Jalen Hurts",PHI,"7.5"
"90",7,"Ryan Tannehill",TEN,"21.9"
"91",7,"DeVonta Smith",PHI,"0"
"92",8,"David Johnson",HOU,"12.2"
"93",8,"Zack Moss",BUF,"6.7"
"94",8,"Leonard Fournette",TB,"7.4"
"95",8,"Jarvis Landry",CLE,"7.7"
"96",8,"Michael Thomas",NO,"6.3"
"97",8,"Mike Williams",LAC,"7.0"
"98",8,"Matthew Stafford",LAR,"16.9"
"99",8,"James Conner",ARI,"10.0"
"100",8,"Michael Gallup",DAL,"7.1"
"101",8,"Joe Burrow",CIN,"17.9"
"102",8,"Laviska Shenault Jr.",JAC,"7.1"
"103",8,"Tyler Higbee",LAR,"5.6"
"104",8,"Logan Thomas",WAS,"6.5"
"105",8,"Mike Gesicki",MIA,"7.1"
"106",8,"Trey Sermon",SF,"0"
"107",8,"Marquise Brown",BAL,"7.8"
"108",8,"Michael Carter",NYJ,"0"
"109",8,"DeVante Parker",MIA,"7.4"
"110",8,"AJ Dillon",GB,"3.5"
"111",8,"Antonio Brown",TB,"9.0"
"112",8,"Corey Davis",NYJ,"9.0"
"113",8,"Gus Edwards",BAL,"7.5"
"114",8,"Kenyan Drake",LV,"11.1"
"115",8,"Michael Pittman Jr.",IND,"4.5"
"116",8,"Matt Ryan",ATL,"18.3"
"117",8,"Irv Smith Jr.",MIN,"5.3"
"118",8,"Latavius Murray",NO,"7.5"
"119",8,"Devin Singletary",BUF,"6.6"
"120",8,"Marvin Jones Jr.",JAC,"9.5"
"121",9,"Kirk Cousins",MIN,"19.9"
"122",9,"Trevor Lawrence",JAC,"0"
"123",9,"Tony Pollard",DAL,"5.8"
"124",9,"Jamaal Williams",DET,"6.9"
"125",9,"Rob Gronkowski",TB,"6.5"
"126",9,"Jaylen Waddle",MIA,"0"
"127",9,"T.Y. Hilton",IND,"7.2"
