PLAYER NAME,GAMES,BOOM,STARTER,BUST
Cooper Kupp,16,56.3,93.8,0
Josh Allen,16,43.8,62.5,25
Tom Brady,16,37.5,56.3,25
Jonathan Taylor,16,56.3,87.5,12.5
Justin Herbert,16,25,68.8,18.8
Patrick Mahomes,16,25,68.8,25
Davante Adams,15,40,80,6.7
Joe Burrow,16,18.8,56.3,31.3
Matthew Stafford,16,12.5,62.5,12.5
Aaron Rodgers,15,20,66.7,13.3
Jalen Hurts,15,13.3,73.3,20
Austin Ekeler,15,46.7,80,0
Deebo Samuel,15,33.3,86.7,0
Justin Jefferson,16,18.8,81.3,6.3
Dak Prescott,15,20,66.7,33.3
Ja'Marr Chase,16,18.8,68.8,12.5
Tyreek Hill,16,31.3,56.3,25
Kyler Murray,13,23.1,61.5,15.4
Joe Mixon,16,43.8,68.8,6.3
Najee Harris,16,31.3,50,18.8
Kirk Cousins,15,6.7,60,33.3
Mark Andrews,16,37.5,68.8,12.5
Derek Carr,16,0,37.5,56.3
Diontae Johnson,15,20,80,0
Stefon Diggs,16,6.3,68.8,6.3
Ryan Tannehill,16,0,25,56.3
Carson Wentz,16,6.3,37.5,56.3
Leonard Fournette,14,28.6,78.6,14.3
Lamar Jackson,12,25,50,33.3
Travis Kelce,15,46.7,73.3,26.7
Chris Godwin,14,21.4,78.6,14.3
Keenan Allen,15,6.7,66.7,6.7
Hunter Renfrow,16,12.5,62.5,25
Ezekiel Elliott,16,6.3,62.5,12.5
Mike Evans,15,20,73.3,26.7
Jaylen Waddle,15,13.3,60,33.3
Taylor Heinicke,14,0,35.7,50
D.K. Metcalf,16,12.5,56.3,25
Cordarrelle Patterson,15,20,66.7,26.7
Aaron Jones,15,13.3,73.3,20
James Conner,14,14.3,64.3,14.3
Matt Ryan,16,12.5,25,68.8
Jimmy Garoppolo,14,0,28.6,35.7
CeeDee Lamb,15,13.3,60,33.3
Brandin Cooks,15,6.7,66.7,20
Mac Jones,16,0,31.3,62.5
Marquise Brown,15,13.3,53.3,33.3
Russell Wilson,13,7.7,38.5,38.5
Ben Roethlisberger,15,0,13.3,60
D.J. Moore,16,6.3,50,18.8
Tee Higgins,14,21.4,64.3,28.6
Michael Pittman Jr.,16,6.3,43.8,25
Mike Williams,15,13.3,46.7,26.7
Alvin Kamara,12,33.3,66.7,16.7
Antonio Gibson,15,13.3,66.7,20
Tyler Lockett,15,20,46.7,40
Nick Chubb,13,30.8,53.8,30.8
Teddy Bridgewater,14,0,21.4,42.9
Josh Jacobs,14,7.1,85.7,0
Trevor Lawrence,16,0,6.3,75
Christian Kirk,16,6.3,50,31.3
Terry McLaurin,16,18.8,31.3,50
Adam Thielen,13,23.1,53.8,30.8
Dalvin Cook,12,16.7,75,25
Javonte Williams,16,6.3,37.5,31.3
Amon-Ra St. Brown,16,25,31.3,50
Damien Harris,14,14.3,57.1,14.3
D'Andre Swift,12,33.3,66.7,25
Darnell Mooney,16,12.5,50,31.3
Baker Mayfield,14,0,7.1,64.3
George Kittle,13,23.1,61.5,38.5
Dalton Schultz,16,12.5,62.5,25
Amari Cooper,14,14.3,42.9,35.7
David Montgomery,12,16.7,66.7,8.3
Jared Goff,13,0,30.8,53.8
Darrel Williams,16,12.5,50,37.5
Derrick Henry,8,50,75,12.5
Cowboys DST,16,37.5,75,18.8
Melvin Gordon III,15,6.7,40,26.7
Tyler Boyd,16,0,43.8,37.5
A.J. Dillon,16,6.3,37.5,37.5
Tua Tagovailoa,10,10,30,50
DeVonta Smith,16,6.3,37.5,50
James Robinson,14,14.3,57.1,35.7
Kyle Pitts,16,12.5,43.8,43.8
Devin Singletary,16,6.3,43.8,31.3
Daniel Jones,11,0,27.3,45.5
Myles Gaskin,16,6.3,37.5,37.5
Jakobi Meyers,16,0,37.5,31.3
Kendrick Bourne,16,12.5,31.3,43.8
Zach Ertz,16,6.3,56.3,31.3
A.J. Brown,12,25,33.3,41.7
Darrell Henderson,12,16.7,58.3,33.3
Van Jefferson,16,0,37.5,43.8
Dallas Goedert,15,6.7,40,46.7
Mike Gesicki,16,18.8,31.3,31.3
Marvin Jones Jr.,16,0,25,50
Sam Darnold,10,10,20,70
Tony Pollard,15,6.7,33.3,40
Elijah Mitchell,10,10,70,20
Noah Fant,15,13.3,46.7,33.3
Michael Carter,13,7.7,46.2,23.1
Dawson Knox,14,21.4,57.1,42.9
Patriots DST,16,18.8,56.3,31.3
Brandon Aiyuk,16,6.3,43.8,50
Marquez Callaway,16,0,31.3,56.3
Zach Wilson,12,0,16.7,66.7
Hunter Henry,16,12.5,25,56.3
A.J. Green,15,0,26.7,33.3
Rob Gronkowski,11,45.5,63.6,27.3
Cole Beasley,15,0,33.3,53.3
K.J. Osborn,16,0,37.5,56.3
Chase Claypool,14,0,28.6,50
DeAndre Hopkins,10,10,60,20
Colts DST,16,25,62.5,25
Justin Fields,10,10,40,60
Chase Edmonds,12,8.3,41.7,33.3
Courtland Sutton,16,6.3,25,68.8
T.J. Hockenson,12,16.7,58.3,33.3
Saquon Barkley,12,8.3,50,25
Sony Michel,16,0,25,50
Devonta Freeman,15,0,40,40
Dolphins DST,16,25,50,25
Tim Patrick,15,0,33.3,46.7
Pat Freiermuth,15,13.3,40,40
Davis Mills,10,0,30,50
Devontae Booker,15,0,40,40
Russell Gage,13,0,38.5,46.2
Mike Davis,16,0,18.8,43.8
Elijah Moore,11,18.2,45.5,36.4
Tyler Conklin,16,6.3,31.3,56.3
Robert Woods,9,0,55.6,11.1
Bills DST,16,18.8,50,31.3
Emmanuel Sanders,14,7.1,21.4,64.3
Buccaneers DST,16,25,56.3,31.3
Darren Waller,10,20,50,20
Saints DST,16,31.3,50,31.3
C.J. Uzomah,16,12.5,18.8,56.3
J.D. McKissic,11,9.1,45.5,45.5
Christian McCaffrey,7,57.1,71.4,28.6
Chuba Hubbard,16,0,25,50
Mecole Hardman,16,0,6.3,62.5
Odell Beckham Jr.,13,0,46.2,46.2
Alexander Mattison,15,6.7,33.3,66.7
Tyler Higbee,14,0,57.1,35.7
Jameis Winston,6,16.7,33.3,50
Packers DST,16,0,68.8,18.8
Titans DST,16,25,50,37.5
Antonio Brown,7,28.6,57.1,28.6
Robby Anderson,16,6.3,12.5,56.3
Clyde Edwards-Helaire,10,0,50,30
Ty Johnson,15,0,26.7,53.3
Gabriel Davis,15,6.7,33.3,66.7
Gerald Everett,14,7.1,35.7,50
Byron Pringle,16,0,18.8,68.8
Allen Lazard,14,0,28.6,57.1
Chiefs DST,16,18.8,50,37.5
Laviska Shenault Jr.,15,0,6.7,60
Jarvis Landry,11,0,36.4,45.5
Miles Sanders,12,0,33.3,33.3
Braxton Berrios,16,6.3,6.3,68.8
Jared Cook,15,0,13.3,66.7
Cardinals DST,16,12.5,50,43.8
Jamaal Williams,12,8.3,25,58.3
Cedrick Wilson,15,0,20,73.3
Broncos DST,16,18.8,50,43.8
Eagles DAT,16,18.8,50,37.5
Nyheim Hines,16,6.3,18.8,68.8
Cole Kmet,16,0,18.8,68.8
Rhamondre Stevenson,11,18.2,36.4,45.5
Rondale Moore,14,7.1,21.4,78.6
Kalif Raymond,15,0,13.3,66.7
Mark Ingram II,14,0,28.6,64.3
Deonte Harris,12,0,25,50
Kareem Hunt,8,12.5,50,37.5
Taysom Hill,4,25,50,25
Corey Davis,9,11.1,44.4,55.6
Rams DST,16,6.3,68.8,31.3
49ers DST,16,0,50,18.8
Jamison Crowder,11,0,27.3,36.4
Donovan Peoples-Jones,13,7.7,15.4,53.8
Kenneth Gainwell,15,0,26.7,73.3
David Njoku,15,6.7,20,73.3
Vikings DST,16,0,50,18.8
Zack Moss,12,0,16.7,50
Evan Engram,14,0,42.9,57.1
Kenyan Drake,12,0,25,50
