PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
"1",1,"Justin Jefferson",MIN,"21.7","0.0","0.0","7.5","106.4","0.5","0.2","1.4","0.1"
"2",1,"Ja'Marr Chase",CIN,"18.6","0.0","0.0","6.7","80.5","0.7","0.4","0.6","0.0"
"3",1,"Christian McCaffrey",SF,"21.0","0.0","0.0","5.0","43.6","0.3","14.4","67.0","0.5"
"4",1,"Cooper Kupp",LAR,"22.4","0.0","0.0","8.3","90.2","0.7","1.0","5.8","0.1"
"5",1,"Tyreek Hill",MIA,"20.1","0.0","0.0","7.0","100.6","0.4","0.4","1.9","0.1"
"6",2,"Travis Kelce",KC,"18.6","0.0","0.0","6.5","78.7","0.7","0.1","0.3","0.0"
"7",2,"Austin Ekeler",LAC,"21.9","0.0","0.0","6.3","42.5","0.3","12.0","53.8","0.8"
"8",2,"Stefon Diggs",BUF,"18.9","0.0","0.0","6.5","85.6","0.6","0.1","-0.2","0.0"
"9",2,"CeeDee Lamb",DAL,"17.7","0.0","0.0","6.3","79.9","0.5","0.6","2.8","0.0"
"10",2,"Amon-Ra St. Brown",DET,"16.7","0.0","0.0","6.6","72.6","0.4","0.6","5.9","0.0"
"11",2,"Saquon Barkley",NYG,"17.8","0.0","0.0","3.6","21.1","0.0","18.4","82.0","0.6"
"12",2,"A.J. Brown",PHI,"17.6","0.0","0.0","5.2","88.0","0.6","0.0","0.0","0.0"
"13",2,"Davante Adams",LV,"19.7","0.0","0.0","5.9","89.2","0.8","0.2","-0.1","0.0"
"14",3,"Garrett Wilson",NYJ,"12.7","0.0","0.0","4.9","64.9","0.2","0.2","0.2","0.0"
"15",3,"Bijan Robinson",ATL,"0","0","0","0","0","0","0","0","0"
"16",3,"Tony Pollard",DAL,"15.6","0.0","0.0","2.4","23.2","0.2","12.1","62.9","0.6"
"17",3,"Nick Chubb",CLE,"16.6","0.0","0.0","1.6","14.1","0.1","17.8","89.7","0.7"
"18",3,"Jaylen Waddle",MIA,"15.2","0.0","0.0","4.4","79.8","0.5","0.2","1.5","0.0"
"19",3,"Chris Olave",NO,"13.2","0.0","0.0","4.8","69.5","0.3","0.0","0.0","0.0"
"20",3,"Derrick Henry",TEN,"18.9","0.0","0.0","2.1","24.9","0.0","21.8","96.1","0.8"
"21",4,"DeVonta Smith",PHI,"15.0","0.0","0.0","5.6","70.4","0.4","0.0","0.0","0.0"
"22",4,"Josh Jacobs",LV,"19.3","0.0","0.0","3.1","23.5","0.0","20.0","97.2","0.7"
"23",4,"Keenan Allen",LAC,"16.4","0.0","0.0","6.6","75.2","0.4","0.1","0.8","0.0"
"24",4,"Patrick Mahomes II",KC,"25.3","308.8","2.4","0.0","0.0","0.0","3.6","21.1","0.2"
"25",4,"Tee Higgins",CIN,"14.9","0.0","0.0","5.0","69.5","0.5","0.0","0.0","0.0"
"26",4,"Jalen Hurts",PHI,"25.6","246.7","1.5","0.0","0.0","0.0","11.0","50.7","0.9"
"27",4,"Josh Allen",BUF,"24.2","253.9","2.1","0.0","0.0","0.0","7.4","45.6","0.4"
"28",4,"Jonathan Taylor",IND,"12.2","0.0","0.0","2.3","11.9","0.0","16.0","71.8","0.3"
"29",4,"Rhamondre Stevenson",NE,"14.7","0.0","0.0","4.1","24.8","0.1","12.4","61.2","0.3"
"30",4,"DK Metcalf",SEA,"13.3","0.0","0.0","5.3","61.6","0.4","0.0","0.0","0.0"
"31",4,"Mark Andrews",BAL,"12.7","0.0","0.0","4.9","56.5","0.3","0.2","0.5","0.0"
"32",4,"Joe Mixon",CIN,"16.0","0.0","0.0","4.0","29.4","0.1","14.1","55.1","0.5"
"33",4,"Calvin Ridley",JAC,"0","0","0","0","0","0","0","0","0"
"34",4,"Amari Cooper",CLE,"14.5","0.0","0.0","4.6","68.2","0.5","0.0","0.0","0.0"
"35",4,"Najee Harris",PIT,"13.1","0.0","0.0","2.4","13.5","0.2","16.0","60.8","0.4"
"36",5,"Jahmyr Gibbs",DET,"0","0","0","0","0","0","0","0","0"
"37",5,"Aaron Jones",GB,"14.6","0.0","0.0","3.5","23.2","0.3","12.5","65.9","0.1"
"38",5,"Deebo Samuel",SF,"13.0","0.0","0.0","4.3","48.6","0.2","3.2","17.8","0.2"
"39",5,"Lamar Jackson",BAL,"20.3","186.8","1.4","0.0","0.0","0.0","9.3","63.7","0.3"
"40",5,"Travis Etienne Jr.",JAC,"12.1","0.0","0.0","2.1","18.6","0.0","12.9","66.2","0.3"
"41",5,"Chris Godwin",TB,"14.9","0.0","0.0","6.9","68.2","0.2","0.2","0.3","0.0"
"42",5,"DeAndre Hopkins",TEN,"16.9","0.0","0.0","7.1","79.7","0.3","0.0","0.0","0.0"
"43",5,"DJ Moore",CHI,"11.7","0.0","0.0","3.7","52.2","0.4","0.6","3.1","0.0"
"44",5,"Drake London",ATL,"10.5","0.0","0.0","4.2","50.9","0.2","0.0","0.0","0.0"
"45",5,"Joe Burrow",CIN,"21.7","266.3","2.1","0.0","0.0","0.0","4.5","15.2","0.3"
"46",5,"Terry McLaurin",WAS,"13.5","0.0","0.0","4.5","70.1","0.3","0.4","1.7","0.0"
"47",5,"Diontae Johnson",PIT,"10.6","0.0","0.0","5.1","51.9","0.0","0.4","1.5","0.0"
"48",5,"Christian Watson",GB,"11.7","0.0","0.0","2.9","43.6","0.5","0.5","5.7","0.1"
"49",5,"Tyler Lockett",SEA,"14.8","0.0","0.0","5.3","64.6","0.6","0.0","0.0","0.0"
"50",5,"Justin Fields",CHI,"20.5","149.5","1.1","0.0","0.0","0.0","10.7","76.2","0.5"
"51",5,"T.J. Hockenson",MIN,"12.7","0.0","0.0","5.1","53.8","0.4","0.0","0.0","0.0"
"52",5,"Breece Hall",NYJ,"16.4","0.0","0.0","2.7","31.1","0.1","11.4","66.1","0.6"
"53",5,"Brandon Aiyuk",SF,"13.4","0.0","0.0","4.6","59.7","0.5","0.1","1.4","0.0"
"54",6,"Justin Herbert",LAC,"17.1","278.8","1.5","0.0","0.0","0.0","3.2","8.6","0.0"
"55",6,"Mike Williams",LAC,"13.6","0.0","0.0","4.8","68.8","0.3","0.0","0.0","0.0"
"56",6,"Jerry Jeudy",DEN,"13.6","0.0","0.0","4.5","64.8","0.4","0.3","2.7","0.0"
"57",6,"Christian Kirk",JAC,"14.2","0.0","0.0","4.9","65.2","0.5","0.3","0.6","0.0"
"58",6,"Marquise Brown",ARI,"13.0","0.0","0.0","5.6","59.1","0.3","0.1","0.1","0.0"
"59",6,"Kenneth Walker III",SEA,"13.5","0.0","0.0","1.8","11.0","0.0","15.2","70.0","0.6"
"60",6,"Michael Pittman Jr.",IND,"13.5","0.0","0.0","6.2","57.8","0.3","0.2","1.9","0.0"
"61",6,"Miles Sanders",CAR,"12.7","0.0","0.0","1.2","4.6","0.0","15.2","74.6","0.6"
