"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","1","5","1.2","0.7","0"
"2",1,"Ja'Marr Chase",CIN,"WR2","1","7","2.4","1.1","+1"
"3",1,"Christian McCaffrey",SF,"RB1","1","15","3.5","2.0","-1"
"4",1,"Cooper Kupp",LAR,"WR3","1","16","5.2","2.6","+2"
"5",1,"Tyreek Hill",MIA,"WR4","2","16","5.3","1.9","+2"
"6",2,"Travis Kelce",KC,"TE1","4","30","6.5","2.5","-1"
"7",2,"Austin Ekeler",LAC,"RB2","3","15","7.3","2.2","-3"
"8",2,"Stefon Diggs",BUF,"WR5","4","20","8.9","2.5","+2"
"9",2,"CeeDee Lamb",DAL,"WR6","4","24","10.6","2.7","+2"
"10",2,"Amon-Ra St. Brown",DET,"WR7","2","24","11.6","3.0","+9"
"11",2,"Saquon Barkley",NYG,"RB3","4","25","11.9","3.4","-3"
"12",2,"A.J. Brown",PHI,"WR8","5","32","12.7","3.4","+2"
"13",2,"Davante Adams",LV,"WR9","5","32","13.0","4.0","-1"
"14",3,"Garrett Wilson",NYJ,"WR10","8","32","14.4","3.3","+4"
"15",3,"Bijan Robinson",ATL,"RB4","2","96","15.0","8.8","-6"
"16",3,"Tony Pollard",DAL,"RB5","3","52","16.9","6.7","+1"
"17",3,"Nick Chubb",CLE,"RB6","3","31","17.9","5.5","-4"
"18",3,"Jaylen Waddle",MIA,"WR11","11","40","19.3","5.2","+6"
"19",3,"Chris Olave",NO,"WR12","12","35","20.8","4.9","+6"
"20",3,"Derrick Henry",TEN,"RB7","8","38","21.7","4.5","-4"
"21",4,"DeVonta Smith",PHI,"WR13","14","47","24.2","6.8","+5"
"22",4,"Josh Jacobs",LV,"RB8","12","86","26.2","11.5","-2"
"23",4,"Keenan Allen",LAC,"WR14","14","53","26.8","8.3","+19"
"24",4,"Patrick Mahomes II",KC,"QB1","21","46","27.3","4.9","-9"
"25",4,"Tee Higgins",CIN,"WR15","14","47","27.8","6.9","+4"
"26",4,"Jalen Hurts",PHI,"QB2","22","59","28.2","6.1","-3"
"27",4,"Josh Allen",BUF,"QB3","23","68","28.7","6.1","-6"
"28",4,"Jonathan Taylor",IND,"RB9","7","80","28.9","11.6","-6"
"29",4,"Rhamondre Stevenson",NE,"RB10","10","81","30.8","9.9","+3"
"30",4,"DK Metcalf",SEA,"WR16","14","47","31.0","7.0","+1"
"31",4,"Mark Andrews",BAL,"TE2","6","62","32.2","9.2","-3"
"32",4,"Joe Mixon",CIN,"RB11","15","86","33.0","13.2","+1"
"33",4,"Calvin Ridley",JAC,"WR17","11","75","33.3","10.8","+4"
"34",4,"Amari Cooper",CLE,"WR18","20","60","36.3","5.8","+7"
"35",4,"Najee Harris",PIT,"RB12","16","99","37.3","13.2","-8"
"36",5,"Jahmyr Gibbs",DET,"RB13","17","97","39.7","14.1","0"
"37",5,"Aaron Jones",GB,"RB14","25","88","41.5","11.8","+1"
"38",5,"Deebo Samuel",SF,"WR19","13","66","42.4","9.1","+1"
"39",5,"Lamar Jackson",BAL,"QB4","24","95","42.5","11.5","-4"
"40",5,"Travis Etienne Jr.",JAC,"RB15","17","85","42.6","12.3","-10"
"41",5,"Chris Godwin",TB,"WR20","19","72","43.6","10.5","+26"
"42",5,"DeAndre Hopkins",TEN,"WR21","19","69","44.7","9.1","+8"
"43",5,"DJ Moore",CHI,"WR22","27","73","44.8","8.9","+9"
"44",5,"Drake London",ATL,"WR23","27","87","46.0","9.1","+24"
"45",5,"Joe Burrow",CIN,"QB5","29","84","47.6","8.8","-11"
"46",5,"Terry McLaurin",WAS,"WR24","27","79","48.5","10.3","+5"
"47",5,"Diontae Johnson",PIT,"WR25","22","81","50.8","12.3","+32"
"48",5,"Christian Watson",GB,"WR26","32","75","50.9","10.1","+7"
