"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","PASS_YDS","PASS_TDS","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"1",1,"Christian McCaffrey",CAR,"90.3","0","0","17","149","1","59","225","5"
"2",1,"Dalvin Cook",MIN,"337.8","0","0","44","361","1","312","1557","16"
"3",1,"Alvin Kamara",NO,"377.8","0","0","83","756","5","187","932","16"
"4",2,"Derrick Henry",TEN,"333.1","0","0","19","114","0","378","2027","17"
"5",2,"Ezekiel Elliott",DAL,"223.7","0","0","52","338","2","244","979","6"
"6",2,"Davante Adams",GB,"358.4","0","0","115","1374","18","0","0","0"
"7",2,"Saquon Barkley",NYG,"15.4","0","0","6","60","0","19","34","0"
"8",2,"Tyreek Hill",KC,"328.9","0","0","87","1276","15","13","123","2"
"9",2,"Stefon Diggs",BUF,"328.6","0","0","127","1535","8","1","1","0"
"10",2,"Aaron Jones",GB,"258.9","0","0","47","355","2","201","1104","9"
"11",2,"Austin Ekeler",LAC,"165.3","0","0","54","403","2","116","530","1"
"12",2,"DeAndre Hopkins",ARI,"287.8","0","0","115","1407","6","1","1","0"
"13",3,"Jonathan Taylor",IND,"252.8","0","0","36","299","1","232","1169","11"
"14",3,"Calvin Ridley",ATL,"281.5","0","0","90","1374","9","5","1","0"
"15",3,"Travis Kelce",KC,"312.76","0","0","105","1416","11","0","0","0"
"16",3,"D.K. Metcalf",SEA,"271.3","0","0","83","1303","10","0","0","0"
"17",3,"Darren Waller",LV,"278.6","0","0","107","1196","9","0","0","0"
"18",3,"Justin Jefferson",MIN,"274.2","0","0","88","1400","7","1","2","0"
"19",3,"Nick Chubb",CLE,"207.7","0","0","16","150","0","190","1067","12"
"20",3,"Keenan Allen",LAC,"245.1","0","0","100","992","8","1","-1","0"
"21",3,"A.J. Brown",TEN,"247.5","0","0","70","1075","11","0","0","0"
"22",3,"Joe Mixon",CIN,"99.6","0","0","21","138","1","119","428","3"
"23",4,"Antonio Gibson",WAS,"202.2","0","0","36","247","0","170","795","11"
"24",4,"Allen Robinson II",CHI,"262.9","0","0","102","1250","6","1","-1","0"
"25",4,"Patrick Mahomes II",KC,"380.4","4740","38","0","0","0","62","308","2"
"26",4,"George Kittle",SF,"125.1","0","0","48","634","2","2","17","0"
"27",4,"Terry McLaurin",WAS,"223.8","0","0","87","1118","4","2","30","0"
"28",4,"Clyde Edwards-Helaire",KC,"176","0","0","36","297","1","181","803","4"
"29",4,"Najee Harris",PIT,"0","0","0","0","0","0","0","0","0"
"30",4,"D'Andre Swift",DET,"189.8","0","0","46","357","2","114","521","8"
"31",4,"Robert Woods",LAR,"245.1","0","0","90","936","6","24","155","2"
"32",4,"Amari Cooper",DAL,"236.8","0","0","92","1114","5","6","14","0"
"33",5,"CeeDee Lamb",DAL,"217.7","0","0","74","935","5","10","82","1"
"34",5,"Chris Godwin",TB,"191","0","0","65","840","7","0","0","0"
"35",5,"Mike Evans",TB,"248.6","0","0","70","1006","13","0","0","0"
"36",5,"Julio Jones",TEN,"146.1","0","0","51","771","3","0","0","0"
