PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
Christian McCaffrey,CAR,1,4,1.1,0.4
Dalvin Cook,MIN,1,5,2.2,0.6
Derrick Henry,TEN,1,14,3.2,1
Alvin Kamara,NO,2,27,5.8,2.6
Ezekiel Elliott,DAL,2,16,6.5,2.3
Nick Chubb,CLE,3,22,6.8,2.6
Jonathan Taylor,IND,3,27,7.1,2.6
Saquon Barkley,NYG,2,57,7.4,3.9
Aaron Jones,GB,3,22,8.8,2.9
Tyreek Hill,KC,4,24,10.6,1.6
Davante Adams,GB,4,22,11.7,2.3
Stefon Diggs,BUF,10,25,13.9,3.4
Calvin Ridley,ATL,10,49,15.8,3.4
Travis Kelce,KC,7,22,16.5,1.9
Antonio Gibson,WAS,5,42,17.2,7.4
Joe Mixon,CIN,6,47,17.9,8.4
DeAndre Hopkins,ARI,10,48,18.7,4.3
D.K. Metcalf,SEA,10,30,20,3.8
A.J. Brown,TEN,11,44,20.6,4.1
George Kittle,SF,17,47,21.4,8
Justin Jefferson,MIN,13,35,23,3.8
Patrick Mahomes II,KC,17,56,24.1,10.4
Austin Ekeler,LAC,6,334,25.6,30.4
Darren Waller,LV,16,46,26.1,4
Clyde Edwards-Helaire,KC,7,83,28.4,10.5
J.K. Dobbins,BAL,8,66,28.5,8.4
Terry McLaurin,WAS,23,51,29.6,3.9
Najee Harris,PIT,5,320,27.1,39.1
Allen Robinson II,CHI,16,45,30.8,4.3
Mike Evans,TB,23,52,31,5.4
Keenan Allen,LAC,21,58,31.4,5.3
Chris Carson,SEA,12,66,34.8,8
David Montgomery,CHI,9,76,34.8,8.7
CeeDee Lamb,DAL,15,58,35.8,8.1
Chris Godwin,TB,25,77,36.6,5.7
Julio Jones,TEN,21,75,36.7,7.7
Amari Cooper,DAL,24,65,37,5.9
D'Andre Swift,DET,9,120,39,13.1
Josh Jacobs,LV,12,83,40.2,10.8
Miles Sanders,PHI,14,83,40.6,10.6
D.J. Moore,CAR,25,95,41,6.1
Robert Woods,LAR,29,79,41.2,6.4
Josh Allen,BUF,18,61,42.7,9.1
Adam Thielen,MIN,27,86,45.2,7.7
Kenny Golladay,NYG,28,82,47.5,9.6
Cooper Kupp,LAR,33,79,50.1,8.3
Darrell Henderson,LAR,22,129,50.4,23.9
Kyler Murray,ARI,19,68,52.3,7.3
Mark Andrews,BAL,18,71,52.5,8
Lamar Jackson,BAL,19,77,54,12.2
Brandon Aiyuk,SF,32,86,54.5,9.8
Myles Gaskin,MIA,22,176,55.1,12.6
Tyler Lockett,SEA,31,101,55.2,10.3
T.J. Hockenson,DET,26,133,55.5,12.3
Tee Higgins,CIN,32,89,56.8,8.9
Odell Beckham Jr.,CLE,36,138,57.2,14
Dak Prescott,DAL,19,91,57.4,9.2
Diontae Johnson,PIT,41,97,59.5,10.2
Kareem Hunt,CLE,36,85,59.6,9.9
Courtland Sutton,DEN,35,102,62.5,11.3
Kyle Pitts,ATL,17,273,64.8,39.2
Chase Claypool,PIT,41,97,65.5,9.6
Mike Davis,ATL,28,292,66.5,42.3
Ja'Marr Chase,CIN,25,220,60.9,27.4
D.J. Chark Jr.,JAC,43,113,70.4,11
Russell Wilson,SEA,43,117,70.5,9.4
Travis Etienne,JAC,27,295,75.8,33.3
Damien Harris,NE,27,121,76,14.2
Aaron Rodgers,GB,43,111,76.1,11.9
Justin Herbert,LAC,55,117,76.3,9.7
Raheem Mostert,SF,47,144,79.1,15.7
Jerry Jeudy,DEN,49,122,79.2,13.4
Chase Edmonds,ARI,31,143,79.4,16.5
Robby Anderson,CAR,48,144,80,12.3
Deebo Samuel,SF,50,160,80.4,15.1
Melvin Gordon III,DEN,22,140,80.6,20
JuJu Smith-Schuster,PIT,56,169,81.8,15.4
Ronald Jones II,TB,51,149,82.5,14.3
Brandin Cooks,HOU,37,171,82.8,16.7
Dallas Goedert,PHI,52,163,83.5,18.7
James Robinson,JAC,27,190,85,18
Javonte Williams,DEN,12,364,85.5,55.3
Will Fuller V,MIA,49,240,86.4,22.5
Tyler Boyd,CIN,53,157,89,14.2
Noah Fant,DEN,62,139,89.4,16.7
Curtis Samuel,WAS,50,243,89.5,22.1
Robert Tonyan,GB,53,142,89.9,19
Tom Brady,TB,60,150,90.5,11.8
Jalen Hurts,PHI,67,254,92.2,15.5
Ryan Tannehill,TEN,65,153,92.9,12.2
DeVonta Smith,PHI,39,240,93.9,29.3
David Johnson,HOU,50,149,97.5,19.2
Zack Moss,BUF,60,150,97.7,16.8
Leonard Fournette,TB,59,146,97.8,15.9
Jarvis Landry,CLE,58,137,98.5,13
Michael Thomas,NO,15,229,95.9,47.3
Mike Williams,LAC,55,184,98.7,19.4
Matthew Stafford,LAR,68,147,98.9,11.3
James Conner,ARI,51,225,99.8,20.7
Michael Gallup,DAL,61,189,102.3,18.8
Joe Burrow,CIN,70,154,103.2,9.1
Laviska Shenault Jr.,JAC,64,196,104,20.9
Tyler Higbee,LAR,63,191,105.4,23.9
Logan Thomas,WAS,59,160,105.7,19.4
Mike Gesicki,MIA,54,161,106.6,18.9
Trey Sermon,SF,20,379,102.1,50.1
Marquise Brown,BAL,74,210,105.1,24.1
Michael Carter,NYJ,47,367,99.9,39.9
DeVante Parker,MIA,48,176,108.1,18.9
AJ Dillon,GB,60,168,108.8,16.1
Antonio Brown,TB,43,196,107.9,27.3
Corey Davis,NYJ,62,157,110.8,17.4
Gus Edwards,BAL,71,310,111.7,29.2
Kenyan Drake,LV,34,273,112.8,18.6
Michael Pittman Jr.,IND,54,198,118.6,24.5
Matt Ryan,ATL,77,200,120.3,16.9
Irv Smith Jr.,MIN,69,260,120.5,25.5
Latavius Murray,NO,66,185,121.5,15
Devin Singletary,BUF,59,185,123.2,17
Marvin Jones Jr.,JAC,59,210,123.4,23.7
Kirk Cousins,MIN,73,202,125,18.6
Trevor Lawrence,JAC,78,334,125.7,30.4
Tony Pollard,DAL,89,219,127.7,16.1
Jamaal Williams,DET,66,194,128.2,16
Rob Gronkowski,TB,69,258,129.3,23.4
Jaylen Waddle,MIA,67,263,127.5,32.4
T.Y. Hilton,IND,49,229,133.4,23
Jonnu Smith,NE,63,213,132.3,19.6
Baker Mayfield,CLE,79,254,139.2,25.5
Mecole Hardman,KC,80,210,140.1,26.2
Evan Engram,NYG,69,246,140.3,19.4
Nyheim Hines,IND,71,186,141.2,14.1
Hunter Henry,NE,59,255,141.4,26.2
Darnell Mooney,CHI,72,223,141.8,27.3
Henry Ruggs III,LV,62,216,142.3,25.6
Phillip Lindsay,HOU,93,237,139.2,21.9
Tua Tagovailoa,MIA,87,283,148.5,31
Alexander Mattison,MIN,99,317,150.4,27
Ryan Fitzpatrick,WAS,82,320,150.5,33
Blake Jarwin,DAL,92,256,154,27.5
Nelson Agholor,NE,90,243,152.3,29.8
Daniel Jones,NYG,85,275,153,28.3
Jalen Reagor,PHI,97,231,155.5,26.2
Ben Roethlisberger,PIT,88,202,157.1,19.8
Carson Wentz,IND,94,364,152.6,45.9
Cole Beasley,BUF,83,223,159.6,25.3
J.D. McKissic,WAS,100,237,159.6,22.3
Pittsburgh Steelers,PIT,83,234,147.4,15.6
Austin Hooper,CLE,94,258,163.7,31.8
Los Angeles Rams,LAR,86,293,148.1,17
John Brown,LV,111,262,162.4,29
Jared Cook,LAC,72,273,160.6,33.5
Cole Kmet,CHI,90,267,161.4,25.6
Tarik Cohen,CHI,98,312,164.7,41
Adam Trautman,NO,69,364,160.6,54.3
Tevin Coleman,NYJ,89,274,160.7,33.7
Tre'Quan Smith,NO,72,298,165.7,53.9
Rashaad Penny,SEA,59,283,161.9,29.8
James White,NE,100,277,168.3,28
Baltimore Ravens,BAL,84,212,155.2,11.9
Rashod Bateman,BAL,62,306,163.4,44.9
Gabriel Davis,BUF,60,290,171.9,36.1
Derek Carr,LV,90,274,169.4,29.3
Gerald Everett,SEA,92,267,172.4,37
Jamison Crowder,NYJ,90,297,174.8,35.6
