"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","PASS_YDS","PASS_TDS","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"1",1,"Justin Jefferson",MIN,"240.7","0","0","128","1809","8","4","24","1"
"2",1,"Christian McCaffrey",SF,"271.4","0","0","85","741","5","244","1139","8"
"3",1,"Ja'Marr Chase",CIN,"155.4","0","0","87","1046","9","5","8","0"
"4",1,"Travis Kelce",KC,"206.3","0","0","110","1338","12","2","5","0"
"5",1,"Nick Chubb",CLE,"254.4","0","0","27","239","1","302","1525","12"
"6",2,"Tyreek Hill",MIA,"222.2","0","0","119","1710","7","7","32","1"
"7",2,"Bijan Robinson",ATL,"0","0","0","0","0","0","0","0","0"
"8",2,"Austin Ekeler",LAC,"265.7","0","0","107","722","5","204","915","13"
"9",2,"Cooper Kupp",LAR,"126.4","0","0","75","812","6","9","52","1"
"10",2,"Derrick Henry",TEN,"269.8","0","0","33","398","0","349","1538","13"
"11",2,"Stefon Diggs",BUF,"211.2","0","0","110","1455","11","1","-3","0"
"12",3,"Tony Pollard",DAL,"209.8","0","0","39","371","3","193","1007","9"
"13",3,"A.J. Brown",PHI,"211.6","0","0","88","1496","11","0","0","0"
"14",3,"CeeDee Lamb",DAL,"194.6","0","0","107","1359","9","10","47","0"
"15",3,"Saquon Barkley",NYG,"227","0","0","57","338","0","295","1312","10"
"16",3,"Davante Adams",LV,"235.5","0","0","100","1516","14","3","-1","0"
"17",3,"Amon-Ra St. Brown",DET,"161.6","0","0","106","1161","6","9","95","0"
"18",3,"Josh Jacobs",LV,"275.3","0","0","53","400","0","340","1653","12"
"19",3,"Jonathan Taylor",IND,"118.4","0","0","28","143","0","192","861","4"
"20",3,"Garrett Wilson",NYJ,"132.7","0","0","83","1103","4","4","4","0"
"21",3,"Jaylen Waddle",MIA,"184.2","0","0","75","1356","8","3","26","0"
"22",4,"Chris Olave",NO,"126.2","0","0","72","1042","4","0","0","0"
"23",4,"Patrick Mahomes II",KC,"428.4","5250","41","0","0","0","61","358","4"
"24",4,"Jalen Hurts",PHI,"384","3701","22","0","0","0","165","760","13"
"25",4,"Josh Allen",BUF,"412.2","4316","35","0","0","0","126","776","7"
"26",4,"Najee Harris",PIT,"182.5","0","0","41","229","3","272","1034","7"
"27",4,"Tee Higgins",CIN,"148.2","0","0","75","1042","7","0","0","0"
"28",4,"Joe Mixon",CIN,"180.7","0","0","60","441","2","212","826","7"
"29",4,"Rhamondre Stevenson",NE,"180.1","0","0","69","421","1","210","1040","5"
"30",4,"Travis Etienne Jr.",JAC,"170.1","0","0","35","316","0","220","1125","5"
"31",4,"DeVonta Smith",PHI,"159.6","0","0","95","1196","7","0","0","0"
