PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
Los Angeles Rams,LAR,1,7,1.9,1.1
Pittsburgh Steelers,PIT,1,12,3.2,2.8
Baltimore Ravens,BAL,1,13,4.3,2.2
Washington Football Team,WAS,1,18,4.7,3.8
Tampa Bay Buccaneers,TB,1,15,5.9,3.5
San Francisco 49ers,SF,1,15,6.9,2.8
Indianapolis Colts,IND,4,14,7.2,2.6
Buffalo Bills,BUF,2,19,9.3,3
New England Patriots,NE,4,24,10.2,3.3
New Orleans Saints,NO,3,28,10.6,4.3
Kansas City Chiefs,KC,4,18,10.8,2.9
Miami Dolphins,MIA,4,30,12.2,4.2
Cleveland Browns,CLE,4,25,13.4,3.8
Los Angeles Chargers,LAC,7,30,14.1,3.7
Denver Broncos,DEN,5,23,14.8,3.4
Chicago Bears,CHI,7,24,15.5,3.6
Green Bay Packers,GB,12,23,17.6,2.3
Seattle Seahawks,SEA,6,23,17.8,2.3
Minnesota Vikings,MIN,12,26,18.5,2.9
Philadelphia Eagles,PHI,2,25,20.1,3.1
Tennessee Titans,TEN,5,27,21.4,2.4
New York Giants,NYG,5,31,20.8,3.2
Arizona Cardinals,ARI,4,29,21,3.8
New York Jets,NYJ,3,27,23.4,3.2
Carolina Panthers,CAR,6,30,24.7,3.3
Dallas Cowboys,DAL,14,29,24.6,2.5
Jacksonville Jaguars,JAC,7,31,26.8,1.9
Atlanta Falcons,ATL,10,32,27.3,1.8
Las Vegas Raiders,LV,8,32,29.2,2.5
Houston Texans,HOU,1,32,29.9,2.5
Cincinnati Bengals,CIN,11,32,29.6,1.8
Detroit Lions,DET,9,32,30.4,1.8
