PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_PASS_YDS,AVG_PTS VS.,AVG_REC,AVG_REC_TDS,AVG_REC_TGT,AVG_REC_YDS,AVG_RET TD,AVG_RK,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_SAFE,AVG_XPA,AVG_XPM,AVG_YDS,BEST_RK,BLK KICK,BOOM,BUST,DEF TD,DEPTH,FAN PTS,FULL_SOS,FUMR,INT,PASS_ATT,PASS_COMP,PASS_PCT,PASS_TDS,PASS_YDS,PLAYOFF_SOS,POS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_AVG_RK,PPR_BEST_RK,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,PTS VS.,REC,REC_TDS,REC_TGT,REC_YDS,RET TD,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,SAFE,SEASON_SOS,STARTER,STD.DEV_RK,TEAM,TIERS,WORST_RK,XPA,XPM
A.J. Brown,,,,,,,,,,,,,12.7,,,,,,,0.0,0.0,,5.0,0.8,7.6,76.8,,20.6,0.0,0.0,0.0,,,,,,11.0,,21.4,21.4,,1.0,177.5,25.0,,,,,,0.0,0.0,20.0,WR,6.4,2.0,7.0,1.7,2.0,13.0,17.7,20.6,12.0,247.5,8.0,3.0,8.0,2.3,2.0,16.0,8.0,5.8,2.0,37.0,,70.0,11.0,106.0,1075.0,,19.0,0.0,0.0,0.0,,,27.0,64.3,4.1,TEN,3.0,44.0,,
A.J. Green,,,,,,,,,,,,,4.0,,,,,,,0.0,0.0,,2.9,0.1,6.5,32.7,,216.0,0.0,0.0,0.0,,,,,,62.0,,0.0,62.5,,3.0,64.3,11.0,,,,,,0.0,0.0,15.0,WR,78.1,27.0,78.0,8.3,8.0,113.0,7.0,208.9,109.0,111.3,75.9,43.0,76.0,8.7,7.0,106.0,76.0,28.4,8.0,304.0,,47.0,2.0,104.0,523.0,,208.0,0.0,0.0,0.0,,,13.0,25.0,27.4,ARI,11.0,330.0,,
AJ Dillon,,,,,,,,,,,,,3.5,,,,,,,0.0,0.0,,0.2,0.0,0.2,1.9,,108.8,4.2,0.2,22.0,,,,,,60.0,,0.0,0.0,,2.0,38.3,30.0,,,,,,0.0,0.0,27.0,RB,38.2,25.0,38.0,4.5,5.0,53.0,3.7,118.8,76.0,40.3,41.4,29.0,41.0,5.3,6.0,55.0,46.0,18.4,6.0,177.0,,2.0,0.0,2.0,21.0,,110.0,46.0,2.0,242.0,,,26.0,0.0,16.1,GB,8.0,168.0,,
Aaron Jones,,,,,,,,,,,,,15.1,,,,,,,0.0,0.0,,3.4,0.1,4.5,25.4,,8.8,14.4,0.6,78.9,,,,,,3.0,,21.4,0.0,,1.0,211.9,30.0,,,,,,0.0,0.0,27.0,RB,8.1,3.0,9.0,1.8,2.0,13.0,18.5,9.0,3.0,258.9,6.8,3.0,7.0,1.8,2.0,12.0,8.0,4.4,2.0,22.0,,47.0,2.0,63.0,355.0,,9.0,201.0,9.0,1104.0,,,26.0,85.7,2.9,GB,2.0,22.0,,
Aaron Rodgers,,,,,,,,,,,,,24.2,,,32.9,23.3,0.3,71%,3.0,268.7,,,,,,,76.1,2.4,0.2,9.3,1.3,,,,268.7,43.0,,18.8,6.3,,1.0,387.26,31.0,,5.0,526.0,372.0,71%,48.0,4299.0,20.0,QB,6.9,3.0,7.0,1.6,2.0,11.0,,72.0,54.0,,,,,,,,,10.1,,103.0,,,,,,,69.0,38.0,3.0,149.0,20.0,,29.0,81.3,11.9,GB,7.0,111.0,,
Adam Humphries,,,,,,,,,,,,,5.0,,,,,,,0.0,0.0,,3.3,0.3,5.0,32.6,,310.9,0.1,0.0,0.0,,,,,,128.0,,0.0,0.0,,3.0,34.8,14.0,,,,,,0.0,0.0,1.0,WR,115.2,52.0,133.0,24.1,10.0,161.0,8.3,299.2,181.0,57.8,109.0,73.0,118.0,17.1,10.0,154.0,130.0,52.2,10.0,381.0,,23.0,2.0,35.0,228.0,,394.0,1.0,0.0,0.0,,,25.0,0.0,66.6,WAS,15.0,377.0,,
Adam Shaheen,,,,,,,,,,,,,2.1,,,,,,,0.0,0.0,,0.8,0.2,1.4,9.4,,333.5,0.0,0.0,0.0,,,,,,331.0,,0.0,0.0,,2.0,33.0,2.0,,,,,,0.0,0.0,29.0,TE,67.3,42.0,74.0,10.5,8.0,87.0,2.8,309.7,304.0,45.0,67.1,54.0,69.0,6.6,7.0,84.0,73.0,6.0,8.0,318.0,,12.0,3.0,22.0,150.0,,491.0,0.0,0.0,0.0,,,2.0,0.0,2.5,MIA,16.0,336.0,,
Adam Thielen,,,,,,,,,,,,,12.0,,,,,,,0.0,0.0,,4.9,0.9,7.2,61.7,,45.2,0.2,0.0,1.0,,,,,,27.0,,26.7,26.7,,2.0,180.0,18.0,,,,,,0.0,0.0,28.0,WR,19.7,10.0,19.0,3.6,4.0,38.0,16.9,52.2,35.0,254.0,23.5,15.0,22.0,3.9,4.0,41.0,22.0,11.3,4.0,122.0,,74.0,14.0,108.0,925.0,,44.0,3.0,0.0,15.0,,,6.0,53.3,7.7,MIN,5.0,86.0,,
Adam Trautman,,,,,,,,,,,,,1.5,,,,,,,0.0,0.0,,1.0,0.1,1.1,11.4,,160.6,0.0,0.0,0.0,,,,,,69.0,,0.0,0.0,,1.0,23.1,8.0,,,,,,0.0,0.0,3.0,TE,18.9,7.0,19.0,7.0,4.0,39.0,2.5,171.8,106.0,38.1,21.6,11.0,24.0,5.7,4.0,37.0,20.0,42.6,4.0,294.0,,15.0,1.0,16.0,171.0,,155.0,0.0,0.0,0.0,,,21.0,0.0,54.3,NO,10.0,364.0,,
Adrian Peterson,,,,,,,,,,,,,7.0,,,,,,,0.0,0.0,,0.8,0.0,1.1,6.3,,327.0,9.8,0.4,37.8,,,,,,233.0,,0.0,56.3,,0.0,112.5,33.0,,,,,,0.0,0.0,33.0,RB,94.9,71.0,96.0,9.6,8.0,125.0,7.8,326.1,237.0,124.5,93.5,69.0,102.0,10.1,9.0,121.0,96.0,33.0,8.0,388.0,,12.0,0.0,18.0,101.0,,352.0,156.0,7.0,604.0,,,33.0,25.0,30.3,FA,14.0,385.0,,
