"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","0-19","20-29","30-39","40-49","50+","XPM","XPA"
"1",1,"Justin Tucker",BAL,"9.6","0.0","0.8","0.6","0.2","0.5","1.8","1.9"
"2",1,"Tyler Bass",BUF,"8.6","0.0","0.3","0.6","0.6","0.1","2.8","2.9"
"3",1,"Harrison Butker",KC,"7.8","0.0","0.5","0.3","0.3","0.2","2.9","3.2"
"4",1,"Evan McPherson",CIN,"7.8","0.1","0.3","0.2","0.5","0.3","2.4","2.6"
"5",2,"Daniel Carlson",LV,"9.5","0.0","0.5","0.6","0.2","0.6","2.1","2.1"
"6",2,"Younghoe Koo",ATL,"8.9","0.0","0.5","0.4","0.5","0.4","1.9","2.1"
"7",2,"Jason Sanders",MIA,"7.9","0.0","0.3","0.4","0.7","0.1","2.4","2.6"
"8",2,"Jason Myers",SEA,"9.4","0.0","0.5","0.9","0.2","0.4","2.4","2.5"
"9",2,"Jake Elliott",PHI,"7.6","0.0","0.4","0.5","0.1","0.3","3.2","3.3"
"10",2,"Brandon McManus",JAC,"7.9","0.0","0.4","0.2","0.6","0.5","1.5","1.6"
"11",3,"Greg Zuerlein",NYJ,"8.2","0.0","0.3","0.6","0.5","0.4","1.6","1.7"
"12",3,"Greg Joseph",MIN,"7.8","0.0","0.6","0.3","0.4","0.2","2.4","2.7"
"13",3,"Graham Gano",NYG,"8.5","0.0","0.1","0.5","0.6","0.5","1.9","2.0"
"14",3,"Jake Moody",SF,"0","0","0","0","0","0","0","0"
"15",3,"Matt Gay",IND,"7.8","0.0","0.5","0.5","0.2","0.4","1.8","1.9"
"16",3,"Wil Lutz",NO,"6.7","0.0","0.4","0.5","0.2","0.2","1.9","1.9"
"17",3,"Riley Patterson",DET,"8.2","0.0","0.5","0.6","0.6","0.1","2.1","2.2"
"18",3,"Chris Boswell",PIT,"8.1","0.0","0.3","0.3","0.4","0.6","1.5","1.5"
"19",4,"Nick Folk",NE,"8.6","0.1","0.5","0.5","0.6","0.2","1.9","2.1"
"20",4,"Matt Prater",ARI,"7.6","0.0","0.1","0.8","0.5","0.4","1.3","1.4"
"21",4,"Cairo Santos",CHI,"6.5","0.0","0.3","0.4","0.4","0.3","1.7","2.0"
"22",4,"Ka'imi Fairbairn",HOU,"7.8","0.0","0.4","0.4","0.5","0.4","1.4","1.4"
"23",4,"Cameron Dicker",LAC,"8.5","0.0","0.6","0.6","0.6","0.0","2.2","2.2"
"24",4,"Cade York",CLE,"7.1","0.0","0.3","0.5","0.4","0.2","2.1","2.2"
"25",4,"Brett Maher",DEN,"9.5","0.0","0.5","0.3","0.4","0.5","2.9","3.1"
"26",4,"Dustin Hopkins",LAC,"8.0","0.0","0.4","1.2","0.2","0.0","2.4","2.4"
"27",4,"Eddy Pineiro",CAR,"8.6","0.0","0.1","0.9","0.8","0.1","1.8","1.9"
"28",5,"Joey Slye",WAS,"6.8","0.1","0.5","0.2","0.5","0.2","1.4","1.6"
"29",5,"Michael Badgley",TEN,"9.1","0.0","0.5","0.5","0.7","0.2","2.5","2.5"
"30",5,"Brandon Aubrey",DAL,"0","0","0","0","0","0","0","0"
"31",5,"Anders Carlson",GB,"0","0","0","0","0","0","0","0"
"32",5,"Chase McLaughlin",TB,"8.6","0.0","0.4","0.3","0.6","0.6","1.3","1.3"
"33",5,"Tanner Brown",LAR,"0","0","0","0","0","0","0","0"
"34",5,"Chad Ryland",NE,"0","0","0","0","0","0","0","0"
"35",5,"Rodrigo Blankenship",FA,"6.3","0.0","0.7","0.0","0.3","0.3","1.3","1.7"
"36",5,"Robbie Gould",FA,"8.4","0.0","0.8","0.3","0.4","0.1","2.9","3.0"
"37",6,"Caleb Shudak",FA,"10.0","0.0","1.0","2.0","0.0","0.0","1.0","1.0"
"38",6,"Ryan Succop",FA,"7.8","0.0","0.6","0.4","0.7","0.1","1.4","1.5"
"39",6,"Tristan Vizcaino",FA,"3.3","0.0","0.0","0.3","0.3","0.0","1.0","1.0"
"40",6,"Mason Crosby",FA,"7.1","0.0","0.6","0.5","0.4","0.1","2.2","2.3"
"41",6,"Elliott Fry",FA,"0","0","0","0","0","0","0","0"
"42",6,"Tyler Davis",FA,"0","0","0","0","0","0","0","0"
"43",6,"Randy Bullock",FA,"5.4","0.0","0.3","0.3","0.4","0.1","1.8","1.8"
"44",6,"Zane Gonzalez",SF,"0","0","0","0","0","0","0","0"
"45",6,"Parker Romo",DET,"0","0","0","0","0","0","0","0"
"46",6,"Blake Grupe",NO,"0","0","0","0","0","0","0","0"
"47",6,"Matthew Wright",FA,"11.7","0.0","0.2","1.0","1.0","0.3","2.5","2.5"
"48",6,"B.T. Potter",FA,"0","0","0","0","0","0","0","0"
"49",6,"James McCourt",JAC,"0","0","0","0","0","0","0","0"
