"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Justin Tucker",BAL,"1","16","1.3","1.8","0"
"2",1,"Tyler Bass",BUF,"2","11","3.0","1.5","+3"
"3",1,"Harrison Butker",KC,"1","12","3.7","1.7","+1"
"4",1,"Evan McPherson",CIN,"2","12","4.6","1.9","-1"
"5",2,"Daniel Carlson",LV,"1","17","5.1","3.6","-3"
"6",2,"Younghoe Koo",ATL,"3","18","7.5","3.5","0"
"7",2,"Jason Sanders",MIA,"5","24","9.0","3.5","+8"
"8",2,"Jason Myers",SEA,"4","30","9.2","3.6","-1"
"9",2,"Jake Elliott",PHI,"4","19","9.9","3.0","-1"
"10",2,"Brandon McManus",JAC,"5","20","10.2","2.4","+4"
"11",3,"Greg Zuerlein",NYJ,"7","23","13.3","3.9","+1"
"12",3,"Greg Joseph",MIN,"6","20","13.8","3.3","+9"
"13",3,"Graham Gano",NYG,"7","23","14.2","3.5","-4"
"14",3,"Jake Moody",SF,"6","33","14.6","6.0","-3"
"15",3,"Matt Gay",IND,"7","31","15.5","5.0","-2"
"16",3,"Wil Lutz",NO,"8","35","17.1","3.9","+2"
"17",3,"Riley Patterson",DET,"6","31","18.1","5.3","-1"
"18",3,"Chris Boswell",PIT,"5","28","18.9","4.5","+1"
"19",4,"Nick Folk",NE,"6","37","17.7","9.1","-2"
"20",4,"Matt Prater",ARI,"12","33","21.4","6.1","+4"
"21",4,"Cairo Santos",CHI,"11","31","22.9","3.6","+9"
"22",4,"Ka'imi Fairbairn",HOU,"15","32","24.6","3.5","+12"
"23",4,"Cameron Dicker",LAC,"7","39","22.2","7.5","-13"
"24",4,"Cade York",CLE,"14","32","23.1","4.2","+9"
"25",4,"Brett Maher",DEN,"3","33","21.3","6.6","-5"
"26",4,"Dustin Hopkins",LAC,"7","35","22.5","7.4","+28"
"27",4,"Eddy Pineiro",CAR,"11","36","24.5","5.0","-4"
"28",5,"Joey Slye",WAS,"19","38","27.2","4.1","+3"
"29",5,"Michael Badgley",TEN,"16","40","27.2","4.7","-7"
"30",5,"Brandon Aubrey",DAL,"9","34","23.2","6.8","-4"
"31",5,"Anders Carlson",GB,"20","37","27.8","3.6","-4"
"32",5,"Chase McLaughlin",TB,"19","41","28.6","3.8","-4"
"33",5,"Tanner Brown",LAR,"19","41","29.5","4.3","+7"
"34",5,"Chad Ryland",NE,"11","40","26.6","7.8","+4"
"35",5,"Rodrigo Blankenship",FA,"10","40","29.4","7.2","+2"
"36",5,"Robbie Gould",FA,"18","40","29.3","6.8","-4"
"37",6,"Caleb Shudak",FA,"22","40","32.0","4.1","+10"
"38",6,"Ryan Succop",FA,"19","45","31.3","7.2","+7"
"39",6,"Tristan Vizcaino",FA,"26","43","33.0","5.1","-"
"40",6,"Mason Crosby",FA,"14","42","32.7","7.4","-4"
"41",6,"Elliott Fry",FA,"30","43","36.0","4.0","+12"
"42",6,"Tyler Davis",FA,"15","39","29.2","8.1","-"
"43",6,"Randy Bullock",FA,"28","51","37.5","6.8","-"
"44",6,"Zane Gonzalez",SF,"34","39","36.4","1.8","-1"
"45",6,"Parker Romo",DET,"32","44","36.0","4.2","-"
"46",6,"Blake Grupe",NO,"28","54","39.3","9.4","-"
"47",6,"Matthew Wright",FA,"37","38","37.3","0.5","+3"
"48",6,"B.T. Potter",FA,"36","47","41.5","5.5","-"
"49",6,"James McCourt",JAC,"36","49","42.5","6.5","-10"
