"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","0-19","20-29","30-39","40-49","50+","XPM","XPA"
"1",1,"Justin Tucker",BAL,"145","0","8","6","9","3","52","53"
"2",1,"Harrison Butker",KC,"134","2","7","9","3","4","48","54"
"3",1,"Younghoe Koo",ATL,"168","0","10","11","8","8","33","36"
"4",2,"Greg Zuerlein",DAL,"153","1","5","13","12","3","33","36"
"5",2,"Jason Sanders",MIA,"172","1","8","7","12","8","36","36"
"6",2,"Wil Lutz",NO,"135","0","5","10","7","1","57","58"
"7",2,"Rodrigo Blankenship",IND,"150","0","10","12","9","1","43","45"
"8",3,"Tyler Bass",BUF,"157","1","9","6","8","4","57","59"
"9",3,"Ryan Succop",TB,"145","1","10","9","7","1","52","57"
"10",3,"Matt Prater",ARI,"117","0","4","7","4","6","38","41"
"11",3,"Robbie Gould",SF,"106","0","3","5","9","2","36","38"
"12",3,"Jason Myers",SEA,"138","0","2","7","13","2","49","53"
"13",3,"Michael Badgley",LAC,"120","0","8","6","8","2","36","39"
"14",4,"Mason Crosby",GB,"120","1","1","5","5","4","59","63"
"15",4,"Daniel Carlson",LV,"155","0","18","8","3","4","45","47"
"16",4,"Brandon McManus",DEN,"136","0","6","4","8","10","24","27"
"17",4,"Joey Slye",CAR,"129","0","11","10","7","1","33","36"
"18",4,"Jake Elliott",PHI,"75","0","1","6","5","2","24","26"
"19",4,"Matt Gay",LAR,"66","0","2","5","6","1","16","16"
"20",4,"Dustin Hopkins",WAS,"128","0","5","7","13","2","30","32"
"21",4,"Chris Boswell",PIT,"100","0","5","6","7","1","34","38"
"22",4,"Ka'imi Fairbairn",HOU,"132","0","8","9","6","4","37","40"
"23",4,"Josh Lambo",JAC,"28","0","0","2","1","2","8","10"
"24",5,"Graham Gano",NYG,"133","0","4","13","9","5","21","23"
"25",5,"Cairo Santos",CHI,"139","0","9","10","9","2","36","37"
"26",5,"Nick Folk",NE,"123","0","6","7","11","2","30","33"
"27",5,"Evan McPherson",CIN,"0","0","0","0","0","0","0","0"
"28",5,"Cody Parkey",CLE,"110","0","5","4","10","0","43","47"
"29",5,"Austin Seibert",CIN,"27","0","0","5","1","0","8","9"
"30",5,"Stephen Gostkowski",FA,"119","0","2","4","5","7","46","48"
"31",5,"Randy Bullock",DET,"100","0","3","8","7","3","24","25"
"32",6,"Greg Joseph",MIN,"0","0","0","0","0","0","0","0"
"33",6,"Zane Gonzalez",FA,"98","0","4","2","8","2","38","39"
"34",6,"Dan Bailey",FA,"90","0","6","3","4","2","37","43"
"35",6,"Sam Ficken",NYJ,"54","0","5","6","1","1","12","15"
"36",6,"Tucker McCann",TEN,"0","0","0","0","0","0","0","0"
"37",6,"Sam Sloman",PIT,"55","0","2","6","2","0","23","26"
"38",6,"Chase McLaughlin",CLE,"20","0","1","1","1","1","5","6"
"39",6,"Aldrick Rosas",JAC,"39","0","3","2","0","3","9","9"
"40",6,"Chris Naggar",NYJ,"0","0","0","0","0","0","0","0"
