PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
Christian McCaffrey,CAR,1,3,1.1,0.3
Dalvin Cook,MIN,1,7,2.1,0.5
Alvin Kamara,NO,2,10,3.6,1.2
Derrick Henry,TEN,1,23,6.7,4.5
Ezekiel Elliott,DAL,2,22,6.9,3.6
Davante Adams,GB,5,19,7.4,3
Saquon Barkley,NYG,2,52,7.6,4.7
Tyreek Hill,KC,5,21,9.5,1.8
Stefon Diggs,BUF,5,24,10.3,3
Aaron Jones,GB,4,28,11.8,5.1
Austin Ekeler,LAC,3,330,12.4,31.2
DeAndre Hopkins,ARI,5,22,12.6,2.7
Jonathan Taylor,IND,3,34,13.6,6.1
Calvin Ridley,ATL,5,30,13.8,2.7
Travis Kelce,KC,5,43,16.2,2.8
D.K. Metcalf,SEA,9,32,19.7,4.7
Darren Waller,LV,14,37,19.8,3.4
Justin Jefferson,MIN,11,36,19.9,5.5
Nick Chubb,CLE,3,40,20.2,5.8
Keenan Allen,LAC,12,35,21.2,5.4
A.J. Brown,TEN,9,49,21.4,5.3
Joe Mixon,CIN,6,52,22,7.8
Antonio Gibson,WAS,7,51,22.5,7.1
Allen Robinson II,CHI,12,36,24.6,4.4
Patrick Mahomes II,KC,13,56,24.6,10.7
George Kittle,SF,16,46,25.9,5.8
Terry McLaurin,WAS,16,39,28.2,3.9
Clyde Edwards-Helaire,KC,6,60,29.3,8.8
Najee Harris,PIT,6,149,27.2,18.3
D'Andre Swift,DET,7,112,32.1,11.8
Robert Woods,LAR,21,64,34.4,4.8
Amari Cooper,DAL,21,64,34.6,5
CeeDee Lamb,DAL,12,65,35.2,8.5
Chris Godwin,TB,24,62,35.6,5.1
Mike Evans,TB,23,64,38.1,6.4
Julio Jones,TEN,15,75,38.2,8.5
Chris Carson,SEA,20,60,38.3,8.3
D.J. Moore,CAR,21,98,40.3,5.7
J.K. Dobbins,BAL,22,66,40.4,8.8
David Montgomery,CHI,22,76,41,9.1
Miles Sanders,PHI,22,71,42.5,8.8
Diontae Johnson,PIT,25,79,42.7,7.3
Cooper Kupp,LAR,29,88,42.9,7.7
Josh Allen,BUF,19,61,43.4,9
Tyler Lockett,SEA,32,88,47.5,8.9
Adam Thielen,MIN,36,90,50.3,9.4
Josh Jacobs,LV,23,85,51.2,8.2
Kyler Murray,ARI,19,68,52.5,7
Myles Gaskin,MIA,34,115,52.8,11.6
T.J. Hockenson,DET,18,127,52.9,10.7
Kenny Golladay,NYG,34,99,53.6,10.9
Lamar Jackson,BAL,19,77,54,12.1
Darrell Henderson,LAR,28,134,55.2,18.9
Mark Andrews,BAL,26,69,55.2,8.2
Tee Higgins,CIN,32,88,55.8,10
Dak Prescott,DAL,19,91,57.8,8.7
Travis Etienne,JAC,14,182,58.7,23.7
Brandon Aiyuk,SF,33,82,58.9,9.8
Mike Davis,ATL,28,271,59.4,31.2
Kareem Hunt,CLE,40,84,59.5,8.8
JuJu Smith-Schuster,PIT,45,150,65.1,15.3
Kyle Pitts,ATL,17,281,65.6,37.5
Odell Beckham Jr.,CLE,42,151,66,14.2
Courtland Sutton,DEN,36,111,68.1,10.8
Chase Edmonds,ARI,23,122,70.9,13.3
Russell Wilson,SEA,51,117,71,9.1
Ja'Marr Chase,CIN,30,223,65.3,28.8
Chase Claypool,PIT,43,109,72.2,9.7
D.J. Chark Jr.,JAC,37,122,72.8,12.4
Robby Anderson,CAR,41,146,73.6,13.3
Tyler Boyd,CIN,48,137,75.1,12.5
Aaron Rodgers,GB,52,114,76.6,11.9
Justin Herbert,LAC,50,117,76.7,9.8
Dallas Goedert,PHI,49,173,80,16.8
Jerry Jeudy,DEN,49,128,81.3,13.9
Deebo Samuel,SF,50,160,82.1,15.1
Noah Fant,DEN,53,133,82.8,14.5
Javonte Williams,DEN,27,330,84.2,43.7
Brandin Cooks,HOU,39,172,84.8,16.1
Will Fuller V,MIA,45,229,85.5,21.9
Melvin Gordon III,DEN,40,143,85.6,21.8
Raheem Mostert,SF,57,168,86.2,18.6
James Robinson,JAC,31,188,86.5,19.9
Michael Thomas,NO,11,223,87.4,49.2
Damien Harris,NE,52,144,90.4,17.6
Tom Brady,TB,60,150,90.9,11.9
Jarvis Landry,CLE,49,124,91.1,11.8
Jalen Hurts,PHI,56,254,91.9,14.4
Ryan Tannehill,TEN,53,154,92.9,11.8
Ronald Jones II,TB,57,152,92.9,17.7
Curtis Samuel,WAS,48,244,93.9,23
Logan Thomas,WAS,48,163,95.1,21
David Johnson,HOU,57,149,95.1,18.7
