"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","COMP","ATT","PCT","YDS","TDS","INT","ATT","YDS","TDS","SACK"
"1",1,"Patrick Mahomes II",KC,"25.3","25.6","38.1","67%","308.8","2.4","0.7","3.6","21.1","0.2","1.5"
"2",1,"Jalen Hurts",PHI,"25.6","20.4","30.7","67%","246.7","1.5","0.4","11.0","50.7","0.9","2.5"
"3",1,"Josh Allen",BUF,"24.2","21.3","33.7","63%","253.9","2.1","0.8","7.4","45.6","0.4","1.9"
"4",2,"Lamar Jackson",BAL,"20.3","16.9","27.2","62%","186.8","1.4","0.6","9.3","63.7","0.3","2.2"
"5",2,"Joe Burrow",CIN,"21.7","24.6","35.9","69%","266.3","2.1","0.7","4.5","15.2","0.3","2.4"
"6",2,"Justin Fields",CHI,"20.5","12.8","21.2","60%","149.5","1.1","0.7","10.7","76.2","0.5","3.7"
"7",2,"Justin Herbert",LAC,"17.1","28.1","41.1","68%","278.8","1.5","0.6","3.2","8.6","0.0","2.2"
"8",2,"Trevor Lawrence",JAC,"17.9","22.8","34.4","66%","241.9","1.5","0.5","3.6","17.1","0.3","1.6"
"9",3,"Deshaun Watson",CLE,"15.1","16.5","28.3","58%","183.7","1.2","0.8","6.0","29.2","0.2","3.3"
"10",3,"Dak Prescott",DAL,"17.8","21.8","32.8","66%","238.3","1.9","1.3","3.8","15.2","0.1","1.7"
"11",3,"Daniel Jones",NYG,"18.4","19.8","29.5","67%","200.3","0.9","0.3","7.5","44.3","0.4","2.8"
"12",3,"Tua Tagovailoa",MIA,"18.4","19.9","30.8","65%","272.9","1.9","0.6","1.8","5.4","0.0","1.6"
"13",3,"Kirk Cousins",MIN,"18.0","24.9","37.8","66%","267.5","1.7","0.8","1.8","5.7","0.1","2.7"
"14",3,"Geno Smith",SEA,"18.5","23.5","33.6","70%","251.9","1.8","0.6","4.0","21.5","0.1","2.7"
"15",3,"Anthony Richardson",IND,"0","0","0","0","0","0","0","0","0","0","0"
"16",3,"Aaron Rodgers",NYJ,"14.8","20.6","31.9","65%","217.4","1.5","0.7","2.0","5.5","0.1","1.9"
"17",3,"Jared Goff",DET,"17.1","22.5","34.5","65%","261.1","1.7","0.4","1.7","4.3","0.0","1.4"
"18",4,"Russell Wilson",DEN,"15.8","19.5","32.2","60%","234.9","1.1","0.7","3.7","18.5","0.2","3.7"
"19",4,"Derek Carr",NO,"15.5","20.3","33.5","61%","234.8","1.6","0.9","1.6","6.8","0.0","1.8"
"20",4,"Matthew Stafford",LAR,"12.9","22.9","33.7","68%","231.9","1.1","0.9","1.4","1.0","0.1","3.2"
"21",4,"Kenny Pickett",PIT,"12.2","18.8","29.9","63%","184.9","0.5","0.7","4.2","18.2","0.2","2.1"
"22",4,"Jordan Love",GB,"2.9","3.5","5.3","67%","48.8","0.3","0.0","0.3","-0.3","0.0","0.0"
"23",4,"Brock Purdy",SF,"12.3","12.7","18.9","67%","152.7","1.4","0.4","2.4","1.4","0.1","1.2"
"24",4,"Bryce Young",CAR,"0","0","0","0","0","0","0","0","0","0","0"
"25",4,"Ryan Tannehill",TEN,"13.9","17.7","27.1","65%","211.3","1.1","0.5","2.8","8.2","0.2","2.8"
"26",4,"Sam Howell",WAS,"19.3","11.0","19.0","58%","169.0","1.0","1.0","5.0","35.0","1.0","3.0"
"27",4,"Kyler Murray",ARI,"18.9","23.5","35.5","66%","215.3","1.3","0.6","6.1","38.0","0.3","2.3"
