"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Patrick Mahomes II",KC,"1","4","1.9","0.9","0"
"2",1,"Jalen Hurts",PHI,"1","7","2.2","1.0","+1"
"3",1,"Josh Allen",BUF,"1","5","2.3","1.0","-1"
"4",2,"Lamar Jackson",BAL,"1","10","4.6","1.4","0"
"5",2,"Joe Burrow",CIN,"3","8","5.4","1.1","0"
"6",2,"Justin Fields",CHI,"1","10","5.9","1.4","+1"
"7",2,"Justin Herbert",LAC,"3","10","6.3","1.1","-1"
"8",2,"Trevor Lawrence",JAC,"6","13","8.1","1.0","0"
"9",3,"Deshaun Watson",CLE,"6","22","10.8","2.6","0"
"10",3,"Dak Prescott",DAL,"6","18","11.8","2.4","0"
"11",3,"Daniel Jones",NYG,"7","18","11.9","2.4","+3"
"12",3,"Tua Tagovailoa",MIA,"8","19","12.0","2.4","-1"
"13",3,"Kirk Cousins",MIN,"9","18","13.1","1.9","0"
"14",3,"Geno Smith",SEA,"9","19","13.4","2.1","+2"
"15",3,"Anthony Richardson",IND,"6","22","13.8","3.4","0"
"16",3,"Aaron Rodgers",NYJ,"7","22","15.3","2.5","-4"
"17",3,"Jared Goff",DET,"10","21","16.6","1.9","0"
"18",4,"Russell Wilson",DEN,"11","26","17.8","2.5","0"
"19",4,"Derek Carr",NO,"16","26","20.6","2.3","+1"
"20",4,"Matthew Stafford",LAR,"16","27","21.1","2.1","+3"
"21",4,"Kenny Pickett",PIT,"15","27","21.5","2.3","-2"
"22",4,"Jordan Love",GB,"14","30","22.0","2.9","+2"
"23",4,"Brock Purdy",SF,"15","35","22.6","3.9","-2"
"24",4,"Bryce Young",CAR,"18","32","25.5","2.5","-2"
"25",4,"Ryan Tannehill",TEN,"19","33","26.1","2.9","+5"
"26",4,"Sam Howell",WAS,"15","33","24.7","3.8","+3"
"27",4,"Kyler Murray",ARI,"18","46","26.8","4.3","-1"
"28",4,"Jimmy Garoppolo",LV,"20","35","27.9","2.8","-1"
"29",4,"C.J. Stroud",HOU,"22","32","27.9","2.3","-4"
"30",4,"Mac Jones",NE,"23","34","28.7","2.0","-2"
"31",4,"Desmond Ridder",ATL,"20","36","29.2","2.5","+2"
"32",4,"Baker Mayfield",TB,"25","35","31.3","1.6","0"
"33",5,"Trey Lance",DAL,"27","71","36.5","6.7","-2"
"34",5,"Jacoby Brissett",WAS,"32","45","35.3","2.4","-"
"35",5,"Will Levis",TEN,"33","72","39.2","7.3","-"
"36",6,"Kyle Trask",TB,"28","42","36.0","2.9","-"
"37",6,"Colt McCoy",ARI,"31","47","35.1","3.3","-3"
"38",6,"Sam Darnold",SF,"33","60","38.7","5.7","-"
"39",6,"Gardner Minshew II",IND,"34","60","39.5","4.8","-"
"40",6,"Taylor Heinicke",ATL,"34","49","40.5","3.7","-2"
"41",6,"Jameis Winston",NO,"33","70","44.1","8.2","+13"
"42",6,"Bailey Zappe",NE,"34","55","41.9","5.5","-"
"43",6,"Mike White",MIA,"34","50","39.5","3.4","-"
"44",6,"Tyler Huntley",BAL,"38","72","44.1","5.6","-"
"45",6,"Clayton Tune",ARI,"34","65","43.4","7.2","-3"
"46",6,"Jarrett Stidham",DEN,"37","61","45.6","5.6","-"
"47",6,"Andy Dalton",CAR,"34","60","46.2","5.8","-"
"48",6,"Davis Mills",HOU,"39","67","50.1","6.4","-"
"49",6,"Stetson Bennett",LAR,"39","65","50.4","7.5","-10"
"50",6,"Zach Wilson",NYJ,"36","64","50.9","7.1","-7"
"51",6,"Aidan O'Connell",LV,"37","81","49.1","10.8","-11"
"52",7,"Marcus Mariota",PHI,"40","75","50.7","6.3","-3"
"53",7,"Malik Willis",TEN,"33","71","50.6","10.8","-"
"54",7,"Mitch Trubisky",PIT,"45","65","53.6","6.4","-6"
"55",7,"Brian Hoyer",LV,"36","98","55.1","16.6","-"
"56",7,"Tyrod Taylor",NYG,"46","65","56.0","5.7","-"
"57",7,"Cooper Rush",DAL,"48","71","58.4","6.5","-7"
"58",7,"Carson Wentz",FA,"36","66","48.1","8.4","-"
"59",7,"Teddy Bridgewater",DET,"43","66","54.5","6.3","-3"
"60",7,"Drew Lock",SEA,"51","70","60.2","4.3","-5"
"61",7,"Nick Mullens",MIN,"48","76","60.7","7.7","-"
"62",7,"Hendon Hooker",DET,"48","91","60.1","9.8","-10"
"63",7,"Joshua Dobbs",ARI,"38","68","58.0","7.7","-"
"64",7,"Trevor Siemian",CIN,"40","94","61.3","12.5","-"
"65",7,"P.J. Walker",CHI,"48","73","60.0","6.1","-"
"66",7,"Kyle Allen",BUF,"53","89","64.5","8.6","-15"
"67",7,"C.J. Beathard",JAC,"55","78","65.2","7.3","-"
"68",7,"Blaine Gabbert",KC,"48","79","64.3","9.8","-"
"69",7,"Skylar Thompson",MIA,"40","77","63.8","10.3","-"
"70",7,"Sean Clifford",GB,"41","80","63.8","8.8","-"
"71",7,"Case Keenum",HOU,"49","95","65.7","9.9","-"
"72",7,"Dorian Thompson-Robinson",CLE,"38","96","62.9","14.5","-"
"73",7,"Easton Stick",LAC,"53","90","68.8","10.8","-"
"74",8,"Matt Corral",CAR,"67","84","71.3","4.9","-"
"75",8,"Jeff Driskel",ARI,"50","94","70.1","16.0","-"
"76",8,"Malik Cunningham",NE,"43","80","62.6","13.0","-"
"77",8,"Sam Ehlinger",IND,"72","100","78.4","7.2","-"
"78",8,"Mason Rudolph",PIT,"71","93","81.0","8.7","-"
"79",8,"Jake Haener",NO,"67","95","76.6","8.1","-"
"80",8,"John Wolford",TB,"71","98","79.5","7.9","-"
"81",8,"Brett Rypien",LAR,"65","83","73.5","5.7","-"
"82",8,"Matt Ryan",FA,"51","83","57.8","12.6","-"
"83",8,"Matt Barkley",BUF,"61","91","77.6","9.6","-38"
"84",8,"David Blough",ARI,"70","83","77.4","5.6","-"
"85",8,"Tanner McKee",PHI,"54","92","74.5","12.1","-"
"86",8,"Josh Johnson",BAL,"44","91","71.0","15.3","-"
"87",8,"Nate Sudfeld",DET,"62","96","78.3","10.0","-"
"88",8,"Jaren Hall",MIN,"68","88","73.8","7.4","-"
"89",9,"Jake Fromm",WAS,"76","82","79.8","2.7","-"
"90",9,"Tyson Bagent",CHI,"61","68","65.0","2.9","-"
"91",9,"Feleipe Franks",ATL,"79","83","81.4","1.5","-"
"92",9,"Jake Browning",CIN,"54","105","82.6","20.9","-"
"93",9,"Nick Foles",FA,"68","73","70.0","2.2","-"
"94",9,"Brandon Allen",SF,"74","92","80.5","7.4","-"
"95",9,"Nathan Peterman",CHI,"69","99","87.2","12.3","-"
"96",9,"Anthony Brown",BAL,"77","95","87.2","7.0","-"
"97",9,"Logan Woodside",ATL,"70","89","83.0","7.8","-"
"98",9,"Trace McSorley",NE,"67","92","83.5","10.2","-57"
"99",9,"Danny Etling",FA,"67","68","67.5","0.5","-"
"100",9,"Tim Boyle",NYJ,"81","97","87.0","6.0","-"
"101",9,"Chris Streveler",FA,"74","87","82.7","6.1","-"
"102",9,"Kellen Mond",CLE,"47","101","83.0","25.5","-"
"103",9,"Max Duggan",LAC,"71","98","85.3","11.1","-"
"104",9,"Nathan Rourke",JAC,"74","85","79.5","5.5","-"
"105",9,"Jake Luton",FA,"86","94","88.7","3.8","-"
"106",9,"Ian Book",PHI,"84","84","84.0","0.0","-"
"107",9,"Will Grier",DAL,"87","104","96.3","7.8","-"
"108",9,"Shane Buechele",KC,"86","97","93.3","5.2","-"
"109",9,"Reid Sinnett",CIN,"89","102","97.7","6.1","-"
"110",9,"Ben DiNucci",DEN,"88","103","98.0","7.1","-57"
"111",9,"Chris Oladokun",KC,"99","99","99.0","0.0","-"
"112",9,"Chase Garbers",LV,"100","100","100.0","0.0","-"
