"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","COMP","ATT","PCT","YDS","TDS","INT","ATT","YDS","TDS","SACK"
"1",1,"Patrick Mahomes II",KC,"429.4","435","648","67%","5250","41","12","61","358","4","26"
"2",1,"Jalen Hurts",PHI,"384","306","460","67%","3701","22","6","165","760","13","38"
"3",1,"Josh Allen",BUF,"412.2","362","573","63%","4316","35","14","126","776","7","33"
"4",2,"Lamar Jackson",BAL,"243.1","203","326","62%","2242","17","7","112","764","3","26"
"5",2,"Joe Burrow",CIN,"369","418","610","69%","4527","36","12","76","259","5","41"
"6",2,"Justin Fields",CHI,"307","192","318","60%","2242","17","11","160","1143","8","55"
"7",2,"Justin Herbert",LAC,"291.3","477","699","68%","4739","25","10","54","147","0","38"
"8",2,"Trevor Lawrence",JAC,"303.6","387","584","66%","4113","25","8","62","291","5","27"
"9",3,"Deshaun Watson",CLE,"90.6","99","170","58%","1102","7","5","36","175","1","20"
"10",3,"Dak Prescott",DAL,"213.6","261","394","66%","2860","23","15","45","182","1","20"
"11",3,"Daniel Jones",NYG,"294","317","472","67%","3205","15","5","120","708","7","44"
"12",3,"Tua Tagovailoa",MIA,"238.9","259","400","65%","3548","25","8","24","70","0","21"
"13",3,"Kirk Cousins",MIN,"305.6","424","643","66%","4547","29","14","31","97","2","46"
"14",3,"Geno Smith",SEA,"314.9","399","572","70%","4282","30","11","68","366","1","46"
"15",3,"Anthony Richardson",IND,"0","0","0","0","0","0","0","0","0","0","0"
"16",3,"Aaron Rodgers",NYJ,"251.2","350","542","65%","3695","26","12","34","94","1","32"
"17",3,"Jared Goff",DET,"291.3","382","587","65%","4438","29","7","29","73","0","23"
"18",4,"Russell Wilson",DEN,"236.8","292","483","60%","3524","16","11","55","277","3","55"
"19",4,"Derek Carr",NO,"233.1","305","502","61%","3522","24","14","24","102","0","27"
"20",4,"Matthew Stafford",LAR,"116.4","206","303","68%","2087","10","8","13","9","1","29"
"21",4,"Kenny Pickett",PIT,"158.9","245","389","63%","2404","7","9","55","237","3","27"
"22",4,"Jordan Love",GB,"11.7","14","21","67%","195","1","0","1","-1","0","0"
"23",4,"Brock Purdy",SF,"110.3","114","170","67%","1374","13","4","22","13","1","11"
"24",4,"Bryce Young",CAR,"0","0","0","0","0","0","0","0","0","0","0"
"25",4,"Ryan Tannehill",TEN,"167.2","212","325","65%","2536","13","6","34","98","2","33"
"26",4,"Sam Howell",WAS,"19.3","11","19","58%","169","1","1","5","35","1","3"
"27",4,"Kyler Murray",ARI,"207.5","259","390","66%","2368","14","7","67","418","3","25"
"28",4,"Jimmy Garoppolo",LV,"168.8","207","308","67%","2437","16","4","23","33","2","18"
"29",4,"C.J. Stroud",HOU,"0","0","0","0","0","0","0","0","0","0","0"
"30",4,"Mac Jones",NE,"181.1","288","442","65%","2997","14","11","47","102","1","34"
"31",4,"Desmond Ridder",ATL,"38.7","73","115","63%","708","2","0","16","64","0","9"
"32",4,"Baker Mayfield",TB,"129.4","201","335","60%","2163","10","8","31","89","1","36"
"33",5,"Trey Lance",DAL,"13.5","15","31","48%","194","0","1","16","67","0","2"
"34",5,"Jacoby Brissett",WAS,"174.6","236","369","64%","2608","12","6","49","243","2","24"
"35",5,"Will Levis",TEN,"0","0","0","0","0","0","0","0","0","0","0"
"36",6,"Kyle Trask",TB,"0.9","3","9","33%","23","0","0","0","0","0","0"
"37",6,"Colt McCoy",ARI,"35.8","90","132","68%","780","1","3","14","36","0","13"
"38",6,"Sam Darnold",SF,"89.3","82","140","59%","1143","7","3","26","106","2","10"
"39",6,"Gardner Minshew II",IND,"39.8","44","76","58%","663","3","3","7","3","1","6"
"40",6,"Taylor Heinicke",ATL,"122","161","259","62%","1859","12","6","28","96","1","19"
"41",6,"Jameis Winston",NO,"48.9","73","115","63%","858","4","5","5","16","0","11"
"42",6,"Bailey Zappe",NE,"42.6","65","92","71%","781","5","3","10","0","0","6"
"43",6,"Mike White",MIA,"60.6","103","175","59%","1192","3","4","6","9","1","9"
"44",6,"Tyler Huntley",BAL,"53","75","112","67%","658","2","3","43","137","1","7"
"45",6,"Clayton Tune",ARI,"0","0","0","0","0","0","0","0","0","0","0"
"46",6,"Jarrett Stidham",DEN,"45.6","53","83","64%","656","4","3","14","84","0","7"
"47",6,"Andy Dalton",CAR,"183.2","252","378","67%","2871","18","9","30","54","0","25"
"48",6,"Davis Mills",HOU,"196.5","292","479","61%","3118","17","15","32","108","2","31"
"49",6,"Stetson Bennett",LAR,"0","0","0","0","0","0","0","0","0","0","0"
"50",6,"Zach Wilson",NYJ,"105.9","132","242","55%","1688","6","7","28","102","1","23"
"51",6,"Aidan O'Connell",LV,"0","0","0","0","0","0","0","0","0","0","0"
"52",7,"Marcus Mariota",PHI,"205.6","184","300","61%","2219","15","9","85","438","4","28"
"53",7,"Malik Willis",TEN,"22.3","31","61","51%","276","0","3","27","123","1","10"
"54",7,"Mitch Trubisky",PIT,"78.9","117","180","65%","1252","4","5","19","38","2","11"
"55",7,"Brian Hoyer",LV,"1.5","5","6","83%","37","0","0","0","0","0","1"
"56",7,"Tyrod Taylor",NYG,"12.3","6","8","75%","58","1","1","5","70","0","3"
"57",7,"Cooper Rush",DAL,"59.6","94","162","58%","1051","5","3","9","6","0","7"
"58",7,"Carson Wentz",FA,"121.8","172","276","62%","1755","11","9","22","86","1","26"
"59",7,"Teddy Bridgewater",DET,"42","49","79","62%","683","4","4","3","27","0","7"
"60",7,"Drew Lock",SEA,"0","0","0","0","0","0","0","0","0","0","0"
"61",7,"Nick Mullens",MIN,"12.8","21","25","84%","224","1","1","4","8","0","0"
"62",7,"Hendon Hooker",DET,"0","0","0","0","0","0","0","0","0","0","0"
"63",7,"Joshua Dobbs",ARI,"22.8","40","68","59%","411","2","2","8","44","0","6"
"64",7,"Trevor Siemian",CIN,"11.2","15","26","58%","184","1","1","4","8","0","2"
"65",7,"P.J. Walker",CHI,"42.1","63","106","59%","731","3","3","6","39","0","7"
"66",7,"Kyle Allen",BUF,"19.9","46","78","59%","416","2","4","6","13","0","5"
"67",7,"C.J. Beathard",JAC,"0","7","11","64%","35","0","1","4","-4","0","1"
"68",7,"Blaine Gabbert",KC,"5.2","6","8","75%","29","1","0","0","0","0","0"
