PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS","AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS"
"1",1,"Christian McCaffrey",CAR,"18.2","14.1","63.1","0.1","5.9","5.3","49.0","0.1"
"2",1,"Jonathan Taylor",IND,"21.9","19.5","106.5","1.1","3.0","2.4","21.2","0.1"
"3",1,"Austin Ekeler",LAC,"21.5","12.9","56.9","0.8","5.9","4.4","40.4","0.5"
"4",2,"Dalvin Cook",MIN,"15.9","19.2","89.2","0.5","3.8","2.6","17.2","0.0"
"5",2,"Derrick Henry",TEN,"24.2","27.4","117.1","1.3","2.5","2.3","19.3","0.0"
"6",2,"Najee Harris",PIT,"17.7","18.1","70.6","0.4","5.5","4.4","27.5","0.2"
"7",2,"D'Andre Swift",DET,"16.1","11.6","47.5","0.4","6.0","4.8","34.8","0.2"
"8",2,"Joe Mixon",CIN,"18.0","18.3","75.3","0.8","3.0","2.6","19.6","0.2"
"9",2,"Alvin Kamara",NO,"18.1","18.5","69.1","0.3","5.2","3.6","33.8","0.4"
"10",2,"Saquon Barkley",NYG,"10.6","11.6","42.4","0.1","4.1","2.9","18.8","0.1"
"11",3,"Aaron Jones",GB,"15.3","11.4","53.3","0.3","4.3","3.5","26.1","0.4"
"12",3,"Leonard Fournette",TB,"18.3","12.9","58.0","0.6","6.0","4.9","32.4","0.1"
"13",3,"Javonte Williams",DEN,"12.1","11.9","53.1","0.2","3.1","2.5","18.6","0.2"
"14",3,"Nick Chubb",CLE,"15.4","16.3","89.9","0.6","1.8","1.4","12.4","0.1"
"15",3,"James Conner",ARI,"17.2","13.5","50.1","1.0","2.6","2.5","25.0","0.2"
"16",4,"Ezekiel Elliott",DAL,"14.8","13.9","58.9","0.6","3.8","2.8","16.9","0.1"
"17",4,"Travis Etienne Jr.",JAC,"0","0","0","0","0","0","0","0"
"18",4,"David Montgomery",CHI,"14.0","16.1","60.6","0.5","3.6","3.0","21.5","0.0"
"19",4,"Breece Hall",NYJ,"0","0","0","0","0","0","0","0"
"20",4,"Cam Akers",LAR,"2.1","2.5","1.5","0.0","1.5","1.5","5.0","0.0"
"21",4,"AJ Dillon",GB,"10.9","11.0","47.2","0.3","2.2","2.0","18.4","0.1"
"22",4,"Elijah Mitchell",SF,"13.8","17.3","80.3","0.4","1.7","1.6","11.4","0.1"
"23",4,"Josh Jacobs",LV,"15.1","14.5","58.1","0.6","4.3","3.6","23.2","0.0"
"24",4,"J.K. Dobbins",BAL,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"25",4,"Chase Edmonds",MIA,"11.9","9.7","49.3","0.2","4.4","3.6","25.9","0.0"
"26",5,"Antonio Gibson",WAS,"14.3","16.1","64.8","0.4","3.3","2.6","18.4","0.2"
"27",5,"Clyde Edwards-Helaire",KC,"11.7","11.9","51.7","0.4","2.3","1.9","11.8","0.2"
"28",5,"Kareem Hunt",CLE,"13.8","9.8","48.3","0.6","3.4","2.8","21.8","0.0"
"29",5,"Tony Pollard",DAL,"10.8","8.7","47.9","0.1","3.1","2.6","22.5","0.0"
"30",5,"Dameon Pierce",HOU,"0","0","0","0","0","0","0","0"
"31",5,"Miles Sanders",PHI,"9.8","11.4","62.8","0.0","2.8","2.2","13.2","0.0"
"32",5,"Damien Harris",NE,"14.0","13.5","61.9","1.0","1.3","1.2","8.8","0.0"
"33",5,"Rashaad Penny",SEA,"12.2","11.9","74.9","0.6","0.8","0.6","4.8","0.0"
"34",5,"Rhamondre Stevenson",NE,"9.6","11.1","50.5","0.4","1.5","1.2","10.3","0.0"
"35",5,"Cordarrelle Patterson",ATL,"14.7","9.6","38.6","0.4","4.3","3.3","34.3","0.3"
"36",5,"Devin Singletary",BUF,"11.6","11.1","51.2","0.4","2.9","2.4","13.4","0.1"
"37",6,"Melvin Gordon III",DEN,"12.2","12.7","57.4","0.5","2.4","1.8","13.3","0.1"
"38",6,"Michael Carter",NYJ,"11.0","10.5","45.6","0.3","3.9","2.6","23.2","0.0"
"39",6,"James Cook",BUF,"0","0","0","0","0","0","0","0"
"40",6,"Ken Walker III",SEA,"0","0","0","0","0","0","0","0"
"41",6,"Nyheim Hines",IND,"6.6","3.3","16.2","0.1","3.4","2.4","18.2","0.1"
"42",6,"Darrell Henderson Jr.",LAR,"13.6","12.4","57.3","0.4","3.3","2.4","14.7","0.3"
"43",6,"Alexander Mattison",MIN,"7.9","8.4","30.7","0.2","2.4","2.0","14.3","0.1"
"44",6,"James Robinson",JAC,"12.4","11.7","54.8","0.6","3.3","2.2","15.9","0.0"
"45",6,"J.D. McKissic",WAS,"11.6","4.4","19.3","0.2","4.8","3.9","36.1","0.2"
"46",6,"Kenneth Gainwell",PHI,"7.7","4.3","18.2","0.3","3.1","2.1","15.8","0.1"
"47",6,"Khalil Herbert",CHI,"4.9","6.4","27.1","0.1","1.0","0.9","6.0","0.0"
"48",6,"Jamaal Williams",DET,"9.2","11.8","46.2","0.2","2.2","2.0","12.1","0.0"
"49",6,"Raheem Mostert",MIA,"2.0","2.0","20.0","0.0","0.0","0.0","0.0","0.0"
"50",6,"Rachaad White",TB,"0","0","0","0","0","0","0","0"
"51",6,"Tyler Allgeier",ATL,"0","0","0","0","0","0","0","0"
"52",7,"Isaiah Spiller",LAC,"0","0","0","0","0","0","0","0"
"53",7,"Zamir White",LV,"0","0","0","0","0","0","0","0"
"54",7,"Mark Ingram II",NO,"7.8","11.4","39.6","0.1","2.5","1.9","11.6","0.0"
"55",7,"Darrel Williams",ARI,"11.5","8.5","32.8","0.4","3.4","2.8","26.6","0.1"
"56",7,"Gus Edwards",BAL,"0","0","0","0","0","0","0","0"
"57",7,"Brian Robinson Jr.",WAS,"0","0","0","0","0","0","0","0"
"58",7,"Jerick McKinnon",KC,"4.0","1.3","6.9","0.0","2.2","1.4","11.9","0.1"
"59",7,"Samaje Perine",CIN,"5.5","3.7","16.4","0.1","2.1","1.8","13.1","0.1"
"60",7,"Ronald Jones II",KC,"5.3","6.7","28.5","0.3","0.9","0.7","4.3","0.0"
"61",7,"D'Onta Foreman",CAR,"10.4","14.8","62.9","0.3","1.2","1.0","13.7","0.0"
"62",7,"Jeff Wilson Jr.",SF,"5.7","8.8","32.7","0.2","0.9","0.8","3.4","0.0"
"63",7,"Boston Scott",PHI,"9.0","7.9","33.9","0.6","1.5","1.2","7.5","0.0"
"64",7,"D'Ernest Johnson",CLE,"8.0","7.7","41.1","0.2","1.9","1.5","10.5","0.0"
"65",7,"Isiah Pacheco",KC,"0","0","0","0","0","0","0","0"
"66",7,"Chuba Hubbard",CAR,"8.6","10.8","38.3","0.3","2.3","1.6","10.9","0.1"
"67",7,"Tyrion Davis-Price",SF,"0","0","0","0","0","0","0","0"
"68",7,"Damien Williams",ATL,"5.1","3.3","13.7","0.2","1.9","1.3","8.6","0.1"
"69",7,"Mike Davis",BAL,"8.1","8.1","29.6","0.2","3.4","2.6","15.2","0.1"
"70",7,"Rex Burkhead",HOU,"7.0","8.1","28.5","0.2","2.1","1.7","12.4","0.0"
"71",8,"Zack Moss",BUF,"8.1","7.4","26.5","0.3","2.5","1.8","15.2","0.1"
"72",8,"Eno Benjamin",ARI,"3.5","4.3","14.8","0.1","0.9","0.8","5.3","0.0"
"73",8,"Sony Michel",LAC,"8.6","12.2","49.7","0.2","1.9","1.2","7.5","0.1"
