PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
1,1,Christian McCaffrey,CAR,1,3,1.1,0.2
2,1,Dalvin Cook,MIN,1,5,2.2,0.7
3,1,Alvin Kamara,NO,2,6,3.3,0.9
4,2,Ezekiel Elliott,DAL,3,12,5.5,1.8
5,2,Derrick Henry,TEN,2,13,5.7,2.6
6,2,Austin Ekeler,LAC,3,14,6.7,2
7,2,Aaron Jones,GB,3,12,6.8,1.8
8,2,Saquon Barkley,NYG,2,16,7.7,2.5
9,3,Jonathan Taylor,IND,4,16,9.9,2.7
10,3,Nick Chubb,CLE,4,15,10.5,2.4
11,3,Antonio Gibson,WAS,6,16,10.9,1.7
12,3,Joe Mixon,CIN,7,20,11.6,2.5
13,3,Najee Harris,PIT,5,24,12.3,2.8
14,3,Clyde Edwards-Helaire,KC,6,23,14,2.8
15,3,D'Andre Swift,DET,7,27,15.9,3.2
16,4,David Montgomery,CHI,10,24,17,2.9
17,4,Chris Carson,SEA,10,23,17.2,2.3
18,4,J.K. Dobbins,BAL,12,24,17.9,2.5
19,4,James Robinson,JAC,10,35,18.2,3.8
20,4,Miles Sanders,PHI,14,28,20.1,2.9
21,4,Josh Jacobs,LV,16,29,21.8,2.4
22,4,Mike Davis,ATL,15,30,22.7,2.9
23,4,Darrell Henderson,LAR,15,47,23.2,5.1
24,4,Kareem Hunt,CLE,17,30,23.8,2.4
25,4,Myles Gaskin,MIA,15,35,24.1,4
26,4,Chase Edmonds,ARI,20,38,26.8,3.6
27,5,Javonte Williams,DEN,18,47,28.3,4.8
28,5,Damien Harris,NE,21,43,29.3,4.6
29,5,Raheem Mostert,SF,23,46,31.2,4.8
30,5,Melvin Gordon III,DEN,20,46,32,5.1
31,5,Trey Sermon,SF,20,88,33.3,8.4
32,5,Michael Carter,NYJ,24,55,34,6.3
33,5,Ronald Jones II,TB,25,50,35.1,5.8
34,5,Kenyan Drake,LV,27,47,36.9,4.5
35,5,James Conner,ARI,26,51,37,5.1
36,5,Nyheim Hines,IND,28,53,37.2,5.9
37,5,Zack Moss,BUF,26,50,37.4,5
38,5,Leonard Fournette,TB,26,57,38.3,5.9
39,6,Jamaal Williams,DET,28,51,40.3,5.3
40,6,David Johnson,HOU,25,72,40.5,8.9
41,6,AJ Dillon,GB,29,55,41.4,5.3
42,6,Devin Singletary,BUF,29,54,41.5,4.7
43,6,Tony Pollard,DAL,30,55,42.2,4.8
44,6,Gus Edwards,BAL,33,63,43.7,4.8
45,6,J.D. McKissic,WAS,29,75,44.6,7.8
46,6,James White,NE,30,56,45.1,7
47,6,Phillip Lindsay,HOU,30,66,45.7,6.6
48,6,Giovani Bernard,TB,30,72,49.2,8.8
49,6,Latavius Murray,NO,35,78,50.2,8.4
50,6,Alexander Mattison,MIN,41,65,52.5,4.4
51,6,Tevin Coleman,NYJ,37,87,54.3,8.6
52,6,Sony Michel,LAR,28,88,51.9,11.6
53,6,Rashaad Penny,SEA,40,99,56.2,7.1
54,6,Tarik Cohen,CHI,27,82,52.5,11.6
55,7,Darrel Williams,KC,46,97,61.4,10
56,7,Damien Williams,CHI,45,101,63.5,10.1
57,7,Kenneth Gainwell,PHI,42,107,61.9,12
58,7,Salvon Ahmed,MIA,44,108,61,8.2
59,7,Marlon Mack,IND,44,108,62.4,9.2
60,7,Carlos Hyde,JAC,42,95,62.3,10.8
61,7,Justin Jackson,LAC,45,90,65.3,8.6
62,7,Darrynton Evans,TEN,50,83,63.8,8
63,7,Malcolm Brown,MIA,38,92,62.1,10
64,7,Chuba Hubbard,CAR,46,107,67,10.3
65,7,Boston Scott,PHI,43,89,64.3,8.7
66,7,Rhamondre Stevenson,NE,42,101,66.3,13.4
67,7,Mark Ingram II,HOU,48,94,67.8,9.8
68,7,Joshua Kelley,LAC,49,89,68,6.8
69,7,Jerick McKinnon,KC,45,109,70.8,9.6
70,7,Benny Snell Jr.,PIT,52,99,70,9.2
71,7,Ty Johnson,NYJ,35,108,71.1,14.9
72,7,Anthony McFarland Jr.,PIT,56,99,75.2,8
73,8,Devontae Booker,NYG,46,106,72,13.1
74,8,Wayne Gallman,SF,49,104,76.2,9.2
75,8,Matt Breida,BUF,51,110,75.7,10.3
76,8,La'Mical Perine,NYJ,59,102,74.8,8.4
77,8,Jeff Wilson Jr.,SF,50,125,75,14.2
78,8,Samaje Perine,CIN,51,114,74.7,13.3
79,8,DeeJay Dallas,SEA,63,105,83.2,7.4
80,8,Xavier Jones,LAR,48,107,72.6,14.8
81,8,Ke'Shawn Vaughn,TB,54,129,79.9,12.3
82,8,Kerryon Johnson,FA,53,134,79.4,14.4
83,8,Jalen Richard,LV,66,113,83.1,8.7
84,8,Rex Burkhead,HOU,56,121,85.7,9.3
85,8,Qadree Ollison,ATL,49,118,75.2,15.7
86,8,Justice Hill,BAL,72,118,91.2,8.1
87,8,Eno Benjamin,ARI,66,149,90.3,11.2
88,8,Kalen Ballage,PIT,68,113,88.5,9.3
89,8,Jordan Howard,PHI,58,116,86.3,10.7
90,8,Brian Hill,TEN,71,114,92.2,7.6
91,8,Jordan Wilkins,IND,73,118,91.5,8.6
92,8,Javian Hawkins,TEN,49,130,81.9,15.4
93,8,Larry Rountree III,LAC,49,122,86,16.8
94,9,Ito Smith,MIN,70,141,92.6,10.8
95,9,Jermar Jefferson,DET,66,121,91.5,10.1
96,9,Todd Gurley II,FA,51,119,85.5,15
97,9,Duke Johnson Jr.,FA,56,119,88.9,12.6
98,9,Le'Veon Bell,FA,47,119,84.6,14.1
99,9,Peyton Barber,WAS,78,125,97.9,8.2
100,9,Jake Funk,LAR,60,114,87.8,14.3
101,9,Elijah Mitchell,SF,62,165,90,18.8
102,9,Adrian Peterson,FA,69,121,93.5,10.1
103,9,Mike Boone,DEN,66,126,95.4,12.3
104,9,Chris Evans,CIN,62,120,90.8,13.9
105,9,Royce Freeman,DEN,65,129,98.3,11.4
106,9,Kylin Hill,GB,70,131,92.7,14.7
107,9,Tony Jones Jr.,NO,40,124,68.7,18.9
108,9,Chris Thompson,FA,80,148,100,11.5
109,9,Dare Ogunbowale,JAC,75,136,95.2,13.4
110,9,Jaret Patterson,WAS,65,127,89.4,15.4
111,9,Khalil Herbert,CHI,76,147,100.5,16.3
112,10,Devine Ozigbo,JAC,86,145,101.5,14.3
113,10,Devonta Freeman,NO,78,122,99,13.1
114,10,Darwin Thompson,KC,74,131,104.5,13.8
115,10,Bryce Love,FA,80,132,94.6,12.9
116,10,Gerrid Doaks,MIA,76,149,107.3,19
117,10,Kene Nwangwu,MIN,86,118,103.5,8.1
118,10,Travis Homer,SEA,89,124,107.2,10.9
119,10,Kyle Juszczyk,SF,67,117,90.9,13.9
120,10,Alex Collins,SEA,65,146,95.9,24.6
121,10,Frank Gore,FA,85,146,104.3,14.1
122,10,J.J. Taylor,NE,69,140,101.1,21.2
123,10,Trayveon Williams,CIN,78,132,101.8,17.4
124,10,JaMycal Hasty,SF,77,157,114.3,21
125,10,LeSean McCoy,FA,85,144,105,15.9
126,10,D'Onta Foreman,ATL,83,150,109.7,20.7
127,10,Jeremy McNichols,TEN,82,139,110.2,14.3
128,10,Corey Clement,NYG,74,124,103,18.9
129,10,Raymond Calais,LAR,88,169,115.2,23.2
130,10,Ty Montgomery,NO,83,137,111.9,17.9
131,10,D'Ernest Johnson,CLE,91,172,122.7,21.2
132,10,Patrick Ricard,BAL,81,122,109.7,15.4
133,10,Gary Brightwell,NYG,98,158,127.4,17.2
134,10,Jaylen Samuels,PIT,89,177,128.3,24.5
135,10,Trey Ragas,LV,99,145,118,13.2
136,10,Alec Ingold,LV,85,129,110.8,15.5
137,10,C.J. Ham,MIN,78,138,113.4,19.6
138,10,Pooka Williams Jr.,CIN,92,173,122.8,27.2
139,10,Ameer Abdullah,MIN,94,175,130,22.3
140,11,Trenton Cannon,CAR,100,167,126.8,20.9
141,11,Stevie Scott III,DEN,109,163,127.3,17.8
142,11,Keith Smith,ATL,94,145,120.6,18.8
143,11,Khari Blasingame,TEN,115,136,127.1,6.8
144,11,Patrick Laird,MIA,109,176,136.1,20.6
145,11,Antonio Williams,BUF,100,155,139.1,17.7
146,11,Caleb Huntley,ATL,112,159,133.9,16.3
147,11,Alex Armah,NO,94,172,129.3,29.1
148,11,Rodney Smith,CAR,110,155,136.6,14.8
149,11,Reggie Bonnafon,CAR,111,150,130.2,14.7
150,11,Andy Janovich,CLE,109,145,130.7,13.2
151,11,Otis Anderson Jr.,LAR,63,146,109.5,34.1
152,11,Jakob Johnson,NE,112,166,134.5,18.6
153,11,Michael Burton,KC,87,160,113,29.2
154,11,Elijah McGuire,FA,105,166,126.6,22.1
155,11,Theo Riddick,LV,95,143,127.2,17.5
156,11,Dedrick Mills,DET,101,171,127.8,27.1
157,11,Rico Dowdle,DAL,123,165,137,14.7
158,11,Lamar Miller,WAS,90,170,133.4,31.9
159,11,Jacques Patrick,CIN,78,170,134.4,34.8
160,11,Dwayne Washington,NO,128,143,134.6,6
161,11,Brandon Bolden,NE,135,156,143,8.4
162,11,Reggie Gilliam,BUF,106,173,125,27.8
163,11,Ben Mason,BAL,106,151,125.3,16.5
164,11,Josh Adams,NYJ,127,146,136.2,6.8
165,11,Dexter Williams,GB,115,168,138.8,19.7
166,11,JaQuan Hardy,DAL,103,172,139.4,26.1
167,11,Jonathan Ward,ARI,129,153,139.8,8.8
168,11,T.J. Yeldon,FA,98,150,115.7,24.3
169,11,Bo Scarbrough,LV,81,164,116,35.1
170,11,Ty'Son Williams,BAL,130,154,141.6,10.1
171,11,Alfred Morris,NYG,120,167,141.8,16.7
172,11,Johnny Stanton,CLE,93,176,134,30.3
173,11,Jonathan Williams,WAS,123,177,149.7,16.2
174,11,Patrick Taylor Jr.,GB,121,168,135.3,19.2
175,11,Taiwan Jones,BUF,131,159,144.8,9.1
176,11,John Kelly,CLE,126,175,145,16.2
177,11,Tavien Feaster,ARI,116,183,146.6,22.4
178,11,Dontrell Hilliard,HOU,90,165,138.3,29.8
179,11,B.J. Emmons,LV,117,138,127.7,8.6
180,11,Brenden Knox,DAL,114,161,129.7,22.2
181,11,Ryan Nall,CHI,137,178,149.8,14.8
182,12,Jason Huntley,PHI,147,171,157,9.8
183,12,Elijhaa Penny,NYG,119,163,137.3,18.7
184,12,DeAndre Washington,FA,94,140,117,23
185,12,Troymaine Pope,TB,102,171,148.8,27.4
186,12,Buddy Howell,HOU,146,187,158.8,15.5
187,12,Rakeem Boyd,FA,124,174,145,21.2
188,12,Tre Harbison,CLE,98,188,148,37.4
189,12,C.J. Prosise,TB,136,174,159.2,13.3
190,12,Gabe Nabers,LAC,124,134,129,5
191,12,Tony Brooks-James,PIT,144,148,146,1.6
192,12,Jordan Scarlett,MIA,131,182,155.8,22.1
193,12,Nathan Cottrell,JAC,122,142,132,10
194,12,Scottie Phillips,HOU,146,184,161.6,13.5
195,12,Mekhi Sargent,TEN,142,156,148.7,5.7
196,12,Darius Bradwell,LAC,134,179,149.3,21
197,12,Damarea Crockett,DEN,138,181,153,19.8
198,12,Derek Watt,PIT,147,174,159.8,11.1
199,12,A.J. Rose Jr.,MIN,132,149,140.5,8.5
200,12,Derrick Gore,KC,139,154,146.5,7.5
201,12,Sewo Olonilua,DAL,133,164,148.5,15.5
202,12,Sandro Platzgummer,NYG,152,193,167.5,15.3
203,12,Nate McCrary,BAL,145,189,164.7,18.3
204,12,Cullen Gillaspia,NYG,127,180,153.5,26.5
205,12,Craig Reynolds,DET,138,186,162,24
206,12,Deon Jackson,IND,150,190,169.3,16.4
207,12,Austin Walter,FA,139,185,162,23
208,12,Kerrith Whyte Jr.,BUF,165,179,170.3,6.2
209,12,Trey Edmunds,PIT,166,194,179.3,11.5
