"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","ATT","YDS","TDS","TGT","REC","YDS","TDS"
"1",1,"Christian McCaffrey",SF,"356.4","244","1139","8","108","85","741","5"
"2",1,"Austin Ekeler",LAC,"372.7","204","915","13","127","107","722","5"
"3",1,"Saquon Barkley",NYG,"284","295","1312","10","76","57","338","0"
"4",1,"Bijan Robinson",ATL,"0","0","0","0","0","0","0","0"
"5",1,"Tony Pollard",DAL,"248.8","193","1007","9","55","39","371","3"
"6",2,"Nick Chubb",CLE,"281.4","302","1525","12","37","27","239","1"
"7",2,"Derrick Henry",TEN,"302.8","349","1538","13","41","33","398","0"
"8",2,"Josh Jacobs",LV,"328.3","340","1653","12","64","53","400","0"
"9",2,"Jonathan Taylor",IND,"146.4","192","861","4","40","28","143","0"
"10",2,"Rhamondre Stevenson",NE,"249.1","210","1040","5","88","69","421","1"
"11",2,"Joe Mixon",CIN,"240.7","212","826","7","75","60","441","2"
"12",3,"Najee Harris",PIT,"223.5","272","1034","7","53","41","229","3"
"13",3,"Jahmyr Gibbs",DET,"0","0","0","0","0","0","0","0"
"14",3,"Aaron Jones",GB,"248.6","213","1121","2","72","59","395","5"
"15",3,"Travis Etienne Jr.",JAC,"205.1","220","1125","5","45","35","316","0"
"16",3,"Breece Hall",NYJ,"115.1","80","463","4","31","19","218","1"
"17",4,"Kenneth Walker III",SEA,"202.5","228","1050","9","35","27","165","0"
"18",4,"Miles Sanders",CAR,"216.7","259","1269","11","26","20","78","0"
"19",4,"Dameon Pierce",HOU,"166.4","220","939","4","39","30","165","1"
"20",4,"Alexander Mattison",MIN,"88.4","74","283","5","18","15","91","1"
"21",4,"J.K. Dobbins",BAL,"81.2","92","520","2","8","7","42","1"
"22",4,"James Conner",ARI,"200.2","183","782","7","58","46","300","1"
"23",4,"Rachaad White",TB,"139.1","129","481","1","58","50","290","2"
"24",4,"Cam Akers",LAR,"141.3","188","786","7","18","13","117","0"
"25",4,"James Cook",BUF,"107.5","91","525","2","32","21","180","1"
"26",4,"Alvin Kamara",NO,"211.7","223","897","2","77","57","490","2"
"27",4,"Javonte Williams",DEN,"42","47","204","0","22","16","76","0"
"28",4,"David Montgomery",DET,"177.7","201","801","5","40","34","316","1"
"29",4,"D'Andre Swift",PHI,"191.1","99","542","5","70","48","389","3"
"30",4,"Dalvin Cook",NYJ,"237.8","264","1173","8","56","39","295","2"
"31",4,"Isiah Pacheco",KC,"135","170","830","5","14","13","130","0"
"32",5,"Antonio Gibson",WAS,"165.9","149","546","3","58","46","353","2"
"33",5,"Khalil Herbert",CHI,"117.8","129","731","4","12","9","57","1"
"34",5,"AJ Dillon",GB,"167.6","186","770","7","43","28","206","0"
"35",5,"Brian Robinson Jr.",WAS,"112.7","205","797","2","12","9","60","1"
"36",5,"Samaje Perine",DEN,"142.1","95","394","2","51","38","287","4"
"37",5,"Zach Charbonnet",SEA,"0","0","0","0","0","0","0","0"
"38",5,"Jerick McKinnon",KC,"196.3","72","291","1","71","56","512","9"
"39",5,"Jamaal Williams",NO,"225.9","262","1066","17","16","12","73","0"
"40",5,"Rashaad Penny",PHI,"52.2","57","346","2","5","4","16","0"
"41",5,"Jaylen Warren",PIT,"93.3","77","379","1","33","28","214","0"
"42",5,"Damien Harris",BUF,"90.9","106","462","3","23","17","97","0"
"43",6,"Jeff Wilson Jr.",MIA,"158.5","176","860","5","37","22","185","1"
"44",6,"Raheem Mostert",MIA,"168.3","181","891","3","42","31","202","2"
"45",6,"De'Von Achane",MIA,"0","0","0","0","0","0","0","0"
"46",6,"Elijah Mitchell",SF,"43.6","45","279","2","4","3","7","0"
"47",6,"Tyler Allgeier",ATL,"159.4","210","1035","3","17","16","139","1"
"48",6,"Devin Singletary",HOU,"178.2","178","822","5","52","38","280","1"
"49",6,"Kenneth Gainwell",PHI,"87.9","53","240","4","29","23","169","0"
"50",6,"Ezekiel Elliott",NE,"185.8","231","876","12","23","17","92","0"
"51",6,"Tank Bigsby",JAC,"0","0","0","0","0","0","0","0"
"52",6,"Kendre Miller",NO,"0","0","0","0","0","0","0","0"
"53",6,"Roschon Johnson",CHI,"0","0","0","0","0","0","0","0"
"54",6,"D'Onta Foreman",CHI,"131","203","914","5","9","5","26","0"
"55",6,"Chuba Hubbard",CAR,"87.7","95","466","2","17","14","171","0"
"56",6,"Jerome Ford",CLE,"1.2","8","12","0","0","0","0","0"
"57",6,"Zamir White",LV,"7","17","70","0","0","0","0","0"
"58",6,"Gus Edwards",BAL,"59.3","87","433","3","2","0","0","0"
"59",6,"Tyjae Spears",TEN,"0","0","0","0","0","0","0","0"
"60",6,"Clyde Edwards-Helaire",KC,"98.3","71","302","3","23","17","151","3"
"61",6,"Cordarrelle Patterson",ATL,"154.7","144","695","8","31","21","122","0"
"62",7,"Joshua Kelley",LAC,"64.8","69","287","2","25","14","101","0"
"63",7,"Kyren Williams",LAR,"30.5","35","139","0","12","9","76","0"
"64",7,"Michael Carter",NYJ,"126","114","402","3","54","41","288","0"
"65",7,"Chase Edmonds",TB,"74.2","68","245","2","24","16","157","1"
"66",7,"Chase Brown",CIN,"0","0","0","0","0","0","0","0"
"67",7,"Zach Evans",LAR,"0","0","0","0","0","0","0","0"
"68",7,"Kareem Hunt",FA,"126.8","123","468","3","44","35","210","1"
"69",7,"Ty Chandler",MIN,"2","6","20","0","0","0","0","0"
"70",7,"Isaiah Spiller",LAC,"8.4","18","41","0","3","3","13","0"
"71",7,"Pierre Strong Jr.",NE,"27.2","10","100","1","7","7","42","0"
"72",7,"Deuce Vaughn",DAL,"0","0","0","0","0","0","0","0"
"73",7,"Leonard Fournette",FA,"227.1","189","668","3","83","73","523","3"
"74",7,"Zack Moss",IND,"64.5","93","456","1","13","11","39","0"
"75",7,"Latavius Murray",BUF,"154.2","171","760","6","35","27","132","0"
"76",7,"Evan Hull",IND,"0","0","0","0","0","0","0","0"
"77",7,"Israel Abanikanda",NYJ,"0","0","0","0","0","0","0","0"
"78",7,"Matt Breida",NYG,"59.8","54","220","1","25","20","118","0"
"79",7,"Keaontay Ingram",ARI,"18.1","27","60","1","5","4","21","0"
"80",7,"Chris Evans",CIN,"12.8","0","0","0","4","3","38","1"
"81",7,"Sean Tucker",TB,"0","0","0","0","0","0","0","0"
"82",7,"Jordan Mason",SF,"31.8","43","258","1","0","0","0","0"
"83",7,"Boston Scott",PHI,"46.2","54","217","3","6","5","15","0"
"84",7,"D'Ernest Johnson",JAC,"5.4","4","17","0","3","3","7","0"
"85",8,"JaMycal Hasty",JAC,"70.5","46","194","2","27","21","121","1"
"86",8,"DeWayne McBride",MIN,"0","0","0","0","0","0","0","0"
"87",8,"Zonovan Knight",NYJ,"59","85","300","1","14","13","100","0"
"88",8,"Malik Davis",DAL,"34.4","38","161","1","7","6","63","0"
"89",8,"Tyrion Davis-Price",SF,"9.9","34","99","0","2","0","0","0"
"90",8,"James Robinson",FA,"88.6","110","425","3","14","11","51","2"
"91",8,"Deon Jackson",IND,"84.5","68","236","1","34","30","209","1"
"92",8,"Ronald Jones II",DAL,"16.2","17","70","1","1","1","22","0"
"93",8,"Hassan Haskins",TEN,"26","25","93","0","12","11","57","0"
"94",8,"Eric Gray",NYG,"0","0","0","0","0","0","0","0"
"95",8,"DeeJay Dallas",SEA,"47.2","35","186","0","19","17","126","0"
"96",8,"Melvin Gordon III",BAL,"87.1","90","318","2","32","25","223","0"
"97",8,"Trayveon Williams",CIN,"8","6","30","0","3","2","30","0"
"98",8,"Salvon Ahmed",MIA,"14.2","12","64","1","1","1","8","0"
"99",8,"Myles Gaskin",MIA,"9.4","10","26","0","6","4","28","0"
"100",8,"Ke'Shawn Vaughn",TB,"10.2","17","53","0","4","3","19","0"
"101",8,"Kenyan Drake",IND,"104.1","109","482","4","26","17","89","1"
"102",9,"Ameer Abdullah",LV,"54.1","4","20","0","32","25","211","1"
"103",9,"Kenny McIntosh",SEA,"0","0","0","0","0","0","0","0"
"104",9,"Deneric Prince",KC,"0","0","0","0","0","0","0","0"
"105",9,"Rico Dowdle",DAL,"0","0","0","0","0","0","0","0"
"106",9,"Chris Rodriguez Jr.",WAS,"0","0","0","0","0","0","0","0"
"107",9,"Justice Hill",BAL,"42","49","262","0","12","12","58","0"
"108",9,"Ty Montgomery",NE,"10.3","2","-2","0","4","3","15","1"
"109",9,"Raheem Blackshear",CAR,"43","23","77","3","12","10","93","0"
"110",9,"J.D. McKissic",FA,"55.8","22","95","0","40","27","173","0"
"111",9,"Kevin Harris",NE,"11.2","18","52","1","0","0","0","0"
"112",9,"Kene Nwangwu",MIN,"11.5","9","14","0","2","2","21","0"
"113",9,"Darrel Williams",NO,"21.1","21","102","1","8","4","9","0"
"114",9,"Darrell Henderson Jr.",FA,"73.5","70","283","3","22","17","102","0"
"115",9,"Craig Reynolds",DET,"30.8","23","102","0","10","9","116","0"
"116",9,"Corey Clement",ARI,"21.9","15","55","1","7","5","54","0"
"117",9,"Dontrell Hilliard",FA,"77.2","22","145","0","26","21","177","4"
"118",9,"Kyle Juszczyk",SF,"53.6","7","26","1","23","19","200","1"
"119",9,"Ty Johnson",BUF,"42.8","30","160","1","24","12","88","0"
"120",9,"Mike Boone",HOU,"28.8","24","102","0","15","9","96","0"
"121",9,"Trey Sermon",PHI,"1.9","2","19","0","0","0","0","0"
"122",9,"Travis Homer",CHI,"43.1","19","74","0","18","16","157","1"
"123",9,"Rex Burkhead",FA,"71.4","26","80","0","51","37","204","1"
"124",9,"Keaton Mitchell",BAL,"0","0","0","0","0","0","0","0"
"125",9,"Mark Ingram II",FA,"50.1","62","233","1","18","16","68","0"
"126",10,"Demetric Felton Jr.",CLE,"2.4","1","-4","0","4","2","8","0"
"127",10,"Tyler Badie",DEN,"9.4","1","0","0","1","1","24","1"
"128",10,"Brandon Bolden",LV,"28.8","17","66","0","10","10","62","1"
"129",10,"Trestan Ebner",CHI,"6.2","24","54","0","8","2","8","0"
"130",10,"Anthony McFarland Jr.",PIT,"6.1","6","30","0","2","2","11","0"
"131",10,"Mohamed Ibrahim",FA,"0","0","0","0","0","0","0","0"
"132",10,"Alec Ingold",MIA,"38.3","6","8","1","23","15","105","1"
"133",10,"Julius Chestnut",TEN,"8.3","9","12","0","3","3","41","0"
"134",10,"Ronnie Rivers",LAR,"10","9","21","0","5","5","29","0"
"135",10,"Patrick Ricard",BAL,"20","7","16","0","13","11","74","0"
"136",10,"Tony Jones Jr.",DEN,"10.4","10","24","0","8","5","30","0"
"137",10,"Jaleel McLaughlin",DEN,"0","0","0","0","0","0","0","0"
"138",10,"Snoop Conner",JAC,"10.2","12","42","1","0","0","0","0"
"139",10,"Damien Williams",LV,"0.2","2","2","0","0","0","0","0"
"140",10,"Gary Brightwell",NYG,"29","31","141","1","8","5","39","0"
"141",10,"Dare Ogunbowale",HOU,"48.7","42","123","1","26","20","104","0"
