"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC_TGT","REC","REC_YDS","REC_TDS"
"1",1,"Christian McCaffrey",CAR,"90.3","59","225","5","19","17","149","1"
"2",1,"Dalvin Cook",MIN,"337.8","312","1557","16","54","44","361","1"
"3",1,"Alvin Kamara",NO,"377.8","187","932","16","107","83","756","5"
"4",2,"Derrick Henry",TEN,"333.1","378","2027","17","31","19","114","0"
"5",2,"Ezekiel Elliott",DAL,"223.7","244","979","6","71","52","338","2"
"6",2,"Saquon Barkley",NYG,"15.4","19","34","0","9","6","60","0"
"7",2,"Austin Ekeler",LAC,"165.3","116","530","1","65","54","403","2"
"8",2,"Aaron Jones",GB,"258.9","201","1104","9","63","47","355","2"
"9",2,"Jonathan Taylor",IND,"252.8","232","1169","11","40","36","299","1"
"10",3,"Nick Chubb",CLE,"207.7","190","1067","12","18","16","150","0"
"11",3,"Joe Mixon",CIN,"99.6","119","428","3","26","21","138","1"
"12",3,"Antonio Gibson",WAS,"202.2","170","795","11","44","36","247","0"
"13",3,"Najee Harris",PIT,"0","0","0","0","0","0","0","0"
"14",3,"Clyde Edwards-Helaire",KC,"176","181","803","4","54","36","297","1"
"15",3,"D'Andre Swift",DET,"189.8","114","521","8","57","46","357","2"
"16",3,"Chris Carson",SEA,"187.8","141","681","5","46","37","287","4"
"17",4,"J.K. Dobbins",BAL,"168.5","134","805","9","24","18","120","0"
"18",4,"David Montgomery",CHI,"264.8","247","1070","8","68","54","438","2"
"19",4,"Miles Sanders",PHI,"170.4","164","867","6","52","28","197","0"
"20",4,"Darrell Henderson",LAR,"130.3","138","624","5","24","16","159","1"
"21",4,"Josh Jacobs",LV,"231.3","273","1065","12","45","33","238","0"
"22",4,"Myles Gaskin",MIA,"164.2","142","584","3","47","41","388","2"
"23",4,"Mike Davis",ATL,"206.5","165","642","6","70","59","373","2"
"24",4,"Travis Etienne",JAC,"0","0","0","0","0","0","0","0"
"25",4,"Kareem Hunt",CLE,"218.5","198","841","6","51","38","304","5"
"26",4,"Chase Edmonds",ARI,"168","97","448","1","67","53","402","4"
"27",5,"Javonte Williams",DEN,"0","0","0","0","0","0","0","0"
"28",5,"Raheem Mostert",SF,"99.7","104","521","2","19","16","156","1"
"29",5,"Melvin Gordon III",DEN,"198.4","215","986","9","44","32","158","1"
"30",5,"James Robinson",JAC,"250.4","240","1070","7","60","49","344","3"
"31",5,"Damien Harris",NE,"91.3","137","691","2","7","5","52","0"
"32",5,"Ronald Jones II",TB,"186.3","192","978","7","42","28","165","1"
"33",5,"David Johnson",HOU,"179.5","147","691","6","46","33","314","2"
"34",5,"Leonard Fournette",TB,"132","97","367","6","47","36","233","0"
"35",5,"Michael Carter",NYJ,"0","0","0","0","0","0","0","0"
"36",5,"Zack Moss",BUF,"101.6","112","481","4","18","14","95","1"
"37",5,"James Conner",ARI,"164.6","169","721","6","43","35","215","0"
"38",5,"Kenyan Drake",LV,"192.2","239","955","10","31","25","137","0"
"39",5,"Nyheim Hines",IND,"193.2","89","380","3","76","63","482","4"
"40",5,"Trey Sermon",SF,"0","0","0","0","0","0","0","0"
"41",6,"Jamaal Williams",DET,"127.1","119","505","2","35","31","236","1"
"42",6,"Devin Singletary",BUF,"143.6","156","687","2","50","38","269","0"
"43",6,"Tony Pollard",DAL,"120.8","101","435","4","40","28","193","1"
"44",6,"Tarik Cohen",CHI,"17.5","14","74","0","9","6","41","0"
"45",6,"J.D. McKissic",WAS,"191.4","85","365","1","110","80","589","2"
"46",6,"AJ Dillon",GB,"40.3","46","242","2","2","2","21","0"
"47",6,"Latavius Murray",NO,"136.2","146","656","4","26","23","176","1"
