PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
Christian McCaffrey,CAR,1,4,1.1,0.4
Dalvin Cook,MIN,1,5,2.1,0.5
Derrick Henry,TEN,1,11,3.2,0.9
Alvin Kamara,NO,2,14,5.6,2.1
Ezekiel Elliott,DAL,2,11,6.3,1.9
Nick Chubb,CLE,3,13,6.5,1.9
Saquon Barkley,NYG,2,23,6.8,2.3
Jonathan Taylor,IND,3,14,6.8,1.8
Aaron Jones,GB,3,13,8.1,1.8
Antonio Gibson,WAS,5,19,11.5,2.4
Joe Mixon,CIN,6,21,11.7,2.6
Austin Ekeler,LAC,6,97,13.9,8.3
Najee Harris,PIT,5,86,14.2,10.3
Clyde Edwards-Helaire,KC,7,210,15.1,3.1
J.K. Dobbins,BAL,8,26,15.1,2.8
Chris Carson,SEA,10,26,16.9,2.4
David Montgomery,CHI,9,28,17,2.6
D'Andre Swift,DET,9,42,18,3.2
Josh Jacobs,LV,10,30,18.7,3.1
Miles Sanders,PHI,11,30,18.8,3.1
Darrell Henderson,LAR,13,38,20.6,5.2
Myles Gaskin,MIA,13,54,23.1,3.4
Kareem Hunt,CLE,18,32,24.4,2.8
Mike Davis,ATL,15,81,25.4,9.1
Travis Etienne,JAC,14,81,28.2,7.1
Damien Harris,NE,14,40,28.7,3.9
Raheem Mostert,SF,21,49,29.6,4.4
Chase Edmonds,ARI,17,48,29.8,4.3
Melvin Gordon III,DEN,13,43,30,5.4
Javonte Williams,DEN,10,98,30.5,12.8
Ronald Jones II,TB,22,51,30.6,4.2
James Robinson,JAC,14,62,31.4,5.2
Zack Moss,BUF,25,51,34.9,4.6
David Johnson,HOU,21,51,35.1,5.5
Leonard Fournette,TB,24,50,35.1,4.4
James Conner,ARI,22,49,35.3,4.8
Trey Sermon,SF,12,100,35.9,12.6
AJ Dillon,GB,25,53,38.2,4.5
Michael Carter,NYJ,21,99,35.5,10.1
Gus Edwards,BAL,27,83,38.8,7.4
Kenyan Drake,LV,18,49,39.8,5
Latavius Murray,NO,26,58,42.1,3.7
Devin Singletary,BUF,24,58,42.7,4.6
Tony Pollard,DAL,33,60,43.9,3.8
Jamaal Williams,DET,26,56,44.2,3.9
Nyheim Hines,IND,30,61,48,3.5
Phillip Lindsay,HOU,34,69,47.4,5.5
Alexander Mattison,MIN,36,89,49.6,5.2
J.D. McKissic,WAS,34,69,52.6,5
Tevin Coleman,NYJ,33,77,52.1,8.3
Tarik Cohen,CHI,35,84,53.8,9.5
James White,NE,36,78,54.3,6.3
Rashaad Penny,SEA,24,80,52.7,6.9
Sony Michel,NE,39,89,57.1,6.9
Kenneth Gainwell,PHI,40,98,61.8,11
Giovani Bernard,TB,46,106,62,9.5
Marlon Mack,IND,40,101,57.6,10.2
Salvon Ahmed,MIA,41,100,58.6,8
Darrel Williams,KC,47,94,64.6,9.9
Joshua Kelley,LAC,42,80,62.7,5.5
Darrynton Evans,TEN,47,97,67,8.6
Malcolm Brown,MIA,38,86,65.6,7.2
Chuba Hubbard,CAR,44,101,67.8,11.7
Carlos Hyde,JAC,51,95,65.4,8.2
Damien Williams,CHI,51,107,69.8,9.8
Benny Snell Jr.,PIT,43,95,63.9,9.6
Justin Jackson,LAC,47,94,69.3,7
Mark Ingram II,HOU,49,96,67.1,8.7
La'Mical Perine,NYJ,52,92,69,8.5
Jeff Wilson Jr.,SF,39,119,65.5,15.2
Wayne Gallman,SF,49,94,72.5,8.1
Kerryon Johnson,PHI,45,103,71.8,9.6
Rhamondre Stevenson,NE,46,107,71.1,11.9
Jerick McKinnon,KC,55,103,76.6,8.1
Matt Breida,BUF,52,105,75.8,9
Anthony McFarland Jr.,PIT,59,105,78.1,7
Javian Hawkins,ATL,37,107,70.1,12.5
Boston Scott,PHI,48,97,76.1,8.6
Ty Johnson,NYJ,46,116,78,12.7
Devontae Booker,NYG,43,105,73.7,13.4
Ke'Shawn Vaughn,TB,47,103,74.1,12.6
Samaje Perine,CIN,49,109,75.9,15.3
DeeJay Dallas,SEA,71,108,87,6.8
Justice Hill,BAL,71,113,90.7,7.3
Jalen Richard,LV,60,139,92.1,9.7
Rex Burkhead,HOU,54,136,86.9,9.4
Le'Veon Bell,FA,32,104,76.5,15.7
Brian Hill,TEN,55,102,86,7
Eno Benjamin,ARI,70,163,89.3,11.4
Kalen Ballage,PIT,71,115,92.7,8.4
Todd Gurley II,FA,35,108,79,15.6
Duke Johnson Jr.,FA,49,115,84.5,13.7
Jordan Howard,PHI,47,168,91.7,15.1
Jordan Wilkins,IND,77,139,93.8,8.5
Ito Smith,FA,67,115,89.5,9.5
Adrian Peterson,FA,71,125,94.9,9.6
Peyton Barber,WAS,66,115,90.3,7.7
Chris Thompson,FA,65,130,94.3,10
Jermar Jefferson,DET,63,118,94.8,10.2
Xavier Jones,LAR,40,117,67.6,18.1
Mike Boone,DEN,62,111,86.2,12.5
Larry Rountree III,LAC,43,113,84.8,16.2
Elijah Mitchell,SF,55,185,88.7,21.7
Royce Freeman,DEN,75,130,97.5,9.8
Qadree Ollison,ATL,50,119,82.3,18
Chris Evans,CIN,60,120,86.9,16.9
Dare Ogunbowale,JAC,74,145,96.7,12.2
Jake Funk,LAR,62,123,91,17.5
Bryce Love,FA,64,161,95,15.4
Devine Ozigbo,JAC,85,144,99.5,13.9
Kylin Hill,GB,71,155,93.2,17.2
Khalil Herbert,CHI,71,147,98.5,14.2
Frank Gore,FA,81,124,99.8,9.1
Kene Nwangwu,MIN,85,143,104.5,12.9
LeSean McCoy,FA,88,151,106.5,13.3
Darwin Thompson,KC,78,120,102.8,11.9
Jaret Patterson,WAS,77,192,107.9,22.5
Gerrid Doaks,MIA,64,133,97.3,17
Travis Homer,SEA,68,132,109.3,12.2
Kyle Juszczyk,SF,70,134,102.1,19.5
Gary Brightwell,NYG,83,183,113.3,22.5
Raymond Calais,LAR,57,148,101.1,18.3
Jaylen Samuels,PIT,78,137,112.7,14.8
Alex Collins,SEA,58,141,99.6,22.3
Stevie Scott III,NO,85,122,111.4,8.5
Trayveon Williams,CIN,83,129,107.7,11.9
Devonta Freeman,NO,91,124,103.9,10.1
JaMycal Hasty,SF,82,150,117.6,14.3
Ty Montgomery,NO,87,130,109.9,15.2
Dion Lewis,FA,86,141,110.1,15.8
Ameer Abdullah,MIN,71,156,115.3,23.7
Trey Ragas,LV,98,172,121.5,20.4
Pooka Williams Jr.,CIN,90,194,125.4,30.1
Jeremy McNichols,TEN,89,135,108,16.2
Ryquell Armstead,FA,83,109,90.4,9.5
Corey Clement,NYG,83,149,129.8,12.8
D'Ernest Johnson,CLE,84,151,130.8,18.1
D'Onta Foreman,FA,82,134,118.6,12.5
T.J. Yeldon,FA,102,156,125.4,20.9
C.J. Ham,MIN,90,142,126.4,16.2
Keith Smith,ATL,98,151,126.4,18.7
Elijah McGuire,KC,101,182,138.8,29.8
Trenton Cannon,CAR,86,150,128.8,21.2
Alec Ingold,LV,92,147,129.2,10.3
Tony Brooks-James,ATL,100,160,130.6,19.4
Josh Adams,NYJ,115,145,130.6,10.3
Patrick Ricard,BAL,100,154,131,17.8
J.J. Taylor,NE,77,171,133,32.5
Michael Burton,KC,95,140,118.8,20
Patrick Laird,MIA,100,149,135.6,8.9
Antonio Williams,BUF,101,155,136.6,22.3
DeAndre Washington,FA,101,142,123.8,16
Rico Dowdle,DAL,105,170,142.6,17.7
