"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC_TGT","REC","REC_YDS","REC_TDS"
"1",1,"Christian McCaffrey",CAR,"73.3","59","225","5","19","17","149","1"
"2",1,"Dalvin Cook",MIN,"293.8","312","1557","16","54","44","361","1"
"3",1,"Derrick Henry",TEN,"314.1","378","2027","17","31","19","114","0"
"4",2,"Alvin Kamara",NO,"294.8","187","932","16","107","83","756","5"
"5",2,"Ezekiel Elliott",DAL,"171.7","244","979","6","71","52","338","2"
"6",2,"Nick Chubb",CLE,"191.7","190","1067","12","18","16","150","0"
"7",2,"Saquon Barkley",NYG,"9.4","19","34","0","9","6","60","0"
"8",2,"Jonathan Taylor",IND,"216.8","232","1169","11","40","36","299","1"
"9",2,"Aaron Jones",GB,"211.9","201","1104","9","63","47","355","2"
"10",3,"Antonio Gibson",WAS,"166.2","170","795","11","44","36","247","0"
"11",3,"Joe Mixon",CIN,"78.6","119","428","3","26","21","138","1"
"12",3,"Austin Ekeler",LAC,"111.3","116","530","1","65","54","403","2"
"13",3,"Najee Harris",PIT,"0","0","0","0","0","0","0","0"
"14",3,"Clyde Edwards-Helaire",KC,"140","181","803","4","54","36","297","1"
"15",3,"J.K. Dobbins",BAL,"150.5","134","805","9","24","18","120","0"
"16",3,"Chris Carson",SEA,"150.8","141","681","5","46","37","287","4"
"17",3,"David Montgomery",CHI,"210.8","247","1070","8","68","54","438","2"
"18",4,"D'Andre Swift",DET,"143.8","114","521","8","57","46","357","2"
"19",4,"Josh Jacobs",LV,"198.3","273","1065","12","45","33","238","0"
"20",4,"Miles Sanders",PHI,"142.4","164","867","6","52","28","197","0"
"21",4,"Darrell Henderson",LAR,"114.3","138","624","5","24","16","159","1"
"22",4,"Myles Gaskin",MIA,"123.2","142","584","3","47","41","388","2"
"23",4,"Kareem Hunt",CLE,"180.5","198","841","6","51","38","304","5"
"24",4,"Mike Davis",ATL,"147.5","165","642","6","70","59","373","2"
"25",5,"Travis Etienne",JAC,"0","0","0","0","0","0","0","0"
"26",5,"Damien Harris",NE,"86.3","137","691","2","7","5","52","0"
"27",5,"Raheem Mostert",SF,"83.7","104","521","2","19","16","156","1"
"28",5,"Chase Edmonds",ARI,"115","97","448","1","67","53","402","4"
"29",5,"Melvin Gordon III",DEN,"166.4","215","986","9","44","32","158","1"
"30",5,"Javonte Williams",DEN,"0","0","0","0","0","0","0","0"
"31",5,"Ronald Jones II",TB,"158.3","192","978","7","42","28","165","1"
"32",5,"James Robinson",JAC,"201.4","240","1070","7","60","49","344","3"
"33",5,"Zack Moss",BUF,"87.6","112","481","4","18","14","95","1"
"34",5,"David Johnson",HOU,"146.5","147","691","6","46","33","314","2"
"35",5,"Leonard Fournette",TB,"96","97","367","6","47","36","233","0"
"36",5,"James Conner",ARI,"129.6","169","721","6","43","35","215","0"
"37",5,"Trey Sermon",SF,"0","0","0","0","0","0","0","0"
"38",5,"AJ Dillon",GB,"38.3","46","242","2","2","2","21","0"
"39",5,"Michael Carter",NYJ,"0","0","0","0","0","0","0","0"
"40",5,"Gus Edwards",BAL,"119.2","144","723","6","13","9","129","0"
"41",5,"Kenyan Drake",LV,"167.2","239","955","10","31","25","137","0"
"42",6,"Latavius Murray",NO,"113.2","146","656","4","26","23","176","1"
"43",6,"Devin Singletary",BUF,"105.6","156","687","2","50","38","269","0"
"44",6,"Tony Pollard",DAL,"92.8","101","435","4","40","28","193","1"
"45",6,"Jamaal Williams",DET,"96.1","119","505","2","35","31","236","1"
"46",6,"Nyheim Hines",IND,"130.2","89","380","3","76","63","482","4"
"47",6,"Phillip Lindsay",HOU,"59","118","502","1","14","7","28","0"
"48",6,"Alexander Mattison",MIN,"73.9","96","434","2","15","13","125","1"
"49",6,"J.D. McKissic",WAS,"111.4","85","365","1","110","80","589","2"
"50",6,"Tevin Coleman",NYJ,"8.7","28","53","0","5","4","34","0"
"51",6,"Tarik Cohen",CHI,"11.5","14","74","0","9","6","41","0"
"52",6,"James White",NE,"67.6","35","121","2","62","49","375","1"
"53",6,"Rashaad Penny",SEA,"3.4","11","34","0","0","0","0","0"
"54",6,"Sony Michel",NE,"68.3","79","449","1","9","7","114","1"
"55",7,"Kenneth Gainwell",PHI,"0","0","0","0","0","0","0","0"
"56",7,"Marlon Mack",IND,"5.6","4","26","0","3","3","30","0"
"57",7,"Giovani Bernard",TB,"111.1","124","416","3","59","47","355","3"
"58",7,"Salvon Ahmed",MIA,"58","75","319","3","14","11","61","0"
"59",7,"Darrel Williams",KC,"36.5","39","169","1","26","18","116","0"
"60",7,"Joshua Kelley",LAC,"58.2","111","354","2","23","23","148","0"
"61",7,"Darrynton Evans",TEN,"14.1","14","54","0","4","2","27","1"
"62",7,"Malcolm Brown",MIA,"86.1","101","419","5","33","23","162","0"
"63",7,"Carlos Hyde",JAC,"68.9","81","356","4","20","16","93","0"
"64",7,"Chuba Hubbard",CAR,"0","0","0","0","0","0","0","0"
"65",7,"Damien Williams",CHI,"0","0","0","0","0","0","0","0"
"66",7,"Benny Snell Jr.",PIT,"64.9","111","368","4","14","10","61","0"
"67",7,"Justin Jackson",LAC,"46.3","59","270","0","24","19","173","0"
"68",7,"Mark Ingram II",HOU,"46.9","72","299","2","8","6","50","0"
"69",7,"La'Mical Perine",NYJ,"41.5","64","232","2","15","11","63","0"
"70",7,"Jeff Wilson Jr.",SF,"129.3","126","600","7","28","13","133","3"
"71",7,"Wayne Gallman",SF,"115.6","147","682","6","27","21","114","0"
"72",7,"Kerryon Johnson",PHI,"52.8","52","181","2","26","19","187","1"
"73",7,"Rhamondre Stevenson",NE,"0","0","0","0","0","0","0","0"
"74",7,"Jerick McKinnon",KC,"93.2","81","319","5","46","33","253","1"
"75",7,"Matt Breida",BUF,"33","59","254","0","10","9","96","0"
"76",7,"Anthony McFarland Jr.",PIT,"16.7","33","113","0","10","6","54","0"
"77",7,"Javian Hawkins",ATL,"0","0","0","0","0","0","0","0"
"78",7,"Boston Scott",PHI,"70.6","80","374","1","36","25","212","1"
"79",8,"Ty Johnson",NYJ,"47.3","54","254","1","21","16","99","1"
"80",8,"Devontae Booker",NYG,"68.7","93","423","3","21","17","84","0"
"81",8,"Ke'Shawn Vaughn",TB,"18.3","26","109","0","10","5","34","1"
"82",8,"Samaje Perine",CIN,"54.7","63","301","3","12","11","66","0"
"83",8,"DeeJay Dallas",SEA,"39.9","34","108","2","20","17","111","1"
"84",8,"Justice Hill",BAL,"8","12","60","0","5","5","20","0"
"85",8,"Jalen Richard",LV,"32.1","22","123","1","23","19","138","0"
"86",8,"Rex Burkhead",HOU,"82.6","67","274","3","33","25","192","3"
