TEAM,QB,RB,WR,TE,K,DEF
NYG,1,26,2,8,18,23
JAC,2,4,14,1,8,21
PHI,3,30,1,31,9,27
DEN,4,8,12,6,19,11
NO,5,9,9,9,26,15
CLE,6,13,22,4,17,2
BUF,7,3,8,14,7,9
SF,8,10,26,10,16,4
DAL,9,14,5,5,6,19
NE,10,2,16,7,1,13
LAC,11,21,7,21,23,22
CAR,12,20,3,20,20,6
ATL,13,31,18,17,24,1
HOU,14,28,13,18,5,10
IND,15,12,4,23,4,25
TEN,16,18,25,3,22,31
CHI,17,1,20,12,12,32
SEA,18,19,15,29,13,7
TB,19,32,11,24,31,8
WAS,20,15,6,13,10,28
PIT,21,22,29,2,29,3
CIN,22,27,17,30,15,14
MIN,23,23,28,16,21,30
GB,24,16,10,26,2,16
DET,25,5,21,19,11,12
LAR,26,29,23,32,32,29
ARI,27,7,27,11,30,18
LV,28,25,19,25,27,24
MIA,29,6,32,22,25,20
KC,30,24,24,15,14,17
BAL,31,11,30,27,3,5
NYJ,32,17,31,28,28,26
