TEAM,QB,RB,WR,TE,K,DEF
NYG,1,24,1,11,20,29
CLE,2,29,7,14,27,6
SEA,3,6,9,20,25,13
SF,4,4,24,1,12,15
CAR,5,10,14,12,3,24
HOU,6,25,2,28,16,19
BAL,7,12,17,22,10,14
DET,8,7,27,19,2,1
NYJ,9,1,18,5,4,18
ARI,10,15,12,26,23,10
PIT,11,18,22,2,17,2
ATL,12,31,5,25,31,8
JAC,13,2,13,10,5,12
DEN,14,28,6,31,28,21
NO,15,9,28,7,26,22
DAL,16,16,10,16,9,28
LAC,17,32,3,21,18,23
TB,18,27,11,23,19,4
TEN,19,13,21,4,7,17
IND,20,5,8,8,1,11
MIN,21,23,16,9,24,27
NE,22,11,26,3,6,9
BUF,23,19,20,18,13,3
LAR,24,20,29,13,21,16
GB,25,21,4,17,8,25
LV,26,14,25,27,29,26
PHI,27,30,15,32,22,5
KC,28,3,23,15,11,20
CHI,29,8,31,6,14,31
WAS,30,17,19,24,15,7
CIN,31,22,30,29,30,30
MIA,32,26,32,30,32,32
