TEAM,QB,RB,WR,TE,K,DEF
NE,1,4,1,1,4,12
PHI,2,3,3,3,1,1
MIA,3,2,4,2,5,6
IND,4,1,2,4,3,4
MIN,5,6,6,29,25,10
HOU,6,24,14,12,30,31
LAR,7,5,5,27,12,20
NYJ,8,17,10,9,24,16
WAS,9,18,25,8,13,26
JAC,10,23,8,25,15,23
DAL,11,19,21,6,6,11
DEN,12,14,26,7,17,13
NO,13,21,11,21,27,14
PIT,14,11,22,5,7,24
BAL,15,12,18,11,9,32
NYG,16,31,17,13,22,9
CAR,17,20,7,19,23,3
CIN,18,7,20,15,19,27
KC,19,15,23,20,10,19
SF,20,10,9,30,21,7
ARI,21,9,13,26,2,17
CHI,22,13,19,31,28,25
TEN,23,16,27,14,32,30
ATL,24,28,12,10,20,2
TB,25,32,15,23,29,15
BUF,26,22,16,18,31,29
CLE,27,8,31,17,14,22
LAC,28,25,24,22,11,8
GB,29,26,29,28,26,21
LV,30,27,32,16,18,5
SEA,31,30,28,32,16,28
DET,32,29,30,24,8,18
