PLAYER NAME,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PTS VS.,AVG_RET TD,AVG_SACK,AVG_SAFE,BLK KICK,DEF TD,FAN PTS,FUMR,INT,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PTS VS.,RET TD,SACK,SAFE,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS
Los Angeles Rams,0.0,0.3,9.4,0.5,0.9,0.0,0.0,3.3,0.1,0,4,151,8,14,1.9,1.0,1.0,1.1,1.0,7.0,0,0,53,1,LAR,13,20,8
Pittsburgh Steelers,0.0,0.2,8.7,0.5,1.1,0.0,0.0,3.3,0.1,0,3,148,9,18,3.2,1.0,2.0,2.8,1.0,12.0,0,0,56,1,PIT,29,24,22
Baltimore Ravens,0.0,0.2,8.3,0.7,0.6,0.0,0.0,2.3,0.1,0,3,141,12,10,4.3,1.0,3.0,2.2,1.0,13.0,0,0,39,2,BAL,32,32,29
Washington Football Team,0.0,0.2,7.9,0.4,1.0,0.0,0.0,2.9,0.1,0,3,127,7,16,4.7,1.0,4.0,3.8,1.0,18.0,0,0,47,1,WAS,9,26,1
Tampa Bay Buccaneers,0.0,0.1,7.3,0.6,0.9,0.0,0.0,3.0,0.1,0,1,117,10,15,5.9,1.0,5.0,3.5,2.0,15.0,0,0,48,1,TB,19,15,26
San Francisco 49ers,0.0,0.1,5.5,0.5,0.8,0.0,0.0,1.9,0.0,0,1,88,8,12,6.9,1.0,6.0,2.8,2.0,15.0,0,0,30,0,SF,14,7,25
Indianapolis Colts,0.0,0.3,9.1,0.6,0.9,0.0,0.0,2.5,0.2,0,4,146,10,15,7.2,4.0,7.0,2.6,2.0,14.0,0,0,40,3,IND,15,4,31
Buffalo Bills,0.0,0.2,7.4,0.7,0.9,0.0,0.0,2.4,0.0,0,3,118,11,15,9.3,2.0,8.0,3.0,3.0,19.0,0,0,38,0,BUF,27,29,10
New England Patriots,0.0,0.1,6.6,0.3,1.1,0.0,0.0,1.5,0.0,0,2,106,4,18,10.2,4.0,9.0,3.3,3.0,24.0,0,0,24,0,NE,31,12,32
New Orleans Saints,0.0,0.1,7.8,0.5,1.1,0.0,0.0,2.8,0.1,0,1,124,8,18,10.6,3.0,10.0,4.3,3.0,28.0,0,0,45,1,NO,3,14,7
