"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS","AVG_REC_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS"
"1",1,"Christian McCaffrey",CAR,"24.4","19.7","75.0","1.7","6.3","5.7","49.7","0.3"
"2",1,"Dalvin Cook",MIN,"21.0","22.3","111.2","1.1","3.9","3.1","25.8","0.1"
"3",1,"Derrick Henry",TEN,"19.6","23.6","126.7","1.1","1.9","1.2","7.1","0.0"
"4",2,"Alvin Kamara",NO,"19.7","12.5","62.1","1.1","7.1","5.5","50.4","0.3"
"5",2,"Ezekiel Elliott",DAL,"11.4","16.3","65.3","0.4","4.7","3.5","22.5","0.1"
"6",2,"Nick Chubb",CLE,"16.0","15.8","88.9","1.0","1.5","1.3","12.5","0.0"
"7",2,"Saquon Barkley",NYG,"4.7","9.5","17.0","0.0","4.5","3.0","30.0","0.0"
"8",2,"Jonathan Taylor",IND,"14.5","15.5","77.9","0.7","2.7","2.4","19.9","0.1"
"9",2,"Aaron Jones",GB,"15.1","14.4","78.9","0.6","4.5","3.4","25.4","0.1"
"10",3,"Antonio Gibson",WAS,"11.9","12.1","56.8","0.8","3.1","2.6","17.6","0.0"
"11",3,"Joe Mixon",CIN,"13.1","19.8","71.3","0.5","4.3","3.5","23.0","0.2"
"12",3,"Austin Ekeler",LAC,"11.1","11.6","53.0","0.1","6.5","5.4","40.3","0.2"
"13",3,"Najee Harris",PIT,"0","0","0","0","0","0","0","0"
"14",3,"Clyde Edwards-Helaire",KC,"10.8","13.9","61.8","0.3","4.2","2.8","22.8","0.1"
"15",3,"J.K. Dobbins",BAL,"10.0","8.9","53.7","0.6","1.6","1.2","8.0","0.0"
"16",3,"Chris Carson",SEA,"12.6","11.8","56.8","0.4","3.8","3.1","23.9","0.3"
"17",3,"David Montgomery",CHI,"14.1","16.5","71.3","0.5","4.5","3.6","29.2","0.1"
"18",4,"D'Andre Swift",DET,"11.1","8.8","40.1","0.6","4.4","3.5","27.5","0.2"
"19",4,"Josh Jacobs",LV,"13.2","18.2","71.0","0.8","3.0","2.2","15.9","0.0"
"20",4,"Miles Sanders",PHI,"11.9","13.7","72.3","0.5","4.3","2.3","16.4","0.0"
"21",4,"Darrell Henderson",LAR,"7.6","9.2","41.6","0.3","1.6","1.1","10.6","0.1"
"22",4,"Myles Gaskin",MIA,"12.3","14.2","58.4","0.3","4.7","4.1","38.8","0.2"
"23",4,"Kareem Hunt",CLE,"11.3","12.4","52.6","0.4","3.2","2.4","19.0","0.3"
"24",4,"Mike Davis",ATL,"9.8","11.0","42.8","0.4","4.7","3.9","24.9","0.1"
