PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
1,1,Christian McCaffrey,CAR,1,3,1.1,0.3
2,1,Dalvin Cook,MIN,1,5,2.4,0.7
3,1,Alvin Kamara,NO,2,8,3,1.1
4,2,Ezekiel Elliott,DAL,2,11,5.6,1.8
5,2,Derrick Henry,TEN,2,13,5.8,2.6
6,2,Austin Ekeler,LAC,3,14,6.4,1.8
7,2,Aaron Jones,GB,3,12,6.5,1.8
8,2,Saquon Barkley,NYG,2,16,8.1,2.5
9,3,Jonathan Taylor,IND,4,17,10,2.8
10,3,Antonio Gibson,WAS,3,18,10.6,2
11,3,Nick Chubb,CLE,4,19,10.7,2.7
12,3,Najee Harris,PIT,5,24,11.8,2.4
13,3,Joe Mixon,CIN,7,21,11.9,2.6
14,3,Clyde Edwards-Helaire,KC,7,23,13.9,2.7
15,3,D'Andre Swift,DET,7,28,15.7,3.5
16,4,Chris Carson,SEA,11,24,16.6,2.1
17,4,David Montgomery,CHI,10,27,16.8,2.8
18,4,James Robinson,JAC,9,34,17.7,3.2
19,4,Miles Sanders,PHI,14,29,20,3
20,4,Josh Jacobs,LV,16,29,21.5,2.5
21,4,Mike Davis,ATL,14,32,22.4,3.1
22,4,Darrell Henderson,LAR,15,41,23.2,4.3
23,4,Myles Gaskin,MIA,15,33,24,4
24,4,Kareem Hunt,CLE,17,30,24,2.9
25,4,Gus Edwards,BAL,18,51,24.5,6.2
26,5,Chase Edmonds,ARI,15,38,26.4,3.9
27,5,Damien Harris,NE,19,43,26.9,4.5
28,5,Javonte Williams,DEN,15,45,27.6,4.7
29,5,Raheem Mostert,SF,21,45,30.3,4.6
30,5,Melvin Gordon III,DEN,20,46,32.4,4.9
31,5,Trey Sermon,SF,18,83,32.9,7.8
32,5,Ronald Jones II,TB,20,49,35,5.8
33,5,Michael Carter,NYJ,24,60,35.3,6.5
34,5,Kenyan Drake,LV,24,49,36.3,4.8
35,5,James Conner,ARI,25,52,37,5
36,5,Zack Moss,BUF,26,55,37.2,5.1
37,5,Nyheim Hines,IND,27,52,37.2,6
38,6,Jamaal Williams,DET,29,51,38.9,5.2
39,6,Leonard Fournette,TB,28,57,39.5,5.4
40,6,AJ Dillon,GB,29,59,40.3,5.6
41,6,Devin Singletary,BUF,29,50,40.8,4.4
42,6,Tony Pollard,DAL,27,55,41.9,5.2
43,6,David Johnson,HOU,26,79,42.4,8.9
44,6,James White,NE,27,54,42.9,6.8
45,6,J.D. McKissic,WAS,29,61,44.2,7.2
46,6,Phillip Lindsay,HOU,32,77,46.6,7.3
47,6,Giovani Bernard,TB,29,73,48,8.5
48,6,Sony Michel,LAR,26,88,46.8,10.6
49,6,Alexander Mattison,MIN,38,67,51.9,5
50,6,Latavius Murray,NO,36,115,52.6,10.7
51,6,Tevin Coleman,NYJ,37,90,53.1,8
52,7,Rashaad Penny,SEA,44,89,57.3,7.3
53,7,Darrel Williams,KC,44,90,59.5,8.8
54,7,Kenneth Gainwell,PHI,33,95,59.5,10.4
55,7,Damien Williams,CHI,43,99,61.3,9.7
56,7,Malcolm Brown,MIA,38,76,60.4,8.7
57,7,Carlos Hyde,JAC,43,109,59,10.3
58,7,Tarik Cohen,CHI,29,102,57.4,14.5
59,7,Salvon Ahmed,MIA,44,89,60.4,6.9
60,7,Rhamondre Stevenson,NE,41,107,61.3,12.8
61,7,Marlon Mack,IND,47,98,64.5,9.1
62,7,Chuba Hubbard,CAR,51,100,65.6,8.4
63,7,Justin Jackson,LAC,44,91,64.2,8.2
64,7,Boston Scott,PHI,43,97,63.9,9
65,7,Mark Ingram II,HOU,44,94,66.3,10.1
66,7,Jerick McKinnon,KC,45,109,68.6,9.9
67,7,Darrynton Evans,TEN,50,98,65.2,9.2
68,7,Ty Johnson,NYJ,35,96,64.9,13
69,7,Joshua Kelley,LAC,47,97,68.6,8.2
70,7,Devontae Booker,NYG,46,112,69.8,11.7
71,8,Benny Snell Jr.,PIT,51,98,71.5,9.9
72,8,Justice Hill,BAL,43,107,77.1,13.9
73,8,Samaje Perine,CIN,50,113,73.2,11.8
74,8,Matt Breida,BUF,53,100,76,9
75,8,Anthony McFarland Jr.,PIT,58,104,76.3,8.3
76,8,Wayne Gallman Jr.,ATL,46,109,71.2,12.3
