TEAM,QB,RB,WR,TE,K,DEF
SF,1,14,2,5,10,25
JAC,2,2,3,2,7,14
DET,3,21,6,13,2,11
DEN,4,1,8,12,1,15
CAR,5,26,7,1,26,27
ATL,6,6,10,23,6,3
LV,7,19,17,4,14,16
HOU,8,4,13,16,4,5
PIT,9,5,14,8,15,22
NO,10,22,5,3,21,7
NYG,11,15,12,17,11,4
WAS,12,11,1,19,19,1
LAR,13,10,4,25,12,8
ARI,14,12,15,22,28,17
BAL,15,17,16,11,8,29
LAC,16,3,23,9,18,20
KC,17,13,25,20,9,24
BUF,18,20,18,14,22,10
TB,19,24,21,7,25,26
GB,20,27,19,6,27,21
NYJ,21,18,11,15,23,13
TEN,22,16,20,28,3,12
CHI,23,7,9,26,13,9
CIN,24,23,22,27,5,2
CLE,25,8,24,21,20,18
DAL,26,25,27,24,17,6
SEA,27,9,26,10,16,19
MIN,28,28,28,18,24,23
MIA,29,32,29,29,30,30
NE,30,31,30,30,32,32
IND,31,29,31,32,31,31
PHI,32,30,32,31,29,28
