"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS","AVG_REC_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"1",1,"Tyreek Hill",KC,"16.1","9.0","5.8","85.1","1.0","0.9","8.2","0.1"
"2",1,"Davante Adams",GB,"17.4","10.6","8.2","98.1","1.3","0.0","0.0","0.0"
"3",1,"Stefon Diggs",BUF,"12.6","10.4","7.9","95.9","0.5","0.1","0.1","0.0"
"4",2,"Calvin Ridley",ATL,"12.8","9.5","6.0","91.6","0.6","0.3","0.1","0.0"
"5",2,"DeAndre Hopkins",ARI,"10.8","10.0","7.2","87.9","0.4","0.1","0.1","0.0"
"6",2,"D.K. Metcalf",SEA,"11.8","8.1","5.2","81.4","0.6","0.0","0.0","0.0"
"7",2,"A.J. Brown",TEN,"12.7","7.6","5.0","76.8","0.8","0.0","0.0","0.0"
"8",2,"Justin Jefferson",MIN,"11.6","7.8","5.5","87.5","0.4","0.1","0.1","0.0"
"9",3,"Terry McLaurin",WAS,"9.1","8.9","5.8","74.5","0.3","0.1","2.0","0.0"
"10",3,"Allen Robinson II",CHI,"10.1","9.4","6.4","78.1","0.4","0.1","-0.1","0.0"
"11",3,"Mike Evans",TB,"11.2","6.8","4.4","62.9","0.8","0.0","0.0","0.0"
"12",3,"Keenan Allen",LAC,"10.4","10.5","7.1","70.9","0.6","0.1","-0.1","0.0"
"13",3,"CeeDee Lamb",DAL,"9.0","6.9","4.6","58.4","0.3","0.6","5.1","0.1"
"14",3,"Chris Godwin",TB,"10.5","7.0","5.4","70.0","0.6","0.0","0.0","0.0"
"15",3,"Julio Jones",TEN,"10.6","7.6","5.7","85.7","0.3","0.0","0.0","0.0"
"16",3,"Amari Cooper",DAL,"9.1","8.1","5.8","69.6","0.3","0.4","0.9","0.0"
"17",3,"Robert Woods",LAR,"9.7","8.1","5.6","58.5","0.4","1.5","9.7","0.1"
"18",3,"D.J. Moore",CAR,"9.7","7.9","4.4","79.5","0.3","0.1","1.5","0.0"
"19",4,"Adam Thielen",MIN,"12.0","7.2","4.9","61.7","0.9","0.2","1.0","0.0"
"20",4,"Kenny Golladay",NYG,"9.2","6.4","4.0","67.6","0.4","0.0","0.0","0.0"
"21",4,"Cooper Kupp",LAR,"7.8","8.3","6.1","64.9","0.2","0.3","2.2","0.0"
