PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS
1,1,Davante Adams,GB,25.6
2,1,Tyreek Hill,KC,21.9
3,1,Stefon Diggs,BUF,20.5
4,1,DeAndre Hopkins,ARI,18
5,2,Calvin Ridley,ATL,18.8
6,2,D.K. Metcalf,SEA,17
7,2,Justin Jefferson,MIN,17.1
8,2,A.J. Brown,TEN,17.7
9,2,Keenan Allen,LAC,17.5
10,2,Allen Robinson II,CHI,16.4
11,3,Terry McLaurin,WAS,14.9
12,3,Robert Woods,LAR,15.3
13,3,Amari Cooper,DAL,14.8
14,3,CeeDee Lamb,DAL,13.6
15,3,Chris Godwin,TB,15.9
16,3,Julio Jones,TEN,16.2
17,3,Mike Evans,TB,15.5
18,4,D.J. Moore,CAR,14.1
19,4,Diontae Johnson,PIT,14.8
20,4,Cooper Kupp,LAR,13.9
21,4,Tyler Lockett,SEA,16.6
22,4,Adam Thielen,MIN,16.9
23,4,Kenny Golladay,NYG,13.2
24,4,Tee Higgins,CIN,12.2
25,4,Brandon Aiyuk,SF,15.4
26,5,JuJu Smith-Schuster,PIT,14.6
27,5,Odell Beckham Jr.,CLE,12.4
28,5,Courtland Sutton,DEN,9.6
29,5,Chase Claypool,PIT,13.4
30,5,Robby Anderson,CAR,14
31,5,Ja'Marr Chase,CIN,0
32,5,D.J. Chark Jr.,JAC,11.8
33,5,Tyler Boyd,CIN,12.8
34,5,Jerry Jeudy,DEN,9.8
35,5,Deebo Samuel,SF,11.5
36,5,Brandin Cooks,HOU,15.5
37,5,Will Fuller V,MIA,17.2
38,5,Michael Thomas,NO,12
39,5,Jarvis Landry,CLE,12.5
40,5,Curtis Samuel,WAS,14.1
41,5,DeVonta Smith,PHI,0
42,6,Laviska Shenault Jr.,JAC,11.2
43,6,Corey Davis,NYJ,13.7
44,6,Antonio Brown,TB,14.6
45,6,Michael Gallup,DAL,10.8
46,6,DeVante Parker,MIA,11.9
47,6,Mike Williams,LAC,10.2
48,6,Michael Pittman Jr.,IND,7.6
