"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","PASS_YDS","PASS_TDS","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"1",1,"Christian McCaffrey",CAR,"73.3","0","0","17","149","1","59","225","5"
"2",1,"Dalvin Cook",MIN,"293.8","0","0","44","361","1","312","1557","16"
"3",1,"Derrick Henry",TEN,"314.1","0","0","19","114","0","378","2027","17"
"4",2,"Alvin Kamara",NO,"294.8","0","0","83","756","5","187","932","16"
"5",2,"Ezekiel Elliott",DAL,"171.7","0","0","52","338","2","244","979","6"
"6",2,"Nick Chubb",CLE,"191.7","0","0","16","150","0","190","1067","12"
"7",2,"Jonathan Taylor",IND,"216.8","0","0","36","299","1","232","1169","11"
"8",2,"Saquon Barkley",NYG,"9.4","0","0","6","60","0","19","34","0"
"9",2,"Aaron Jones",GB,"211.9","0","0","47","355","2","201","1104","9"
"10",2,"Tyreek Hill",KC,"241.9","0","0","87","1276","15","13","123","2"
"11",2,"Davante Adams",GB,"243.4","0","0","115","1374","18","0","0","0"
"12",3,"Stefon Diggs",BUF,"201.6","0","0","127","1535","8","1","1","0"
"13",3,"Calvin Ridley",ATL,"191.5","0","0","90","1374","9","5","1","0"
"14",3,"Travis Kelce",KC,"207.76","0","0","105","1416","11","0","0","0"
"15",3,"Antonio Gibson",WAS,"166.2","0","0","36","247","0","170","795","11"
"16",3,"Joe Mixon",CIN,"78.6","0","0","21","138","1","119","428","3"
"17",3,"DeAndre Hopkins",ARI,"172.8","0","0","115","1407","6","1","1","0"
"18",3,"D.K. Metcalf",SEA,"188.3","0","0","83","1303","10","0","0","0"
"19",3,"A.J. Brown",TEN,"177.5","0","0","70","1075","11","0","0","0"
"20",3,"George Kittle",SF,"77.1","0","0","48","634","2","2","17","0"
"21",3,"Justin Jefferson",MIN,"186.2","0","0","88","1400","7","1","2","0"
"22",4,"Patrick Mahomes II",KC,"380.4","4740","38","0","0","0","62","308","2"
"23",4,"Austin Ekeler",LAC,"111.3","0","0","54","403","2","116","530","1"
"24",4,"Darren Waller",LV,"171.6","0","0","107","1196","9","0","0","0"
