"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS","AVG_PTS VS.","AVG_SACK","AVG_SAFE","AVG_INT","AVG_FUMR","AVG_DEF TD","AVG_BLK KICK","AVG_RET TD"
"1",1,"Los Angeles Rams",LAR,"9.4","0.0","3.3","0.1","0.9","0.5","0.3","0.0","0.0"
"2",1,"Pittsburgh Steelers",PIT,"8.7","0.0","3.3","0.1","1.1","0.5","0.2","0.0","0.0"
"3",1,"Baltimore Ravens",BAL,"8.3","0.0","2.3","0.1","0.6","0.7","0.2","0.0","0.0"
"4",1,"Washington Football Team",WAS,"7.9","0.0","2.9","0.1","1.0","0.4","0.2","0.0","0.0"
"5",2,"Tampa Bay Buccaneers",TB,"7.3","0.0","3.0","0.1","0.9","0.6","0.1","0.0","0.0"
"6",2,"San Francisco 49ers",SF,"5.5","0.0","1.9","0.0","0.8","0.5","0.1","0.0","0.0"
"7",2,"Indianapolis Colts",IND,"9.1","0.0","2.5","0.2","0.9","0.6","0.3","0.0","0.0"
"8",3,"Buffalo Bills",BUF,"7.4","0.0","2.4","0.0","0.9","0.7","0.2","0.0","0.0"
"9",3,"New England Patriots",NE,"6.6","0.0","1.5","0.0","1.1","0.3","0.1","0.0","0.0"
"10",3,"New Orleans Saints",NO,"7.8","0.0","2.8","0.1","1.1","0.5","0.1","0.0","0.0"
"11",3,"Kansas City Chiefs",KC,"6.6","0.0","2.0","0.1","1.0","0.4","0.1","0.0","0.0"
"12",3,"Miami Dolphins",MIA,"8.3","0.0","2.4","0.0","1.1","0.6","0.1","0.0","0.0"
"13",3,"Cleveland Browns",CLE,"6.1","0.0","2.4","0.1","0.7","0.6","0.1","0.0","0.0"
"14",3,"Los Angeles Chargers",LAC,"4.3","0.0","1.6","0.1","0.7","0.4","0.1","0.0","0.0"
"15",4,"Denver Broncos",DEN,"4.6","0.0","2.6","0.0","0.6","0.4","0.0","0.0","0.0"
"16",4,"Chicago Bears",CHI,"5.6","0.0","2.2","0.1","0.6","0.5","0.1","0.0","0.0"
"17",4,"Green Bay Packers",GB,"5.9","0.0","2.6","0.1","0.7","0.4","0.1","0.0","0.0"
"18",4,"Seattle Seahawks",SEA,"6.4","0.0","2.9","0.2","0.9","0.5","0.0","0.0","0.0"
"19",4,"Minnesota Vikings",MIN,"3.8","0.0","1.4","0.1","0.9","0.4","0.0","0.0","0.0"
"20",4,"Philadelphia Eagles",PHI,"6.3","0.0","3.1","0.1","0.5","0.7","0.1","0.0","0.0"
"21",4,"Tennessee Titans",TEN,"3.9","0.0","1.1","0.0","0.9","0.5","0.1","0.0","0.0"
"22",4,"New York Giants",NYG,"6.4","0.0","2.5","0.0","0.7","0.7","0.1","0.0","0.0"
"23",5,"Arizona Cardinals",ARI,"6.8","0.0","3.0","0.1","0.7","0.6","0.0","0.0","0.0"
"24",5,"New York Jets",NYJ,"4.2","0.0","1.9","0.1","0.6","0.6","0.1","0.0","0.0"
"25",5,"Carolina Panthers",CAR,"6.2","0.0","1.8","0.0","0.4","0.9","0.2","0.0","0.0"
"26",5,"Dallas Cowboys",DAL,"4.8","0.0","1.9","0.0","0.6","0.8","0.1","0.0","0.0"
"27",5,"Jacksonville Jaguars",JAC,"3.4","0.0","1.1","0.0","0.7","0.3","0.1","0.0","0.0"
"28",5,"Atlanta Falcons",ATL,"4.5","0.0","1.8","0.0","0.8","0.6","0.1","0.0","0.0"
"29",5,"Las Vegas Raiders",LV,"2.7","0.0","1.3","0.0","0.6","0.3","0.0","0.0","0.0"
"30",5,"Houston Texans",HOU,"2.6","0.0","2.1","0.0","0.2","0.4","0.1","0.0","0.0"
"31",5,"Cincinnati Bengals",CIN,"2.8","0.0","1.1","0.0","0.7","0.4","0.0","0.0","0.0"
"32",5,"Detroit Lions",DET,"1.8","0.0","1.5","0.1","0.4","0.3","0.0","0.0","0.0"
