"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","PTS VS.","SACK","SAFE","INT","FUMR","DEF TD","BLK KICK","RET TD"
"1",1,"Los Angeles Rams",LAR,"151","0","53","1","14","8","4","0","0"
"2",1,"Pittsburgh Steelers",PIT,"148","0","56","1","18","9","3","0","0"
"3",1,"Baltimore Ravens",BAL,"141","0","39","2","10","12","3","0","0"
"4",2,"Washington Football Team",WAS,"127","0","47","1","16","7","3","0","0"
"5",2,"Tampa Bay Buccaneers",TB,"117","0","48","1","15","10","1","0","0"
"6",2,"San Francisco 49ers",SF,"88","0","30","0","12","8","1","0","0"
"7",2,"Indianapolis Colts",IND,"146","0","40","3","15","10","4","0","0"
"8",3,"Buffalo Bills",BUF,"118","0","38","0","15","11","3","0","0"
"9",3,"New England Patriots",NE,"106","0","24","0","18","4","2","0","0"
"10",3,"New Orleans Saints",NO,"124","0","45","1","18","8","1","0","0"
"11",3,"Kansas City Chiefs",KC,"106","0","32","1","16","6","2","0","0"
"12",3,"Miami Dolphins",MIA,"141","0","41","0","18","10","2","0","0"
"13",3,"Cleveland Browns",CLE,"97","0","38","2","11","10","2","0","0"
"14",3,"Los Angeles Chargers",LAC,"73","0","27","1","12","7","2","0","0"
"15",4,"Denver Broncos",DEN,"73","0","42","0","10","6","0","0","0"
"16",4,"Chicago Bears",CHI,"90","0","35","1","10","8","1","0","0"
"17",4,"Green Bay Packers",GB,"94","0","41","1","11","7","2","0","0"
"18",4,"Seattle Seahawks",SEA,"103","0","46","3","14","8","0","0","0"
"19",4,"Minnesota Vikings",MIN,"60","0","23","1","15","7","0","0","0"
"20",4,"Philadelphia Eagles",PHI,"101","0","49","1","8","11","2","0","0"
"21",4,"Tennessee Titans",TEN,"66","0","19","0","15","8","1","0","0"
"22",4,"New York Giants",NYG,"103","0","40","0","11","11","2","0","0"
"23",5,"Arizona Cardinals",ARI,"108","0","48","1","11","10","0","0","0"
"24",5,"New York Jets",NYJ,"67","0","31","1","10","9","1","0","0"
"25",5,"Carolina Panthers",CAR,"99","0","29","0","7","15","3","0","0"
"26",5,"Dallas Cowboys",DAL,"76","0","31","0","10","12","2","0","0"
"27",5,"Jacksonville Jaguars",JAC,"58","0","18","0","12","5","1","0","0"
"28",5,"Atlanta Falcons",ATL,"72","0","29","0","12","9","1","0","0"
"29",5,"Las Vegas Raiders",LV,"43","0","21","0","10","5","0","0","0"
"30",5,"Houston Texans",HOU,"41","0","34","0","3","6","1","0","0"
"31",5,"Cincinnati Bengals",CIN,"45","0","17","0","11","6","0","0","0"
"32",5,"Detroit Lions",DET,"29","0","24","1","7","5","0","0","0"
