"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC_TGT","REC","REC_YDS","REC_TDS"
"1",1,"Christian McCaffrey",CAR,"127.5","99","442","1","41","37","343","1"
"2",1,"Jonathan Taylor",IND,"373.1","332","1811","18","51","40","360","2"
"3",1,"Austin Ekeler",LAC,"343.8","206","911","12","94","70","647","8"
"4",2,"Dalvin Cook",MIN,"206.3","249","1159","6","49","34","224","0"
"5",2,"Derrick Henry",TEN,"193.3","219","937","10","20","18","154","0"
"6",2,"Najee Harris",PIT,"300.7","307","1200","7","94","74","467","3"
"7",2,"D'Andre Swift",DET,"208.9","151","617","5","78","62","452","2"
"8",2,"Joe Mixon",CIN,"287.9","292","1205","13","48","42","314","3"
"9",2,"Alvin Kamara",NO,"234.7","240","898","4","67","47","439","5"
"10",2,"Saquon Barkley",NYG,"148.6","162","593","2","57","41","263","2"
"11",3,"Aaron Jones",GB,"229","171","799","4","65","52","391","6"
"12",3,"Leonard Fournette",TB,"255.6","180","812","8","84","69","454","2"
"13",3,"Javonte Williams",DEN,"204.9","203","903","4","53","43","316","3"
"14",3,"Nick Chubb",CLE,"215.3","228","1259","8","25","20","174","1"
"15",3,"James Conner",ARI,"257.7","202","752","15","39","37","375","3"
"16",4,"Ezekiel Elliott",DAL,"252.06","237","1002","10","65","47","287","2"
"17",4,"Travis Etienne Jr.",JAC,"0","0","0","0","0","0","0","0"
"18",4,"David Montgomery",CHI,"196","225","849","7","51","42","301","0"
"19",4,"Breece Hall",NYJ,"0","0","0","0","0","0","0","0"
"20",4,"Cam Akers",LAR,"4.3","5","3","0","3","3","10","0"
"21",4,"AJ Dillon",GB,"185.6","187","803","5","37","34","313","2"
"22",4,"Elijah Mitchell",SF,"165","207","963","5","20","19","137","1"
"23",4,"Josh Jacobs",LV,"226","217","872","9","64","54","348","0"
"24",4,"J.K. Dobbins",BAL,"0","0","0","0","0","0","0","0"
"25",4,"Chase Edmonds",MIA,"143.3","116","592","2","53","43","311","0"
"26",5,"Antonio Gibson",WAS,"229.1","258","1037","7","52","42","294","3"
"27",5,"Clyde Edwards-Helaire",KC,"116.5","119","517","4","23","19","118","2"
"28",5,"Kareem Hunt",CLE,"110","78","386","5","27","22","174","0"
"29",5,"Tony Pollard",DAL,"162.6","130","719","2","46","39","337","0"
"30",5,"Dameon Pierce",HOU,"0","0","0","0","0","0","0","0"
"31",5,"Miles Sanders",PHI,"117.2","137","754","0","34","26","158","0"
"32",5,"Damien Harris",NE,"210.1","202","929","15","20","18","132","0"
"33",5,"Rashaad Penny",SEA,"121.7","119","749","6","8","6","48","0"
"34",5,"Rhamondre Stevenson",NE,"114.9","133","606","5","18","14","123","0"
