TEAM,QB,RB,WR,TE,K,DEF
PHI,1,26,1,24,1,32
JAC,2,14,12,1,17,24
DEN,3,2,20,2,7,10
NYG,4,22,10,8,18,15
CIN,5,21,9,25,4,6
NO,6,16,2,12,24,14
BUF,7,4,4,15,8,21
LAC,8,6,16,19,25,17
CHI,9,5,8,16,10,29
NE,10,8,13,11,6,19
IND,11,18,6,28,15,26
DAL,12,10,7,6,5,16
TEN,13,19,25,3,26,28
WAS,14,9,5,9,11,31
TB,15,32,11,23,30,11
ATL,16,28,26,14,16,1
GB,17,12,19,29,9,12
CAR,18,23,3,26,28,2
LAR,19,31,14,32,32,25
HOU,20,25,22,10,3,8
MIA,21,1,23,13,12,9
CLE,22,3,28,5,13,3
MIN,23,13,30,22,20,27
SF,24,20,24,18,22,5
PIT,25,17,27,4,29,13
LV,26,24,15,21,19,18
DET,27,11,18,20,23,30
SEA,28,27,17,30,14,7
ARI,29,7,29,7,27,23
KC,30,30,21,17,21,20
BAL,31,15,31,27,2,4
NYJ,32,29,32,31,31,22
