"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","REC_TGT","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"1",1,"Travis Kelce",KC,"262.8","134","92","1125","9","2","3","1"
"2",1,"Mark Andrews",BAL,"301.1","153","107","1361","9","1","0","0"
"3",1,"Kyle Pitts",ATL,"176.6","110","68","1026","1","0","0","0"
"4",2,"George Kittle",SF,"198","94","71","910","6","3","20","0"
"5",2,"Darren Waller",LV,"133.5","93","55","665","2","0","0","0"
"6",2,"Dalton Schultz",DAL,"208.8","104","78","808","8","0","0","0"
"7",2,"Dallas Goedert",PHI,"165","76","56","830","4","0","0","0"
"8",2,"T.J. Hockenson",DET,"145.3","84","61","583","4","0","0","0"
"9",2,"Zach Ertz",ARI,"180.7","112","74","763","5","1","4","0"
"10",3,"Cole Kmet",CHI,"121.2","93","60","612","0","1","0","0"
"11",3,"Pat Freiermuth",PIT,"151.7","79","60","497","7","0","0","0"
"12",3,"Dawson Knox",BUF,"164.1","71","49","587","9","0","4","0"
"13",3,"Hunter Henry",NE,"164.3","75","50","603","9","0","0","0"
"14",3,"Irv Smith Jr.",MIN,"0","0","0","0","0","0","0","0"
"15",3,"Mike Gesicki",MIA,"165","112","73","780","2","0","0","0"
"16",3,"Albert Okwuegbunam",DEN,"76","40","33","330","2","0","0","0"
"17",3,"David Njoku",CLE,"107.6","53","36","475","4","1","1","0"
"18",3,"Noah Fant",SEA,"159","90","68","670","4","0","0","0"
"19",4,"Gerald Everett",LAC,"117.8","63","48","478","4","3","20","0"
"20",4,"Tyler Higbee",LAR,"147","85","61","560","5","0","0","0"
"21",4,"Robert Tonyan",GB,"50.4","29","18","204","2","0","0","0"
"22",4,"Austin Hooper",TEN,"92.5","61","38","345","3","0","0","0"
"23",4,"Evan Engram",JAC,"102.5","73","46","408","3","1","-3","0"
"24",4,"Logan Thomas",WAS,"53.6","25","18","196","3","0","0","0"
"25",4,"Hayden Hurst",CIN,"64.1","31","26","221","3","0","0","0"
"26",4,"Brevin Jordan",HOU,"55.8","28","20","178","3","0","0","0"
"27",4,"Mo Alie-Cox",IND,"79.6","45","24","316","4","0","0","0"
"28",4,"Jonnu Smith",NE,"67.4","45","28","294","1","9","40","0"
"29",4,"Adam Trautman",NO,"63.3","43","27","263","2","0","0","0"
"30",4,"C.J. Uzomah",NYJ,"128.3","63","49","493","5","0","0","0"
"31",5,"Dan Arnold",JAC,"75.8","52","35","408","0","0","0","0"
"32",5,"Cameron Brate",TB,"78.5","57","30","245","4","0","0","0"
"33",5,"Trey McBride",ARI,"0","0","0","0","0","0","0","0"
"34",5,"Kyle Rudolph",TB,"59.7","39","26","257","1","0","0","0"
"35",5,"Tyler Conklin",NYJ,"138.3","87","61","593","3","0","0","0"
"36",5,"O.J. Howard",FA,"33.5","21","14","135","1","0","0","0"
"37",5,"Greg Dulcich",DEN,"0","0","0","0","0","0","0","0"
"38",5,"Isaiah Likely",BAL,"0","0","0","0","0","0","0","0"
"39",5,"Daniel Bellinger",NYG,"0","0","0","0","0","0","0","0"
"40",5,"Harrison Bryant",CLE,"62.3","28","21","233","3","0","0","0"
"41",6,"Tommy Tremble",CAR,"53.1","35","20","180","1","3","11","1"
"42",6,"Donald Parham Jr.",LAC,"59","27","20","190","3","0","0","0"
"43",6,"Foster Moreau",LV,"85.3","44","30","373","3","0","0","0"
"44",6,"Jelani Woods",IND,"0","0","0","0","0","0","0","0"
"45",6,"Cade Otton",TB,"0","0","0","0","0","0","0","0"
"46",6,"John Bates",WAS,"50.9","25","20","249","1","0","0","0"
"47",6,"Kylen Granson",IND,"21.6","15","11","106","0","0","0","0"
"48",6,"Anthony Firkser",ATL,"73.1","43","34","291","2","0","0","0"
"49",6,"Josiah Deguara",GB,"61.5","33","25","245","2","0","0","0"
"50",6,"Jared Cook",FA,"132.4","83","48","564","4","0","0","0"
"51",6,"Pharaoh Brown",HOU,"38.1","34","23","171","0","0","0","0"
"52",6,"Juwan Johnson",NO,"52.9","22","13","159","4","0","0","0"
"53",6,"Will Dissly",SEA,"50.1","26","21","231","1","0","0","0"
"54",6,"Taysom Hill",NO,"0","6","4","52","0","70","374","5"
"55",7,"Jeremy Ruckert",NYJ,"0","0","0","0","0","0","0","0"
"56",7,"Durham Smythe",MIA,"70","41","34","357","0","2","3","0"
"57",7,"Geoff Swaim",TEN,"70","40","31","210","3","0","0","0"
"58",7,"Ian Thomas",CAR,"36.8","30","18","188","0","0","0","0"
"59",7,"Ryan Griffin",CHI,"65.1","42","27","261","2","0","0","0"
"60",7,"Jake Ferguson",DAL,"0","0","0","0","0","0","0","0"
"61",7,"Chigoziem Okonkwo",TEN,"0","0","0","0","0","0","0","0"
"62",7,"Tre' McKitty",LAC,"10.5","8","6","45","0","0","0","0"
"63",7,"Noah Gray",KC,"16.6","10","7","36","1","0","0","0"
"64",7,"Drew Sample",CIN,"19.1","15","11","81","0","0","0","0"
"65",7,"Maxx Williams",ARI,"41.3","17","16","193","1","0","0","0"
"66",7,"Zach Gentry",PIT,"35.7","25","19","167","0","0","0","0"
"67",7,"Hunter Long",MIA,"1.8","3","1","8","0","0","0","0"
"68",7,"Brycen Hopkins",LAR,"1.9","1","1","9","0","0","0","0"
"69",7,"Blake Bell",KC,"18.7","13","9","87","0","4","10","0"
"70",7,"Marcedes Lewis",GB,"44.4","28","23","214","0","0","0","0"
"71",7,"Jordan Akins",HOU,"41.7","33","24","214","0","1","3","0"
"72",7,"James O'Shaughnessy",FA,"50.4","34","24","244","0","0","0","0"
"73",7,"Brock Wright",DET,"35.7","17","12","117","2","0","0","0"
"74",7,"Nick Boyle",BAL,"1.2","2","1","2","0","0","0","0"
"75",7,"Ross Dwelley",SF,"15.1","5","4","51","1","0","0","0"
"76",8,"Charlie Kolar",BAL,"0","0","0","0","0","0","0","0"
"77",8,"Tyler Davis",GB,"7.5","5","4","35","0","0","0","0"
"78",8,"Johnny Mundt",MIN,"1.9","1","1","9","0","0","0","0"
"79",8,"Chris Manhertz",JAC,"19.1","9","6","71","1","0","0","0"
"80",8,"Jacob Harris",LAR,"0","0","0","0","0","0","0","0"
"81",8,"Chris Herndon IV",FA,"14","7","4","40","1","0","0","0"
"82",8,"Colby Parkinson",SEA,"8.3","8","5","33","0","0","0","0"
"83",8,"Cole Turner",WAS,"0","0","0","0","0","0","0","0"
"84",8,"Nick Vannett",NO,"28.3","15","9","133","1","0","0","0"
"85",8,"Blake Jarwin",FA,"32.6","17","11","96","2","0","0","0"
"86",8,"Jack Stoll",PHI,"6.2","5","4","22","0","0","0","0"
"87",8,"Jalen Wydermyer",NE,"0","0","0","0","0","0","0","0"
"88",8,"Charlie Woerner",SF,"10.2","6","5","52","0","0","0","0"
"89",8,"Josh Oliver",BAL,"15.6","15","9","66","0","0","0","0"
"90",8,"Parker Hesse",ATL,"9.3","6","5","43","0","0","0","0"
"91",8,"Mitchell Wilcox",CIN,"4.6","5","3","16","0","0","0","0"
"92",8,"Kendall Blanton",KC,"7.7","7","4","37","0","0","0","0"
"93",8,"Sean McKeon",DAL,"12.7","6","4","27","1","0","0","0"
"94",8,"Tyree Jackson",PHI,"11.2","7","3","22","1","0","0","0"
"95",8,"Jimmy Graham",FA,"50.7","23","14","167","3","0","0","0"
"96",8,"Eric Ebron",FA,"32.5","18","12","84","1","1","1","1"
"97",8,"Ben Ellefson",MIN,"0","1","0","0","0","0","0","0"
"98",8,"Grant Calcaterra",PHI,"0","0","0","0","0","0","0","0"
"99",9,"Chris Myarick",NYG,"10.7","6","3","17","1","0","0","0"
"100",9,"Luke Farrell",JAC,"12.6","11","7","56","0","0","0","0"
"101",9,"Tyler Kroft",SF,"39.3","25","16","173","1","0","0","0"
"102",9,"James Mitchell",DET,"0","0","0","0","0","0","0","0"
"103",9,"Miller Forristall",CLE,"0","0","0","0","0","0","0","0"
"104",9,"Antony Auclair",FA,"15.7","5","5","47","1","0","0","0"
"105",9,"Connor Heyward",PIT,"0","0","0","0","0","0","0","0"
"106",9,"Devin Asiasi",CIN,"0","0","0","0","0","0","0","0"
"107",9,"Shane Zylstra",DET,"6.4","7","3","34","0","0","0","0"
