"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","REC_TGT","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"1",1,"Travis Kelce",KC,"207.76","145","105","1416","11","0","0","0"
"2",1,"George Kittle",SF,"77.1","63","48","634","2","2","17","0"
"3",1,"Darren Waller",LV,"171.6","145","107","1196","9","0","0","0"
"4",2,"Mark Andrews",BAL,"112.1","88","58","701","7","0","0","0"
"5",2,"T.J. Hockenson",DET,"108.3","101","67","723","6","1","0","0"
"6",2,"Kyle Pitts",ATL,"0","0","0","0","0","0","0","0"
"7",2,"Dallas Goedert",PHI,"70.4","65","46","524","3","0","0","0"
"8",2,"Noah Fant",DEN,"87.3","93","62","673","3","0","0","0"
"9",2,"Robert Tonyan",GB,"124.6","59","52","586","11","0","0","0"
"10",3,"Tyler Higbee",LAR,"84.2","60","44","521","5","1","1","0"
"11",3,"Mike Gesicki",MIA,"106.3","85","53","703","6","0","0","0"
"12",3,"Logan Thomas",WAS,"104.62","110","72","670","6","3","5","0"
"13",3,"Irv Smith Jr.",MIN,"68.5","43","30","365","5","0","0","0"
"14",3,"Rob Gronkowski",TB,"104.3","77","45","623","7","0","0","0"
"15",3,"Jonnu Smith",NE,"99.2","65","41","448","8","2","4","1"
"16",4,"Hunter Henry",NE,"85.3","93","60","613","4","0","0","0"
"17",4,"Evan Engram",NYG,"78","109","63","654","1","6","26","1"
"18",4,"Blake Jarwin",DAL,"1.2","1","1","12","0","0","0","0"
"19",4,"Adam Trautman",NO,"23.1","16","15","171","1","0","0","0"
"20",4,"Jared Cook",LAC,"90.4","60","37","504","7","0","0","0"
"21",4,"Austin Hooper",CLE,"67.5","70","46","435","4","0","0","0"
"22",4,"Cole Kmet",CHI,"34","44","28","243","2","1","-3","0"
"23",4,"Gerald Everett",SEA,"51.9","62","41","417","1","1","2","1"
"24",4,"Eric Ebron",PIT,"85.8","91","56","558","5","0","0","0"
"25",4,"Zach Ertz",PHI,"41.5","72","36","335","1","0","0","0"
"26",4,"Anthony Firkser",TEN,"44.7","53","39","387","1","0","0","0"
"27",4,"Dawson Knox",BUF,"42.8","44","24","288","3","0","0","0"
"28",5,"Hayden Hurst",ATL,"93.1","88","56","571","6","0","0","0"
"29",5,"O.J. Howard",TB,"26.6","19","11","146","2","0","0","0"
"30",5,"Dan Arnold",CAR,"65.8","45","31","438","4","0","0","0"
"31",5,"Chris Herndon IV",NYJ,"42.7","46","31","287","3","0","0","0"
"32",5,"Jack Doyle",IND,"41.1","33","23","251","3","0","0","0"
"33",5,"Jimmy Graham",CHI,"93.6","76","50","456","8","0","0","0"
"34",5,"Kyle Rudolph",NYG,"37.4","37","28","334","1","0","0","0"
"35",6,"Ian Thomas",CAR,"20.5","31","20","145","1","0","0","0"
"36",6,"Dalton Schultz",DAL,"83.5","89","63","615","4","0","0","0"
"37",6,"Will Dissly",SEA,"37.1","29","24","251","2","0","0","0"
"38",6,"Mo Alie-Cox",IND,"49.4","39","31","394","2","0","0","0"
"39",6,"Jordan Akins",HOU,"46.7","49","37","403","1","1","4","0"
"40",6,"David Njoku",CLE,"33.3","29","19","213","2","0","0","0"
