"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","REC_TGT","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"1",1,"Justin Jefferson",MIN,"330.4","167","108","1616","10","6","14","0"
"2",1,"Cooper Kupp",LAR,"439.5","191","145","1947","16","4","18","0"
"3",1,"Ja'Marr Chase",CIN,"304.6","128","81","1455","13","7","21","0"
"4",1,"Stefon Diggs",BUF,"285.5","164","103","1225","10","0","0","0"
"5",2,"Davante Adams",LV,"344.3","169","123","1553","11","0","0","0"
"6",2,"CeeDee Lamb",DAL,"232.8","120","79","1102","6","9","76","0"
"7",2,"Tyreek Hill",MIA,"296.5","159","111","1239","9","9","96","0"
"8",2,"Mike Evans",TB,"262.5","114","74","1035","14","1","10","0"
"9",2,"Keenan Allen",LAC,"257.8","157","106","1138","6","0","0","0"
"10",3,"Michael Pittman Jr.",IND,"238.6","129","88","1082","6","5","44","0"
"11",3,"Deebo Samuel",SF,"338.96","121","77","1405","6","59","365","8"
"12",3,"A.J. Brown",PHI,"180.9","105","63","869","5","2","10","0"
"13",3,"Tee Higgins",CIN,"219.1","110","74","1091","6","0","0","0"
"14",3,"DJ Moore",CAR,"237.5","163","93","1157","4","8","48","0"
"15",3,"Diontae Johnson",PIT,"274.4","169","107","1161","8","5","53","0"
"16",3,"Jaylen Waddle",MIA,"245.8","140","104","1015","6","2","3","1"
"17",3,"Mike Williams",LAC,"246.6","129","76","1146","9","0","0","0"
"18",3,"Courtland Sutton",DEN,"150.24","98","58","776","2","0","0","0"
"19",4,"Terry McLaurin",WAS,"213.5","130","77","1053","5","1","12","0"
"20",4,"Brandin Cooks",HOU,"231.8","134","90","1037","6","2","21","0"
"21",4,"Allen Robinson II",LAR,"87","66","38","410","1","0","0","0"
"22",4,"DK Metcalf",SEA,"244.3","129","75","967","12","1","6","0"
"23",4,"Marquise Brown",ARI,"226.3","146","91","1008","6","1","5","0"
"24",4,"Darnell Mooney",CHI,"219.7","140","81","1055","4","6","32","1"
"25",4,"Amon-Ra St. Brown",DET,"227.3","119","90","912","5","7","61","1"
"26",4,"Michael Thomas",NO,"0","0","0","0","0","0","0","0"
"27",4,"Rashod Bateman",BAL,"103.5","68","46","515","1","0","0","0"
"28",4,"Jerry Jeudy",DEN,"85","56","38","467","0","2","3","0"
"29",4,"Chris Godwin",TB,"242.4","127","98","1103","5","4","21","1"
"30",5,"JuJu Smith-Schuster",KC,"34.8","28","15","129","0","3","9","1"
"31",5,"Amari Cooper",CLE,"202.5","104","68","865","8","0","0","0"
"32",5,"Gabriel Davis",BUF,"125.9","63","35","549","6","0","0","0"
"33",5,"Elijah Moore",NYJ,"138.2","77","43","538","5","5","54","1"
"34",5,"Adam Thielen",MIN,"199.8","95","67","726","10","1","2","0"
"35",5,"Hunter Renfrow",LV,"259.1","128","103","1038","9","3","3","0"
"36",5,"Brandon Aiyuk",SF,"170.3","84","56","826","5","5","17","0"
"37",5,"DeVonta Smith",PHI,"185.6","104","64","916","5","0","0","0"
"38",5,"Christian Kirk",JAC,"207.62","103","77","982","5","1","11","0"
"39",5,"Drake London",ATL,"0","0","0","0","0","0","0","0"
"40",5,"Allen Lazard",GB,"142.5","60","40","513","8","3","32","0"
"41",5,"Tyler Lockett",SEA,"241.4","107","73","1175","8","2","9","0"
"42",6,"Robert Woods",TEN,"137.2","69","45","556","4","8","46","1"
"43",6,"DeAndre Hopkins",ARI,"147.2","64","42","572","8","0","0","0"
"44",6,"Kadarius Toney",NYG,"82.36","57","39","420","0","3","6","0"
"45",6,"Chris Olave",NO,"0","0","0","0","0","0","0","0"
"46",6,"Chase Claypool",PIT,"166.6","105","59","860","2","14","96","0"
"47",6,"Tyler Boyd",CIN,"183.84","94","67","828","5","2","22","0"
"48",6,"Jakobi Meyers",NE,"186.3","126","83","866","2","1","9","0"
"49",6,"Treylon Burks",TEN,"0","0","0","0","0","0","0","0"
"50",6,"Garrett Wilson",NYJ,"0","0","0","0","0","0","0","0"
"51",6,"Russell Gage",TB,"163","94","66","770","4","0","0","0"
"52",6,"Skyy Moore",KC,"0","0","0","0","0","0","0","0"
"53",6,"George Pickens",PIT,"0","0","0","0","0","0","0","0"
"54",6,"Rondale Moore",ARI,"109.1","64","54","435","1","18","76","0"
"55",6,"Marquez Valdes-Scantling",KC,"87","55","26","430","3","0","0","0"
"56",6,"DeVante Parker",NE,"103.5","73","40","515","2","0","0","0"
"57",6,"Michael Gallup",DAL,"91.5","62","35","445","2","0","0","0"
"58",6,"Jarvis Landry",NO,"133","87","52","570","2","6","40","2"
"59",7,"Jahan Dotson",WAS,"0","0","0","0","0","0","0","0"
"60",7,"DJ Chark Jr.",DET,"34.4","22","7","154","2","0","0","0"
"61",7,"Julio Jones",TB,"80.4","48","31","434","1","0","0","0"
"62",7,"Nico Collins",HOU,"83.6","60","33","446","1","0","0","0"
"63",7,"Kenny Golladay",NYG,"89.1","76","37","521","0","0","0","0"
"64",7,"Joshua Palmer",LAC,"92.9","49","33","353","4","1","6","0"
"65",7,"Robbie Anderson",CAR,"138.5","110","53","519","5","3","36","0"
"66",7,"K.J. Osborn",MIN,"158.5","82","50","655","7","1","10","0"
"67",7,"Jalen Tolbert",DAL,"0","0","0","0","0","0","0","0"
"68",7,"Mecole Hardman",KC,"140.9","83","59","693","2","8","46","0"
"69",7,"Corey Davis",NYJ,"105.2","59","34","492","4","0","0","0"
"70",7,"Marvin Jones Jr.",JAC,"180.2","120","73","832","4","0","0","0"
"71",7,"Van Jefferson",LAR,"168.2","89","50","802","6","2","20","0"
"72",7,"Christian Watson",GB,"0","0","0","0","0","0","0","0"
"73",7,"Wan'Dale Robinson",NYG,"0","0","0","0","0","0","0","0"
"74",7,"Jameson Williams",DET,"0","0","0","0","0","0","0","0"
"75",7,"Isaiah McKenzie",BUF,"52.5","26","20","178","1","9","47","1"
"76",7,"Parris Campbell",IND,"32.2","20","10","162","1","0","0","0"
"77",7,"KJ Hamler",DEN,"12.4","10","5","74","0","0","0","0"
"78",7,"Jamison Crowder",BUF,"109.7","71","51","447","2","0","0","0"
"79",7,"Alec Pierce",IND,"0","0","0","0","0","0","0","0"
"80",7,"Curtis Samuel",WAS,"9.8","9","6","27","0","4","11","0"
"81",7,"Donovan Peoples-Jones",CLE,"109.7","58","34","597","3","0","0","0"
"82",8,"David Bell",CLE,"0","0","0","0","0","0","0","0"
"83",8,"Sterling Shepard",NYG,"77.7","53","36","366","1","1","-9","0"
"84",8,"Kendrick Bourne",NE,"180.5","70","55","800","5","12","125","0"
"85",8,"A.J. Green",ARI,"156.8","92","54","848","3","0","0","0"
