"RK",TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS"
"1",1,"Justin Jefferson",MIN,"14.2"
"2",1,"Christian McCaffrey",SF,"16.0"
"3",1,"Ja'Marr Chase",CIN,"12.0"
"4",1,"Travis Kelce",KC,"12.1"
"5",1,"Nick Chubb",CLE,"15.0"
"6",2,"Tyreek Hill",MIA,"13.1"
"7",2,"Austin Ekeler",LAC,"15.6"
"8",2,"Bijan Robinson",ATL,"0"
"9",2,"Cooper Kupp",LAR,"14.0"
"10",2,"Derrick Henry",TEN,"16.9"
"11",2,"Stefon Diggs",BUF,"12.4"
"12",3,"Tony Pollard",DAL,"13.1"
"13",3,"A.J. Brown",PHI,"12.4"
"14",3,"CeeDee Lamb",DAL,"11.4"
"15",3,"Saquon Barkley",NYG,"14.2"
"16",3,"Davante Adams",LV,"13.9"
"17",3,"Amon-Ra St. Brown",DET,"10.1"
"18",3,"Josh Jacobs",LV,"16.2"
"19",3,"Jonathan Taylor",IND,"9.9"
"20",3,"Garrett Wilson",NYJ,"7.8"
"21",3,"Jaylen Waddle",MIA,"10.8"
"22",4,"Chris Olave",NO,"8.4"
"23",4,"Patrick Mahomes II",KC,"25.2"
"24",4,"Jalen Hurts",PHI,"25.6"
"25",4,"Josh Allen",BUF,"24.2"
"26",4,"Najee Harris",PIT,"10.7"
"27",4,"Tee Higgins",CIN,"9.9"
"28",4,"Joe Mixon",CIN,"12.0"
"29",4,"Rhamondre Stevenson",NE,"10.6"
"30",4,"Travis Etienne Jr.",JAC,"10.0"
"31",4,"DeVonta Smith",PHI,"9.4"
"32",4,"Amari Cooper",CLE,"9.9"
"33",4,"Deebo Samuel",SF,"8.6"
"34",4,"Mark Andrews",BAL,"7.8"
"35",5,"DK Metcalf",SEA,"8.0"
"36",5,"Jahmyr Gibbs",DET,"0"
"37",5,"Calvin Ridley",JAC,"0"
"38",5,"Lamar Jackson",BAL,"20.3"
"39",5,"Aaron Jones",GB,"11.2"
"40",5,"Kenneth Walker III",SEA,"11.7"
"41",5,"DJ Moore",CHI,"8.0"
"42",5,"Joe Burrow",CIN,"21.7"
"43",5,"Breece Hall",NYJ,"13.7"
"44",5,"Christian Watson",GB,"8.8"
