"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","0-19","20-29","30-39","40-49","50+","XPM","XPA"
"1",1,"Justin Tucker",BAL,"164","0","13","11","4","9","31","32"
"2",1,"Tyler Bass",BUF,"146","0","5","11","10","2","48","50"
"3",1,"Harrison Butker",KC,"102","0","7","4","4","3","38","41"
"4",1,"Evan McPherson",CIN,"132","1","5","4","9","5","41","45"
"5",2,"Daniel Carlson",LV,"162","0","9","11","3","11","35","36"
"6",2,"Younghoe Koo",ATL,"152","0","9","7","9","7","33","35"
"7",2,"Jason Sanders",MIA,"135","0","5","7","12","2","41","44"
"8",2,"Jason Myers",SEA,"159","0","9","15","4","6","41","42"
"9",2,"Jake Elliott",PHI,"122","0","6","8","1","5","51","53"
"10",2,"Brandon McManus",JAC,"135","0","6","4","10","8","25","27"
"11",3,"Greg Zuerlein",NYJ,"139","0","5","10","9","6","28","29"
"12",3,"Greg Joseph",MIN,"133","0","10","5","7","4","40","46"
"13",3,"Graham Gano",NYG,"145","0","2","9","10","8","32","34"
"14",3,"Jake Moody",SF,"0","0","0","0","0","0","0","0"
"15",3,"Matt Gay",IND,"133","0","9","8","4","7","31","32"
"16",3,"Wil Lutz",NO,"114","0","6","9","4","4","33","33"
"17",3,"Riley Patterson",DET,"140","0","8","10","10","2","36","37"
"18",3,"Chris Boswell",PIT,"97","0","4","4","5","7","18","18"
"19",4,"Nick Folk",NE,"146","1","9","8","10","4","32","35"
"20",4,"Matt Prater",ARI,"99","0","1","10","6","5","17","18"
"21",4,"Cairo Santos",CHI,"104","0","4","7","6","4","27","32"
"22",4,"Ka'imi Fairbairn",HOU,"132","0","7","7","9","6","24","24"
"23",4,"Cameron Dicker",LAC,"94","0","7","7","7","0","24","24"
"24",4,"Cade York",CLE,"121","0","5","9","6","4","35","37"
"25",4,"Brett Maher",DEN,"161","0","9","5","6","9","50","53"
"26",4,"Dustin Hopkins",LAC,"40","0","2","6","1","0","12","12"
"27",4,"Eddy Pineiro",CAR,"146","0","2","16","13","2","30","32"
"28",5,"Joey Slye",WAS,"115","1","8","4","8","4","24","28"
"29",5,"Michael Badgley",TEN,"118","0","6","7","9","2","33","33"
"30",5,"Brandon Aubrey",DAL,"0","0","0","0","0","0","0","0"
"31",5,"Anders Carlson",GB,"0","0","0","0","0","0","0","0"
"32",5,"Chase McLaughlin",TB,"138","0","7","5","9","9","21","21"
"33",5,"Tanner Brown",LAR,"0","0","0","0","0","0","0","0"
"34",5,"Chad Ryland",NE,"0","0","0","0","0","0","0","0"
"35",5,"Rodrigo Blankenship",FA,"19","0","2","0","1","1","4","5"
"36",5,"Robbie Gould",FA,"142","0","13","5","7","2","50","51"
"37",6,"Caleb Shudak",FA,"10","0","1","2","0","0","1","1"
"38",6,"Ryan Succop",FA,"133","0","10","7","12","2","24","25"
"39",6,"Tristan Vizcaino",FA,"10","0","0","1","1","0","3","3"
"40",6,"Mason Crosby",FA,"120","0","10","8","6","1","37","39"
"41",6,"Elliott Fry",FA,"0","0","0","0","0","0","0","0"
"42",6,"Tyler Davis",FA,"0","0","0","0","0","0","0","0"
"43",6,"Randy Bullock",FA,"87","0","5","5","6","1","28","28"
"44",6,"Zane Gonzalez",SF,"0","0","0","0","0","0","0","0"
"45",6,"Parker Romo",DET,"0","0","0","0","0","0","0","0"
"46",6,"Blake Grupe",NO,"0","0","0","0","0","0","0","0"
"47",6,"Matthew Wright",FA,"70","0","1","6","6","2","15","15"
"48",6,"B.T. Potter",FA,"0","0","0","0","0","0","0","0"
"49",6,"James McCourt",JAC,"0","0","0","0","0","0","0","0"
