"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS"
"1",1,"Christian McCaffrey",SF,"16.0"
"2",1,"Nick Chubb",CLE,"15.0"
"3",1,"Austin Ekeler",LAC,"15.6"
"4",1,"Bijan Robinson",ATL,"0"
"5",2,"Derrick Henry",TEN,"16.9"
"6",2,"Tony Pollard",DAL,"13.1"
"7",2,"Saquon Barkley",NYG,"14.2"
"8",2,"Josh Jacobs",LV,"16.2"
"9",2,"Jonathan Taylor",IND,"9.9"
"10",3,"Joe Mixon",CIN,"12.0"
"11",3,"Najee Harris",PIT,"10.7"
"12",3,"Rhamondre Stevenson",NE,"10.6"
"13",3,"Travis Etienne Jr.",JAC,"10.0"
"14",3,"Jahmyr Gibbs",DET,"0"
"15",3,"Aaron Jones",GB,"11.2"
"16",3,"Kenneth Walker III",SEA,"11.7"
"17",4,"Breece Hall",NYJ,"13.7"
"18",4,"Miles Sanders",CAR,"11.6"
"19",4,"J.K. Dobbins",BAL,"9.3"
"20",4,"Dameon Pierce",HOU,"10.5"
"21",4,"Cam Akers",LAR,"8.6"
"22",4,"Alexander Mattison",MIN,"4.3"
"23",4,"James Conner",ARI,"11.9"
"24",5,"David Montgomery",DET,"9.0"
"25",5,"James Cook",BUF,"5.1"
"26",5,"Rachaad White",TB,"5.2"
"27",5,"Javonte Williams",DEN,"6.5"
"28",5,"Isiah Pacheco",KC,"7.2"
"29",5,"Alvin Kamara",NO,"10.3"
"30",5,"Dalvin Cook",NYJ,"11.7"
"31",5,"Khalil Herbert",CHI,"8.4"
"32",5,"D'Andre Swift",PHI,"10.2"
"33",5,"Brian Robinson Jr.",WAS,"8.6"
"34",5,"AJ Dillon",GB,"8.2"
"35",5,"Antonio Gibson",WAS,"8.0"
"36",6,"Jamaal Williams",NO,"12.6"
"37",6,"Rashaad Penny",PHI,"9.6"
"38",6,"Samaje Perine",DEN,"6.5"
"39",6,"Zach Charbonnet",SEA,"0"
"40",6,"Elijah Mitchell",SF,"8.1"
"41",6,"Tyler Allgeier",ATL,"9.0"
"42",6,"Damien Harris",BUF,"6.7"
"43",6,"Jeff Wilson Jr.",MIA,"8.5"
"44",6,"Jaylen Warren",PIT,"4.1"
