PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS","AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS"
"1",1,"Christian McCaffrey",SF,"21.0","14.4","67.0","0.5","6.4","5.0","43.6","0.3"
"2",1,"Austin Ekeler",LAC,"21.9","12.0","53.8","0.8","7.5","6.3","42.5","0.3"
"3",1,"Saquon Barkley",NYG,"17.8","18.4","82.0","0.6","4.8","3.6","21.1","0.0"
"4",1,"Bijan Robinson",ATL,"0","0","0","0","0","0","0","0"
"5",1,"Tony Pollard",DAL,"15.6","12.1","62.9","0.6","3.4","2.4","23.2","0.2"
"6",2,"Nick Chubb",CLE,"16.6","17.8","89.7","0.7","2.2","1.6","14.1","0.1"
"7",2,"Derrick Henry",TEN,"18.9","21.8","96.1","0.8","2.6","2.1","24.9","0.0"
"8",2,"Josh Jacobs",LV,"19.3","20.0","97.2","0.7","3.8","3.1","23.5","0.0"
"9",2,"Jonathan Taylor",IND,"12.2","16.0","71.8","0.3","3.3","2.3","11.9","0.0"
"10",2,"Rhamondre Stevenson",NE,"14.7","12.4","61.2","0.3","5.2","4.1","24.8","0.1"
"11",2,"Joe Mixon",CIN,"16.0","14.1","55.1","0.5","5.0","4.0","29.4","0.1"
"12",3,"Najee Harris",PIT,"13.1","16.0","60.8","0.4","3.1","2.4","13.5","0.2"
"13",3,"Jahmyr Gibbs",DET,"0","0","0","0","0","0","0","0"
"14",3,"Aaron Jones",GB,"14.6","12.5","65.9","0.1","4.2","3.5","23.2","0.3"
"15",3,"Travis Etienne Jr.",JAC,"12.1","12.9","66.2","0.3","2.6","2.1","18.6","0.0"
"16",3,"Breece Hall",NYJ,"16.4","11.4","66.1","0.6","4.4","2.7","31.1","0.1"
"17",4,"Kenneth Walker III",SEA,"13.5","15.2","70.0","0.6","2.3","1.8","11.0","0.0"
"18",4,"Miles Sanders",CAR,"12.7","15.2","74.6","0.6","1.5","1.2","4.6","0.0"
"19",4,"Dameon Pierce",HOU,"12.8","16.9","72.2","0.3","3.0","2.3","12.7","0.1"
"20",4,"Alexander Mattison",MIN,"5.2","4.4","16.6","0.3","1.1","0.9","5.4","0.1"
"21",4,"J.K. Dobbins",BAL,"10.2","11.5","65.0","0.3","1.0","0.9","5.3","0.1"
"22",4,"James Conner",ARI,"15.4","14.1","60.2","0.5","4.5","3.5","23.1","0.1"
"23",4,"Rachaad White",TB,"8.2","7.6","28.3","0.1","3.4","2.9","17.1","0.1"
"24",4,"Cam Akers",LAR,"9.4","12.5","52.4","0.5","1.2","0.9","7.8","0.0"
"25",4,"James Cook",BUF,"6.3","5.4","30.9","0.1","1.9","1.2","10.6","0.1"
"26",4,"Alvin Kamara",NO,"14.1","14.9","59.8","0.1","5.1","3.8","32.7","0.1"
"27",4,"Javonte Williams",DEN,"10.5","11.8","51.0","0.0","5.5","4.0","19.0","0.0"
"28",4,"David Montgomery",DET,"11.1","12.6","50.1","0.3","2.5","2.1","19.8","0.1"
"29",4,"D'Andre Swift",PHI,"13.7","7.1","38.7","0.4","5.0","3.4","27.8","0.2"
"30",4,"Dalvin Cook",NYJ,"14.0","15.5","69.0","0.5","3.3","2.3","17.4","0.1"
"31",4,"Isiah Pacheco",KC,"7.9","10.0","48.8","0.3","0.8","0.8","7.6","0.0"
"32",5,"Antonio Gibson",WAS,"11.1","9.9","36.4","0.2","3.9","3.1","23.5","0.1"
"33",5,"Khalil Herbert",CHI,"9.1","9.9","56.2","0.3","0.9","0.7","4.4","0.1"
"34",5,"AJ Dillon",GB,"9.9","10.9","45.3","0.4","2.5","1.6","12.1","0.0"
"35",5,"Brian Robinson Jr.",WAS,"9.4","17.1","66.4","0.2","1.0","0.8","5.0","0.1"
"36",5,"Samaje Perine",DEN,"8.9","5.9","24.6","0.1","3.2","2.4","17.9","0.3"
"37",5,"Zach Charbonnet",SEA,"0","0","0","0","0","0","0","0"
"38",5,"Jerick McKinnon",KC,"11.5","4.2","17.1","0.1","4.2","3.3","30.1","0.5"
"39",5,"Jamaal Williams",NO,"13.3","15.4","62.7","1.0","0.9","0.7","4.3","0.0"
"40",5,"Rashaad Penny",PHI,"10.4","11.4","69.2","0.4","1.0","0.8","3.2","0.0"
"41",5,"Jaylen Warren",PIT,"5.8","4.8","23.7","0.1","2.1","1.8","13.4","0.0"
"42",5,"Damien Harris",BUF,"8.3","9.6","42.0","0.3","2.1","1.5","8.8","0.0"
"43",6,"Jeff Wilson Jr.",MIA,"9.9","11.0","53.8","0.3","2.3","1.4","11.6","0.1"
"44",6,"Raheem Mostert",MIA,"10.5","11.3","55.7","0.2","2.6","1.9","12.6","0.1"
"45",6,"De'Von Achane",MIA,"0","0","0","0","0","0","0","0"
"46",6,"Elijah Mitchell",SF,"8.7","9.0","55.8","0.4","0.8","0.6","1.4","0.0"
"47",6,"Tyler Allgeier",ATL,"10.0","13.1","64.7","0.2","1.1","1.0","8.7","0.1"
"48",6,"Devin Singletary",HOU,"10.5","10.5","48.4","0.3","3.1","2.2","16.5","0.1"
"49",6,"Kenneth Gainwell",PHI,"5.2","3.1","14.1","0.2","1.7","1.4","9.9","0.0"
"50",6,"Ezekiel Elliott",NE,"12.4","15.4","58.4","0.8","1.5","1.1","6.1","0.0"
"51",6,"Tank Bigsby",JAC,"0","0","0","0","0","0","0","0"
