PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"1",1,"Travis Kelce",KC,"18.6","8.9","6.5","78.7","0.7","0.1","0.3","0.0"
"2",1,"Mark Andrews",BAL,"12.7","7.5","4.9","56.5","0.3","0.2","0.5","0.0"
"3",1,"T.J. Hockenson",MIN,"12.7","7.6","5.1","53.8","0.4","0.0","0.0","0.0"
"4",2,"Darren Waller",NYG,"9.4","4.8","3.1","43.1","0.3","0.0","0.0","0.0"
"5",2,"George Kittle",SF,"13.4","5.7","4.0","51.0","0.7","0.0","0.0","0.0"
"6",2,"Dallas Goedert",PHI,"11.8","5.8","4.6","58.5","0.3","0.0","0.0","0.0"
"7",2,"Kyle Pitts",ATL,"7.6","5.9","2.8","35.6","0.2","0.0","0.0","0.0"
"8",2,"Evan Engram",JAC,"10.4","5.8","4.3","45.1","0.2","0.1","0.8","0.0"
"9",2,"Pat Freiermuth",PIT,"9.9","6.5","4.2","48.8","0.1","0.0","0.0","0.0"
"10",3,"David Njoku",CLE,"10.1","5.7","4.1","44.9","0.3","0.1","-0.6","0.0"
"11",3,"Dalton Schultz",HOU,"9.5","5.9","3.8","38.5","0.3","0.0","0.0","0.0"
"12",3,"Tyler Higbee",LAR,"9.5","6.8","4.5","38.8","0.2","0.0","0.0","0.0"
"13",3,"Chigoziem Okonkwo",TEN,"6.1","2.9","2.0","28.1","0.2","0.2","0.1","0.0"
"14",3,"Cole Kmet",CHI,"8.7","4.1","2.9","32.0","0.4","0.1","0.5","0.0"
"15",3,"Dalton Kincaid",BUF,"0","0","0","0","0","0","0","0"
"16",3,"Gerald Everett",LAC,"9.3","5.8","3.9","37.0","0.3","0.1","0.0","0.0"
"17",3,"Greg Dulcich",DEN,"8.6","5.5","3.3","41.1","0.2","0.0","0.0","0.0"
"18",4,"Juwan Johnson",NO,"8.4","4.1","2.6","31.8","0.4","0.0","0.0","0.0"
"19",4,"Sam LaPorta",DET,"0","0","0","0","0","0","0","0"
"20",4,"Irv Smith Jr.",CIN,"6.9","4.5","3.1","22.8","0.3","0.0","0.0","0.0"
"21",4,"Hayden Hurst",CAR,"7.9","5.0","3.9","31.4","0.1","0.0","0.0","0.0"
"22",4,"Hunter Henry",NE,"6.5","3.7","2.6","31.8","0.1","0.0","0.0","0.0"
"23",4,"Dawson Knox",BUF,"9.0","4.3","3.2","34.5","0.4","0.0","0.0","0.0"
"24",4,"Mike Gesicki",NE,"5.8","3.1","1.9","21.3","0.3","0.0","0.0","0.0"
"25",4,"Trey McBride",ARI,"5.1","3.3","2.4","22.1","0.1","0.0","0.0","0.0"
"26",4,"Zach Ertz",ARI,"11.6","6.9","4.7","40.6","0.4","0.0","0.0","0.0"
"27",4,"Noah Fant",SEA,"7.2","3.7","2.9","28.6","0.2","0.0","0.0","0.0"
"28",4,"Michael Mayer",LV,"0","0","0","0","0","0","0","0"
"29",5,"Cade Otton",TB,"5.8","4.1","2.6","24.4","0.1","0.0","0.0","0.0"
"30",5,"Jelani Woods",IND,"6.2","3.3","2.1","26.0","0.3","0.0","0.0","0.0"
"31",5,"Taysom Hill",NO,"9.1","0.8","0.6","4.8","0.1","6.0","35.9","0.4"
"32",5,"Isaiah Likely",BAL,"6.5","4.3","2.6","26.6","0.2","0.0","0.0","0.0"
"33",5,"Jake Ferguson",DAL,"4.4","2.0","1.7","15.8","0.2","0.0","0.0","0.0"
"34",5,"Luke Musgrave",GB,"0","0","0","0","0","0","0","0"
"35",5,"Tyler Conklin",NYJ,"7.7","5.1","3.4","32.5","0.2","0.1","0.2","0.0"
"36",5,"Logan Thomas",WAS,"5.9","4.7","3.0","24.8","0.1","0.0","0.0","0.0"
"37",5,"Austin Hooper",LV,"5.7","3.5","2.4","26.1","0.1","0.0","0.0","0.0"
"38",5,"Daniel Bellinger",NYG,"6.8","3.2","2.7","24.4","0.2","0.1","0.2","0.1"
"39",6,"Robert Tonyan",CHI,"6.6","3.9","3.1","27.6","0.1","0.0","0.0","0.0"
"40",6,"Adam Trautman",DEN,"3.4","1.7","1.4","15.9","0.1","0.0","0.0","0.0"
"41",6,"Jonnu Smith",ATL,"4.3","3.2","2.3","20.4","0.0","0.1","0.4","0.0"
"42",6,"Luke Schoonmaker",DAL,"0","0","0","0","0","0","0","0"
"43",6,"Darnell Washington",PIT,"0","0","0","0","0","0","0","0"
"44",6,"Foster Moreau",NO,"6.1","3.9","2.4","30.0","0.1","0.0","0.1","0.0"
"45",6,"Albert Okwuegbunam",DEN,"4.3","3.0","1.7","15.8","0.2","0.0","0.0","0.0"
"46",6,"Donald Parham Jr.",LAC,"4.8","2.0","1.7","21.7","0.2","0.0","0.0","0.0"
"47",6,"Noah Gray",KC,"4.1","2.0","1.6","17.6","0.1","0.1","0.1","0.1"
"48",6,"Will Dissly",SEA,"5.8","2.5","2.3","23.3","0.2","0.0","0.0","0.0"
"49",6,"Tucker Kraft",GB,"0","0","0","0","0","0","0","0"
"50",6,"Brevin Jordan",HOU,"3.0","3.1","1.6","14.2","0.0","0.0","0.0","0.0"
"51",6,"Mo Alie-Cox",IND,"3.9","2.0","1.4","13.5","0.2","0.0","0.0","0.0"
"52",6,"Cole Turner",WAS,"0.6","1.3","0.3","3.3","0.0","0.0","0.0","0.0"
"53",6,"Durham Smythe",MIA,"3.1","1.5","1.2","9.9","0.1","0.2","0.1","0.1"
"54",7,"C.J. Uzomah",NYJ,"4.0","1.9","1.5","16.6","0.1","0.0","0.0","0.0"
"55",7,"Harrison Bryant",CLE,"4.4","3.0","2.2","17.1","0.1","0.1","0.6","0.0"
"56",7,"Kylen Granson",IND,"4.7","3.1","2.4","23.2","0.0","0.1","0.0","0.0"
"57",7,"Peyton Hendershot",DAL,"3.3","1.3","0.9","8.6","0.2","0.1","0.2","0.1"
"58",7,"Jordan Akins",CLE,"7.8","3.6","2.5","33.0","0.3","0.0","0.0","0.0"
"59",7,"Brock Wright",DET,"4.5","1.7","1.3","15.4","0.3","0.0","0.0","0.0"
"60",7,"Colby Parkinson",SEA,"4.9","2.4","1.8","23.0","0.1","0.0","0.0","0.0"
"61",7,"Tommy Tremble",CAR,"3.5","2.1","1.3","11.6","0.2","0.0","0.0","0.0"
"62",7,"Brenton Strange",JAC,"0","0","0","0","0","0","0","0"
"63",7,"Jeremy Ruckert",NYJ,"0.9","1.0","0.5","4.0","0.0","0.0","0.0","0.0"
"64",7,"Josh Oliver",MIN,"3.4","2.1","1.2","12.4","0.2","0.0","0.0","0.0"
"65",7,"Hunter Long",LAR,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"66",7,"James Mitchell",DET,"3.5","1.4","1.4","14.1","0.1","0.0","0.0","0.0"
"67",7,"Elijah Higgins",MIA,"0","0","0","0","0","0","0","0"
"68",7,"Josiah Deguara",GB,"2.7","1.7","1.4","12.7","0.0","0.0","0.0","0.0"
"69",7,"John Bates",WAS,"3.1","2.2","1.4","10.8","0.1","0.0","0.0","0.0"
"70",8,"Ian Thomas",CAR,"2.9","2.1","1.5","14.1","0.0","0.0","0.0","0.0"
"71",8,"Zack Kuntz",NYJ,"0","0","0","0","0","0","0","0"
"72",8,"Charlie Kolar",BAL,"8.9","6.0","4.0","49.0","0.0","0.0","0.0","0.0"
"73",8,"Tre' McKitty",LAC,"1.3","1.4","0.8","5.5","0.0","0.0","0.0","0.0"
"74",8,"Teagan Quitoriano",HOU,"4.3","2.0","1.0","16.1","0.3","0.0","0.0","0.0"
"75",8,"Josh Whyle",TEN,"0","0","0","0","0","0","0","0"
"76",8,"Eric Saubert",MIA,"2.6","1.7","1.1","10.6","0.1","0.0","0.0","0.0"
"77",8,"Brycen Hopkins",LAR,"2.6","1.6","1.0","15.6","0.0","0.0","0.0","0.0"
"78",8,"Jack Stoll",PHI,"2.3","1.4","1.1","12.3","0.0","0.0","0.0","0.0"
"79",8,"Cameron Latu",SF,"0","0","0","0","0","0","0","0"
"80",8,"Grant Calcaterra",PHI,"2.2","1.5","0.8","13.5","0.0","0.0","0.0","0.0"
"81",8,"Drew Sample",CIN,"0.9","1.0","1.0","-1.0","0.0","0.0","0.0","0.0"
"82",8,"Dan Arnold",FA,"2.0","1.2","0.8","12.3","0.0","0.0","0.0","0.0"
"83",8,"Jody Fortson",KC,"3.0","1.3","0.9","10.8","0.2","0.0","0.0","0.0"
"84",8,"Payne Durham",TB,"0","0","0","0","0","0","0","0"
"85",8,"Ko Kieft",TB,"1.5","0.7","0.5","5.7","0.1","0.0","0.0","0.0"
"86",8,"Johnny Mundt",MIN,"3.0","1.6","1.5","10.8","0.1","0.0","0.0","0.0"
"87",8,"O.J. Howard",FA,"3.3","2.1","0.9","13.2","0.2","0.0","0.0","0.0"
"88",8,"Zach Gentry",PIT,"2.3","1.6","1.4","9.4","0.0","0.0","0.0","0.0"
"89",8,"Quintin Morris",BUF,"2.3","1.2","0.9","9.3","0.1","0.0","0.0","0.0"
"90",8,"Chris Manhertz",DEN,"1.3","1.0","0.8","5.3","0.0","0.0","0.0","0.0"
"91",8,"Will Mallory",IND,"0","0","0","0","0","0","0","0"
"92",8,"Jimmy Graham",NO,"0","0","0","0","0","0","0","0"
"93",8,"Ross Dwelley",SF,"3.9","1.0","0.6","21.0","0.2","0.0","0.0","0.0"
"94",9,"Davis Allen",LAR,"0","0","0","0","0","0","0","0"
"95",9,"Tyler Kroft",MIA,"1.6","0.8","0.7","9.5","0.0","0.0","0.0","0.0"
"96",9,"Connor Heyward",PIT,"2.4","1.1","0.8","10.1","0.1","0.1","1.8","0.0"
"97",9,"Devin Asiasi",CIN,"0.5","0.8","0.4","1.0","0.0","0.0","0.0","0.0"
"98",9,"Geoff Swaim",ARI,"2.0","1.3","1.0","4.8","0.1","0.0","0.0","0.0"
"99",9,"Giovanni Ricci",CAR,"1.6","0.8","0.7","9.1","0.0","0.0","0.0","0.0"
"100",9,"Jesper Horsted",LV,"1.0","0.8","0.6","3.8","0.0","0.0","0.0","0.0"
"101",9,"Parker Hesse",ATL,"1.5","0.9","0.8","7.4","0.0","0.0","0.0","0.0"
"102",9,"Shane Zylstra",DET,"4.6","1.7","1.2","6.7","0.4","0.0","0.0","0.0"
"103",9,"Tanner Hudson",CIN,"3.9","2.5","1.7","22.0","0.0","0.0","0.0","0.0"
"104",9,"Trevon Wesco",TEN,"1.1","0.7","0.3","4.3","0.0","0.0","0.0","0.0"
"105",9,"Pharaoh Brown",IND,"2.6","2.2","1.3","13.0","0.0","0.0","0.0","0.0"
"106",9,"Cameron Brate",FA,"4.2","4.2","2.2","19.3","0.0","0.0","0.0","0.0"
"107",9,"Luke Farrell",JAC,"2.0","1.0","1.0","10.0","0.0","0.0","0.0","0.0"
"108",9,"Tommy Sweeney",NYG,"0.8","0.5","0.5","3.5","0.0","0.0","0.0","0.0"
"109",9,"Blake Bell",KC,"5.0","1.0","1.0","10.0","0.5","0.0","0.0","0.0"
"110",9,"Chris Myarick",NYG,"1.9","0.8","0.7","6.5","0.1","0.0","0.0","0.0"
"111",9,"Mitchell Wilcox",CIN,"4.1","2.0","1.9","15.4","0.1","0.0","0.0","0.0"
"112",9,"Andrew Beck",HOU,"1.3","1.2","0.6","7.7","0.0","0.2","0.0","0.0"
"113",9,"Marcedes Lewis",CHI,"4.4","1.2","1.0","11.0","0.3","0.0","0.0","0.0"
"114",9,"MyCole Pruitt",ATL,"5.5","2.1","1.6","15.0","0.4","0.0","0.0","0.0"
"115",9,"Armani Rogers",WAS,"1.6","0.7","0.6","7.1","0.0","0.2","2.9","0.0"
"116",9,"Charlie Woerner",SF,"0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0"
"117",9,"Kevin Rader",TEN,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"118",10,"Kendall Blanton",KC,"2.8","1.0","1.0","17.5","0.0","0.0","0.0","0.0"
"119",10,"Stephen Sullivan",CAR,"0.8","0.8","0.3","5.8","0.0","0.0","0.0","0.0"
"120",10,"Tyree Jackson",PHI,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"121",10,"Stone Smartt",LAC,"1.9","1.7","1.3","5.7","0.0","0.0","0.0","0.0"
"122",10,"Sean McKeon",DAL,"1.0","1.0","0.7","3.7","0.0","0.0","0.0","0.0"
"123",10,"Tyler Davis",GB,"0.6","0.6","0.4","2.4","0.0","0.0","0.0","0.0"
"124",10,"Noah Togiai",ARI,"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"125",10,"Tyler Mabry",SEA,"7.7","1.0","1.0","7.0","1.0","0.0","0.0","0.0"
"126",10,"Jacob Hollister",LV,"0","0","0","0","0","0","0","0"
"127",10,"Kenny Yeboah",NYJ,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"128",10,"Matt Sokol",NE,"0","0","0","0","0","0","0","0"
"129",10,"Mason Schreck",HOU,"1.3","1.0","1.0","3.0","0.0","0.0","0.0","0.0"
"130",10,"Eric Tomlinson",HOU,"3.2","1.4","1.0","8.8","0.2","0.0","0.0","0.0"
"131",10,"Brayden Willis",SF,"0","0","0","0","0","0","0","0"
"132",10,"Matt Bushman",KC,"0","0","0","0","0","0","0","0"
"133",10,"David Wells",TB,"0","0","0","0","0","0","0","0"
"134",10,"Anthony Firkser",NE,"2.4","1.6","1.1","12.5","0.0","0.0","0.0","0.0"
"135",10,"Kyle Rudolph",FA,"2.4","1.0","0.6","5.6","0.2","0.0","0.0","0.0"
"136",10,"Jacob Harris",JAC,"0.5","0.3","0.3","2.0","0.0","0.0","0.0","0.0"
"137",10,"Nick Boyle",FA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"138",11,"J.P. Holtz",NO,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"139",11,"Zaire Mitchell-Paden",CLE,"0","0","0","0","0","0","0","0"
"140",11,"Noah Gindorff",FA,"0","0","0","0","0","0","0","0"
"141",11,"Travis Vokolek",BAL,"0","0","0","0","0","0","0","0"
