"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS"
"1",1,"Justin Jefferson",MIN,"14.2"
"2",1,"Ja'Marr Chase",CIN,"12.0"
"3",1,"Tyreek Hill",MIA,"13.1"
"4",2,"Cooper Kupp",LAR,"14.0"
"5",2,"Stefon Diggs",BUF,"12.4"
"6",2,"A.J. Brown",PHI,"12.4"
"7",2,"CeeDee Lamb",DAL,"11.4"
"8",2,"Davante Adams",LV,"13.9"
"9",2,"Amon-Ra St. Brown",DET,"10.1"
"10",2,"Garrett Wilson",NYJ,"7.8"
"11",3,"Jaylen Waddle",MIA,"10.8"
"12",3,"Chris Olave",NO,"8.4"
"13",3,"Tee Higgins",CIN,"9.9"
"14",3,"DeVonta Smith",PHI,"9.4"
"15",3,"Amari Cooper",CLE,"9.9"
"16",3,"Deebo Samuel",SF,"8.6"
"17",3,"DK Metcalf",SEA,"8.0"
"18",4,"Calvin Ridley",JAC,"0"
"19",4,"DJ Moore",CHI,"8.0"
"20",4,"Christian Watson",GB,"8.8"
"21",4,"Keenan Allen",LAC,"9.8"
"22",4,"Terry McLaurin",WAS,"8.9"
"23",4,"Brandon Aiyuk",SF,"8.8"
"24",4,"DeAndre Hopkins",TEN,"9.7"
"25",4,"Drake London",ATL,"6.3"
"26",4,"Mike Williams",LAC,"8.7"
"27",4,"Jerry Jeudy",DEN,"9.1"
"28",5,"Tyler Lockett",SEA,"9.6"
"29",5,"Mike Evans",TB,"9.9"
"30",5,"Christian Kirk",JAC,"9.3"
"31",5,"Chris Godwin",TB,"7.9"
"32",5,"Diontae Johnson",PIT,"5.6"
"33",5,"Jahan Dotson",WAS,"8.0"
"34",5,"Marquise Brown",ARI,"7.4"
"35",5,"George Pickens",PIT,"6.7"
"36",5,"Gabe Davis",BUF,"8.2"
"37",5,"Michael Pittman Jr.",IND,"7.3"
"38",5,"Jordan Addison",MIN,"0"
"39",6,"Jaxon Smith-Njigba",SEA,"0"
"40",6,"Courtland Sutton",DEN,"6.4"
"41",6,"Brandin Cooks",DAL,"6.8"
"42",6,"Treylon Burks",TEN,"5.0"
"43",6,"Zay Flowers",BAL,"0"
"44",6,"Elijah Moore",CLE,"3.2"
"45",6,"Quentin Johnston",LAC,"0"
"46",6,"Rashod Bateman",BAL,"6.4"
"47",6,"Kadarius Toney",KC,"4.6"
"48",6,"Michael Thomas",NO,"11.7"
"49",6,"Skyy Moore",KC,"1.3"
"50",6,"JuJu Smith-Schuster",NE,"6.7"
"51",6,"Jakobi Meyers",LV,"8.1"
"52",6,"Nico Collins",HOU,"6.0"
"53",6,"Allen Lazard",NYJ,"7.7"
"54",6,"Odell Beckham Jr.",BAL,"0"
"55",6,"Jameson Williams",DET,"2.4"
"56",6,"Darnell Mooney",CHI,"5.6"
"57",7,"Romeo Doubs",GB,"4.6"
"58",7,"Tyler Boyd",CIN,"6.9"
"59",7,"Adam Thielen",CAR,"6.5"
"60",7,"Michael Gallup",DAL,"4.7"
"61",7,"DJ Chark Jr.",CAR,"6.2"
"62",7,"Zay Jones",JAC,"7.3"
"63",7,"Rondale Moore",ARI,"5.9"
"64",7,"Donovan Peoples-Jones",CLE,"6.2"
"65",7,"Alec Pierce",IND,"4.5"
"66",7,"Rashid Shaheed",NO,"6.0"
"67",7,"Jonathan Mingo",CAR,"0"
"68",7,"Van Jefferson",LAR,"5.5"
"69",7,"Curtis Samuel",WAS,"6.6"
"70",7,"K.J. Osborn",MIN,"5.6"
"71",7,"Marquez Valdes-Scantling",KC,"4.7"
"72",7,"Marvin Mims Jr.",DEN,"0"
"73",7,"Isaiah Hodgins",NYG,"7.0"
"74",7,"DeVante Parker",NE,"5.5"
"75",7,"Darius Slayton",NYG,"6.3"
"76",7,"Rashee Rice",KC,"0"
"77",8,"Parris Campbell",NYG,"5.1"
"78",8,"Jayden Reed",GB,"0"
"79",8,"Hunter Renfrow",LV,"4.3"
"80",8,"Chase Claypool",CHI,"3.9"
"81",8,"Robert Woods",HOU,"3.7"
"82",8,"John Metchie III",HOU,"0"
"83",8,"Jalin Hyatt",NYG,"0"
"84",8,"Mecole Hardman Jr.",NYJ,"8.6"
"85",8,"Wan'Dale Robinson",NYG,"4.8"
"86",8,"Allen Robinson II",PIT,"5.2"
"87",8,"Joshua Palmer",LAC,"6.1"
"88",8,"Josh Downs",IND,"0"
"89",8,"Tyquan Thornton",NE,"3.7"
"90",8,"Terrace Marshall Jr.",CAR,"4.2"
"91",8,"Marvin Jones Jr.",DET,"4.4"
"92",8,"Richie James Jr.",KC,"4.7"
"93",8,"Mack Hollins",ATL,"5.7"
"94",8,"Khalil Shakir",BUF,"2.4"
"95",8,"Sterling Shepard",NYG,"7.1"
"96",8,"Josh Reynolds",DET,"5.5"
"97",8,"Tank Dell",HOU,"0"
"98",8,"Kendrick Bourne",NE,"3.3"
"99",9,"Laviska Shenault Jr.",CAR,"3.5"
"100",9,"Quez Watkins",PHI,"3.0"
"101",9,"Isaiah McKenzie",IND,"4.9"
"102",9,"Cedric Tillman",CLE,"0"
"103",9,"Puka Nacua",LAR,"0"
"104",9,"Nick Westbrook-Ikhine",TEN,"3.6"
"105",9,"Devin Duvernay",BAL,"5.6"
"106",9,"Kayshon Boutte",NE,"0"
"107",9,"Braxton Berrios",MIA,"2.3"
"108",9,"Justyn Ross",KC,"0.0"
"109",9,"Michael Wilson",ARI,"0"
"110",9,"David Bell",CLE,"1.4"
"111",9,"Nelson Agholor",BAL,"2.9"
"112",9,"Russell Gage",TB,"5.6"
"113",9,"Greg Dortch",ARI,"3.8"
"114",9,"Kyle Philips",TEN,"0.9"
"115",9,"Tutu Atwell",LAR,"3.8"
"116",9,"Robbie Chosen",MIA,"2.7"
"117",9,"Deonte Harty",BUF,"-0.2"
"118",10,"KJ Hamler",FA,"2.7"
"119",10,"Xavier Hutchinson",HOU,"0"
"120",10,"A.T. Perry",NO,"0"
"121",10,"Jauan Jennings",SF,"3.0"
"122",10,"Noah Brown",HOU,"4.5"
"123",10,"Ben Skowronek",LAR,"3.2"
"124",10,"Jamison Crowder",NYG,"1.5"
"125",10,"Jalen Tolbert",DAL,"0.4"
"126",10,"Trent Sherfield",BUF,"3.4"
"127",10,"Tyler Scott",CHI,"0"
