PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"1",1,"Justin Jefferson",MIN,"21.7","10.8","7.5","106.4","0.5","0.2","1.4","0.1"
"2",1,"Ja'Marr Chase",CIN,"18.6","10.3","6.7","80.5","0.7","0.4","0.6","0.0"
"3",1,"Cooper Kupp",LAR,"22.4","10.9","8.3","90.2","0.7","1.0","5.8","0.1"
"4",1,"Tyreek Hill",MIA,"20.1","10.0","7.0","100.6","0.4","0.4","1.9","0.1"
"5",2,"Stefon Diggs",BUF,"18.9","9.2","6.5","85.6","0.6","0.1","-0.2","0.0"
"6",2,"CeeDee Lamb",DAL,"17.7","9.2","6.3","79.9","0.5","0.6","2.8","0.0"
"7",2,"Amon-Ra St. Brown",DET,"16.7","9.1","6.6","72.6","0.4","0.6","5.9","0.0"
"8",2,"A.J. Brown",PHI,"17.6","8.5","5.2","88.0","0.6","0.0","0.0","0.0"
"9",2,"Davante Adams",LV,"19.7","10.6","5.9","89.2","0.8","0.2","-0.1","0.0"
"10",3,"Garrett Wilson",NYJ,"12.7","8.6","4.9","64.9","0.2","0.2","0.2","0.0"
"11",3,"Jaylen Waddle",MIA,"15.2","6.9","4.4","79.8","0.5","0.2","1.5","0.0"
"12",3,"Chris Olave",NO,"13.2","7.9","4.8","69.5","0.3","0.0","0.0","0.0"
"13",3,"DeVonta Smith",PHI,"15.0","8.0","5.6","70.4","0.4","0.0","0.0","0.0"
"14",3,"Keenan Allen",LAC,"16.4","8.9","6.6","75.2","0.4","0.1","0.8","0.0"
"15",3,"Tee Higgins",CIN,"14.9","7.3","5.0","69.5","0.5","0.0","0.0","0.0"
"16",3,"DK Metcalf",SEA,"13.3","8.3","5.3","61.6","0.4","0.0","0.0","0.0"
"17",4,"Calvin Ridley",JAC,"0","0","0","0","0","0","0","0"
"18",4,"Amari Cooper",CLE,"14.5","7.8","4.6","68.2","0.5","0.0","0.0","0.0"
"19",4,"Deebo Samuel",SF,"13.0","7.2","4.3","48.6","0.2","3.2","17.8","0.2"
"20",4,"Chris Godwin",TB,"14.9","9.5","6.9","68.2","0.2","0.2","0.3","0.0"
"21",4,"DeAndre Hopkins",TEN,"16.9","10.7","7.1","79.7","0.3","0.0","0.0","0.0"
"22",4,"DJ Moore",CHI,"11.7","6.9","3.7","52.2","0.4","0.6","3.1","0.0"
"23",4,"Drake London",ATL,"10.5","6.9","4.2","50.9","0.2","0.0","0.0","0.0"
"24",4,"Terry McLaurin",WAS,"13.5","7.1","4.5","70.1","0.3","0.4","1.7","0.0"
"25",4,"Diontae Johnson",PIT,"10.6","8.6","5.1","51.9","0.0","0.4","1.5","0.0"
"26",4,"Christian Watson",GB,"11.7","4.6","2.9","43.6","0.5","0.5","5.7","0.1"
"27",5,"Tyler Lockett",SEA,"14.8","7.3","5.3","64.6","0.6","0.0","0.0","0.0"
"28",5,"Brandon Aiyuk",SF,"13.4","6.7","4.6","59.7","0.5","0.1","1.4","0.0"
"29",5,"Mike Williams",LAC,"13.6","7.2","4.8","68.8","0.3","0.0","0.0","0.0"
"30",5,"Jerry Jeudy",DEN,"13.6","6.7","4.5","64.8","0.4","0.3","2.7","0.0"
"31",5,"Christian Kirk",JAC,"14.2","7.8","4.9","65.2","0.5","0.3","0.6","0.0"
"32",5,"Marquise Brown",ARI,"13.0","8.9","5.6","59.1","0.3","0.1","0.1","0.0"
"33",5,"Michael Pittman Jr.",IND,"13.5","8.8","6.2","57.8","0.3","0.2","1.9","0.0"
"34",5,"Mike Evans",TB,"15.0","8.5","5.1","74.9","0.4","0.0","0.0","0.0"
"35",5,"Jahan Dotson",WAS,"10.9","5.1","2.9","43.6","0.6","0.2","-0.6","0.0"
"36",5,"George Pickens",PIT,"9.8","4.9","3.1","47.1","0.2","0.2","1.4","0.1"
"37",5,"Jordan Addison",MIN,"0","0","0","0","0","0","0","0"
"38",6,"Brandin Cooks",DAL,"11.2","7.2","4.4","53.8","0.2","0.2","0.5","0.0"
"39",6,"Gabe Davis",BUF,"11.4","6.2","3.2","55.7","0.5","0.0","0.0","0.0"
"40",6,"Courtland Sutton",DEN,"10.6","7.3","4.3","55.3","0.1","0.1","0.3","0.0"
"41",6,"Jaxon Smith-Njigba",SEA,"0","0","0","0","0","0","0","0"
"42",6,"Treylon Burks",TEN,"8.0","4.9","3.0","40.4","0.1","0.4","4.3","0.0"
"43",6,"Zay Flowers",BAL,"0","0","0","0","0","0","0","0"
"44",6,"JuJu Smith-Schuster",NE,"11.6","6.3","4.9","58.3","0.2","0.0","0.0","0.0"
"45",6,"Michael Thomas",NO,"17.0","7.3","5.3","57.0","1.0","0.0","0.0","0.0"
"46",6,"Elijah Moore",CLE,"5.5","4.1","2.3","27.9","0.1","0.3","0.3","0.0"
"47",6,"Jakobi Meyers",LV,"12.9","6.9","4.8","57.4","0.4","0.1","-0.8","0.0"
"48",6,"Quentin Johnston",LAC,"0","0","0","0","0","0","0","0"
"49",6,"Skyy Moore",KC,"2.7","2.1","1.4","15.6","0.0","0.2","1.5","0.0"
"50",6,"Rashod Bateman",BAL,"8.9","4.7","2.5","47.5","0.3","0.0","0.0","0.0"
"51",6,"Kadarius Toney",KC,"6.4","2.2","1.8","19.0","0.2","0.8","9.1","0.1"
"52",6,"Nico Collins",HOU,"9.7","6.6","3.7","48.1","0.2","0.0","0.0","0.0"
"53",7,"Allen Lazard",NYJ,"11.7","6.7","4.0","52.5","0.4","0.1","0.0","0.0"
"54",7,"Romeo Doubs",GB,"7.8","5.2","3.2","32.7","0.2","0.1","0.8","0.0"
"55",7,"Odell Beckham Jr.",BAL,"0","0","0","0","0","0","0","0"
"56",7,"Rondale Moore",ARI,"11.0","7.0","5.1","51.8","0.1","0.8","-0.6","0.0"
"57",7,"Darnell Mooney",CHI,"9.2","5.5","3.6","44.8","0.2","0.1","0.2","0.0"
"58",7,"Tyler Boyd",CIN,"10.3","4.9","3.5","45.6","0.4","0.0","0.0","0.0"
"59",7,"Zay Jones",JAC,"12.4","7.6","5.1","51.4","0.3","0.3","1.1","0.0"
"60",7,"Adam Thielen",CAR,"10.6","6.3","4.1","42.1","0.4","0.1","0.2","0.0"
"61",7,"Jameson Williams",DET,"2.5","1.5","0.2","6.8","0.2","0.2","6.7","0.0"
"62",7,"Michael Gallup",DAL,"7.5","5.3","2.8","30.3","0.3","0.0","0.0","0.0"
"63",7,"DJ Chark Jr.",CAR,"8.9","4.7","2.7","45.6","0.3","0.0","0.0","0.0"
"64",7,"Donovan Peoples-Jones",CLE,"9.8","5.6","3.6","49.4","0.2","0.1","0.1","0.0"
"65",7,"Alec Pierce",IND,"7.0","4.9","2.6","37.1","0.1","0.0","0.0","0.0"
