PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
1,1,CHRISTIAN MCCAFFREY,SF,1,8,1.2,1.1
2,1,CEEDEE LAMB,DAL,2,7,2.5,1.3
3,1,TYREEK HILL,MIA,2,8,3.6,1.6
4,1,AMON-RA ST BROWN,DET,4,8,4.3,0.9
5,1,JUSTIN JEFFERSON,MIN,2,9,5.2,1.2
6,2,JAMARR CHASE,CIN,2,7,5.5,1.8
7,2,BREECE HALL,NYJ,5,16,7.0,1.6
8,2,BIJAN ROBINSON,ATL,1,13,7.1,1.8
9,2,AJ BROWN,PHI,7,19,10.0,1.8
10,2,GARRETT WILSON,NYJ,9,19,11.0,1.9
11,2,PUKA NACUA,LAR,7,19,11.5,2.7
12,3,JAHMYR GIBBS,DET,8,33,13.0,3.5
13,3,JONATHAN TAYLOR,IND,11,42,15.1,6.7
14,3,SAQUON BARKLEY,PHI,8,38,16.7,5.5
15,3,DAVANTE ADAMS,LV,10,35,16.8,4.3
16,3,CHRIS OLAVE,NO,14,37,20.4,4.7
17,3,MARVIN HARRISON,ARI,10,229,21.1,26.9
18,3,JOSH ALLEN,BUF,18,34,21.5,5.0
19,3,DRAKE LONDON,ATL,14,50,22.3,7.0
20,3,MICHAEL PITTMAN,IND,12,43,23.1,7.5
21,4,BRANDON AIYUK,SF,12,50,24.1,7.0
22,4,TRAVIS ETIENNE,JAC,8,42,24.4,9.9
23,4,JALEN HURTS,PHI,18,46,26.6,4.8
24,4,MIKE EVANS,TB,19,44,27.6,6.5
25,4,JAYLEN WADDLE,MIA,15,42,28.4,6.2
26,4,DJ MOORE,CHI,12,62,31.1,9.1
27,4,TRAVIS KELCE,KC,25,78,31.3,12.4
28,4,SAM LAPORTA,DET,25,78,31.6,13.5
29,4,NICO COLLINS,HOU,19,65,32.0,8.4
30,4,PATRICK MAHOMES,KC,18,58,32.1,8.5
31,4,LAMAR JACKSON,BAL,18,58,33.4,7.1
