PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,PASS_YDS,PASS_TDS,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
1,1,CHRISTIAN MCCAFFREY,SF,391.3,0,0,67,564,7,272,1459,14
2,1,CEEDEE LAMB,DAL,403.2,0,0,135,1749,12,14,113,2
3,1,TYREEK HILL,MIA,376.4,0,0,119,1799,13,6,15,0
4,1,AMON-RA ST BROWN,DET,330.9,0,0,119,1515,10,4,24,0
5,1,JAMARR CHASE,CIN,262.7,0,0,100,1216,7,3,-6,0
6,2,JUSTIN JEFFERSON,MIN,202.2,0,0,68,1074,5,1,-12,0
7,2,BIJAN ROBINSON,ATL,246.3,0,0,58,487,4,214,976,4
8,2,BREECE HALL,NYJ,290.5,0,0,76,591,4,223,994,5
9,2,AJ BROWN,PHI,289.6,0,0,106,1456,7,0,0,0
10,2,GARRETT WILSON,NYJ,213.2,0,0,95,1042,3,4,0,0
11,2,PUKA NACUA,LAR,298.5,0,0,105,1486,6,12,89,0
12,3,JAHMYR GIBBS,DET,242.1,0,0,52,316,1,182,945,10
13,3,JONATHAN TAYLOR,IND,156.4,0,0,19,153,1,169,741,7
14,3,MARVIN HARRISON,ARI,0,0,0,0,0,0,0,0,0
15,3,SAQUON BARKLEY,PHI,223.2,0,0,41,280,4,247,962,6
16,3,DAVANTE ADAMS,LV,265.4,0,0,103,1144,8,0,0,0
17,3,CHRIS OLAVE,NO,231.3,0,0,87,1123,5,0,0,0
18,3,DRAKE LONDON,ATL,174.4,0,0,69,905,2,0,0,0
19,3,JOSH ALLEN,BUF,410.6,4306,29,0,0,0,111,524,15
20,3,MICHAEL PITTMAN,IND,250.2,0,0,109,1152,4,0,0,0
21,4,TRAVIS ETIENNE,JAC,282.4,0,0,58,476,1,267,1008,11
22,4,BRANDON AIYUK,SF,249.2,0,0,75,1342,7,0,0,0
23,4,JALEN HURTS,PHI,371.8,3858,23,0,0,0,157,605,15
24,4,JAYLEN WADDLE,MIA,198.6,0,0,72,1014,4,3,12,0
25,4,MIKE EVANS,TB,282.5,0,0,79,1255,13,0,0,0
26,4,KYREN WILLIAMS,LAR,255,0,0,32,206,3,228,1144,12
27,4,SAM LAPORTA,DET,239.3,0,0,86,889,10,1,4,0
28,4,NICO COLLINS,HOU,260.4,0,0,80,1297,8,1,7,0
29,4,PATRICK MAHOMES,KC,294.2,4183,27,0,0,0,75,389,0
30,4,LAMAR JACKSON,BAL,338.2,3678,24,0,0,0,148,821,5
31,4,TRAVIS KELCE,KC,219.4,0,0,93,984,5,0,0,0
32,4,DJ MOORE,CHI,286.5,0,0,96,1364,8,4,21,1
33,4,COOPER KUPP,LAR,164.4,0,0,59,737,5,1,-3,0
34,5,DEVONTA SMITH,PHI,227.6,0,0,81,1066,7,0,0,0
35,5,ISIAH PACHECO,KC,213.9,0,0,44,244,2,205,935,7
36,5,DK METCALF,SEA,225.4,0,0,66,1114,8,0,0,0
37,5,DEEBO SAMUEL,SF,243.7,0,0,60,892,7,37,225,5
38,5,DEVON ACHANE,MIA,190.7,0,0,27,197,3,103,800,8
39,5,DERRICK HENRY,BAL,246.7,0,0,28,214,0,280,1167,12
40,5,RACHAAD WHITE,TB,267.9,0,0,64,549,3,272,990,6
41,5,MALIK NABERS,NYG,0,0,0,0,0,0,0,0,0
42,5,AMARI COOPER,CLE,227,0,0,72,1250,5,0,0,0
43,5,STEFON DIGGS,HOU,273.8,0,0,107,1183,8,1,5,0
44,5,ALVIN KAMARA,NO,233,0,0,75,466,1,180,694,5
45,6,JAMES COOK,BUF,232.7,0,0,44,445,4,237,1122,2
46,6,ANTHONY RICHARDSON,IND,73.7,577,3,0,0,0,25,136,4
47,6,JOE MIXON,HOU,267,0,0,52,376,3,257,1034,9
48,6,TREY MCBRIDE,ARI,181.5,0,0,81,825,3,0,0,0
49,6,JOSH JACOBS,GB,181.1,0,0,37,296,0,233,805,6
50,6,ZAY FLOWERS,BAL,206.4,0,0,77,858,5,8,56,1
51,6,CJ STROUD,HOU,281,4108,23,0,0,0,39,167,3
52,6,CHRISTIAN KIRK,JAC,150.3,0,0,57,787,3,1,6,0
53,6,TEE HIGGINS,CIN,137.6,0,0,42,656,5,0,0,0
54,6,KEENAN ALLEN,CHI,278.9,0,0,108,1243,7,2,6,0
55,6,GEORGE PICKENS,PIT,208.8,0,0,63,1140,5,3,18,0
56,6,KENNETH WALKER,SEA,199.4,0,0,29,259,1,219,905,8
57,6,TERRY MCLAURIN,WAS,203.2,0,0,79,1002,4,0,0,0
58,6,MARK ANDREWS,BAL,135.4,0,0,45,544,6,1,0,0
59,6,KYLER MURRAY,ARI,151.4,1799,10,0,0,0,44,244,3
