PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
CHRISTIAN MCCAFFREY,SF,1,8,1.4,1.3
CEEDEE LAMB,DAL,2,6,2.4,0.8
TYREEK HILL,MIA,2,6,3.2,0.8
JAMARR CHASE,CIN,2,7,4.1,1.1
JUSTIN JEFFERSON,MIN,2,11,5.0,1.4
BREECE HALL,NYJ,1,13,7.0,2.6
AMON-RA ST BROWN,DET,5,11,7.1,0.7
BIJAN ROBINSON,ATL,1,12,8.4,2.8
AJ BROWN,PHI,7,16,9.7,1.8
JONATHAN TAYLOR,IND,7,15,10.7,2.3
PUKA NACUA,LAR,9,20,11.7,3.4
GARRETT WILSON,NYJ,9,22,12.5,3.8
SAQUON BARKLEY,PHI,8,39,14.4,4.2
JAHMYR GIBBS,DET,8,37,14.8,3.8
DEEBO SAMUEL,SF,10,37,19.4,5.7
KYREN WILLIAMS,LAR,13,42,19.4,7.8
BRANDON AIYUK,SF,11,40,19.4,5.7
JOSH ALLEN,BUF,17,34,20.1,4.9
DERRICK HENRY,BAL,12,63,20.5,12.5
MIKE EVANS,TB,11,35,22.1,5.1
TRAVIS ETIENNE,JAC,13,45,24.3,9.4
MARVIN HARRISON,ARI,10,135,25.3,17.6
CHRIS OLAVE,NO,16,56,25.5,6.4
DAVANTE ADAMS,LV,19,41,26.6,4.7
JALEN HURTS,PHI,17,51,26.9,5.7
DJ MOORE,CHI,10,43,28.0,7.5
NICO COLLINS,HOU,16,56,29.1,6.9
DK METCALF,SEA,19,38,29.2,4.7
SAM LAPORTA,DET,25,78,30.6,12.6
PATRICK MAHOMES,KC,17,51,31.9,7.8
DRAKE LONDON,ATL,22,73,32.5,11.5
TRAVIS KELCE,KC,25,78,33.0,13.6
LAMAR JACKSON,BAL,17,58,33.2,7.3
JAYLEN WADDLE,MIA,23,44,34.9,5.2
ISIAH PACHECO,KC,14,55,36.0,8.5
JOSH JACOBS,GB,14,67,36.5,10.6
DEVON ACHANE,MIA,14,68,37.8,11.6
AMARI COOPER,CLE,23,75,38.9,8.0
DEVONTA SMITH,PHI,30,56,41.6,5.6
KENNETH WALKER,SEA,21,66,42.4,9.7
COOPER KUPP,LAR,24,73,43.3,7.9
RACHAAD WHITE,TB,18,57,44.3,8.7
JOE MIXON,HOU,20,66,45.0,7.5
TEE HIGGINS,CIN,32,64,45.1,8.6
MICHAEL PITTMAN,IND,31,81,46.1,10.7
JAMES COOK,BUF,18,67,47.0,8.1
CJ STROUD,HOU,29,70,47.8,7.3
MARK ANDREWS,BAL,25,78,48.2,13.6
NATHANIEL DELL,HOU,31,91,48.5,13.1
STEFON DIGGS,HOU,28,87,49.6,12.2
GEORGE PICKENS,PIT,30,87,50.5,11.7
ANTHONY RICHARDSON,IND,29,112,51.0,10.8
DAVID MONTGOMERY,DET,18,68,52.9,8.8
MALIK NABERS,NYG,30,163,54.6,21.9
JOE BURROW,CIN,46,76,57.1,5.4
DAK PRESCOTT,DAL,29,74,58.0,8.7
ZAY FLOWERS,BAL,36,99,58.0,13.2
KYLER MURRAY,ARI,34,84,61.6,10.0
AARON JONES,MIN,52,86,63.5,8.3
TREY MCBRIDE,ARI,25,105,63.6,19.8
ALVIN KAMARA,NO,48,94,64.3,10.6
JAMES CONNER,ARI,37,92,65.5,8.8
JAYDEN REED,GB,36,106,65.6,12.4
CALVIN RIDLEY,TEN,36,99,66.2,11.3
CHRISTIAN KIRK,JAC,47,89,66.3,8.9
NAJEE HARRIS,PIT,39,86,67.8,8.1
TERRY MCLAURIN,WAS,41,99,67.9,11.8
JORDAN LOVE,GB,46,94,68.5,10.0
GEORGE KITTLE,SF,49,98,69.0,11.3
ZAMIR WHITE,LV,37,95,70.2,12.2
RHAMONDRE STEVENSON,NE,52,101,70.5,10.2
KEENAN ALLEN,CHI,35,91,70.9,15.1
RAHEEM MOSTERT,MIA,21,126,71.5,12.6
DANDRE SWIFT,CHI,55,97,75.5,10.2
BROCK PURDY,SF,58,90,75.8,7.1
KYLE PITTS,ATL,57,110,78.7,10.5
TONY POLLARD,TEN,62,119,80.1,12.5
DEANDRE HOPKINS,TEN,50,108,81.1,12.9
MARQUISE BROWN,KC,40,136,82.5,21.3
DIONTAE JOHNSON,CAR,43,131,83.6,15.7
RASHEE RICE,KC,38,149,84.5,25.7
DALTON KINCAID,BUF,27,127,84.8,15.5
CHRISTIAN WATSON,GB,36,114,85.7,16.5
BRIAN ROBINSON,WAS,67,119,86.0,11.9
TUA TAGOVAILOA,MIA,70,124,87.0,11.2
JORDAN ADDISON,MIN,59,120,87.1,15.2
CHRIS GODWIN,TB,61,108,87.8,10.7
DAVID NJOKU,CLE,76,110,91.0,8.3
ZACK MOSS,CIN,52,140,91.3,19.6
NICK CHUBB,CLE,53,147,92.1,23.4
JARED GOFF,DET,60,128,92.5,12.2
CALEB WILLIAMS,CHI,58,138,92.7,15.0
JAVONTE WILLIAMS,DEN,55,122,93.2,14.2
JAYDEN DANIELS,WAS,62,178,94.0,21.4
JUSTIN HERBERT,LAC,70,124,94.2,14.7
XAVIER WORTHY,KC,65,109,95.0,11.7
JAKE FERGUSON,DAL,76,130,96.1,7.7
EVAN ENGRAM,JAC,85,105,96.9,4.1
DEVIN SINGLETARY,NYG,77,122,97.9,11.2
GUS EDWARDS,LAC,67,142,98.8,19.2
TREVOR LAWRENCE,JAC,70,124,99.4,10.5
COURTLAND SUTTON,DEN,75,163,103.0,13.2
JAYLEN WARREN,PIT,68,119,104.1,12.1
KIRK COUSINS,ATL,72,133,104.1,12.4
ROME ODUNZE,CHI,59,168,100.1,22.0
DALLAS GOEDERT,PHI,94,134,104.9,9.2
JAMESON WILLIAMS,DET,61,148,107.5,14.4
BROCK BOWERS,LV,78,202,109.5,20.5
MATTHEW STAFFORD,LAR,84,133,110.4,8.7
AUSTIN EKELER,WAS,79,143,111.3,12.3
JAXON SMITH-NJIGBA,SEA,82,141,111.6,12.5
TYJAE SPEARS,TEN,86,126,114.0,8.3
JONATHON BROOKS,CAR,63,311,112.4,53.3
DALTON SCHULTZ,HOU,98,157,116.8,11.6
TYLER LOCKETT,SEA,81,148,118.5,12.8
AARON RODGERS,NYJ,84,158,119.0,11.3
MIKE WILLIAMS,NYJ,81,168,120.2,14.2
EZEKIEL ELLIOTT,DAL,77,215,121.1,23.7
TREY BENSON,ARI,69,302,122.0,32.8
TJ HOCKENSON,MIN,85,195,122.4,21.9
PAT FREIERMUTH,PIT,94,174,123.7,15.6
DESHAUN WATSON,CLE,90,178,124.3,14.0
JAKOBI MEYERS,LV,87,149,125.2,13.0
JEROME FORD,CLE,74,172,125.5,14.7
COLE KMET,CHI,98,157,126.5,15.9
CHASE BROWN,CIN,100,257,127.9,22.7
LADD MCCONKEY,LAC,75,284,124.6,37.3
BAKER MAYFIELD,TB,90,152,129.2,9.0
ZACH CHARBONNET,SEA,113,161,130.6,9.2
BRIAN THOMAS,JAC,75,276,132.7,38.7
KEON COLEMAN,BUF,75,265,126.1,30.2
BLAKE CORUM,LAR,95,300,134.7,27.5
ROMEO DOUBS,GB,102,175,134.8,13.4
GABRIEL DAVIS,JAC,93,169,135.7,15.6
GENO SMITH,SEA,112,179,136.3,13.6
CHUBA HUBBARD,CAR,92,172,136.8,17.5
BRANDIN COOKS,DAL,89,176,137.1,17.4
RASHID SHAHEED,NO,102,200,139.0,20.0
CURTIS SAMUEL,BUF,108,177,142.1,18.5
WILL LEVIS,TEN,112,213,144.3,16.1
TY CHANDLER,MIN,121,218,144.3,17.1
JERRY JEUDY,CLE,108,182,145.3,14.8
TYLER ALLGEIER,ATL,122,188,146.3,11.8
