PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
BALTIMORE RAVENS,BAL,9,1.9,2.0,0
SAN FRANCISCO 49ERS,SF,10,3.4,2.2,+1
NEW YORK JETS,NYJ,8,4.1,1.9,+1
DALLAS COWBOYS,DAL,10,4.4,2.0,-2
CLEVELAND BROWNS,CLE,7,4.6,1.0,0
PITTSBURGH STEELERS,PIT,11,7.0,2.3,+1
KANSAS CITY CHIEFS,KC,12,7.3,2.2,-1
BUFFALO BILLS,BUF,14,8.2,2.3,0
MIAMI DOLPHINS,MIA,26,9.1,4.4,0
HOUSTON TEXANS,HOU,15,11.2,2.8,0
NEW ORLEANS SAINTS,NO,19,12.0,2.4,+4
PHILADELPHIA EAGLES,PHI,26,12.8,4.7,-1
CHICAGO BEARS,CHI,21,13.6,3.0,0
INDIANAPOLIS COLTS,IND,19,15.3,2.9,-2
MINNESOTA VIKINGS,MIN,28,16.4,4.5,+6
DETROIT LIONS,DET,23,17.3,2.9,+1
LAS VEGAS RAIDERS,LV,27,17.9,5.6,-3
CINCINNATI BENGALS,CIN,23,17.5,3.3,+4
DENVER BRONCOS,DEN,31,18.0,5.7,+7
GREEN BAY PACKERS,GB,25,18.9,5.5,-4
JACKSONVILLE JAGUARS,JAC,31,17.6,4.0,-2
TAMPA BAY BUCCANEERS,TB,26,20.3,5.1,-4
SEATTLE SEAHAWKS,SEA,27,21.0,5.5,0
NEW ENGLAND PATRIOTS,NE,31,21.0,5.3,-4
LOS ANGELES RAMS,LAR,29,21.9,5.5,+3
NEW YORK GIANTS,NYG,31,23.7,5.9,+1
CAROLINA PANTHERS,CAR,32,25.2,6.4,+2
ATLANTA FALCONS,ATL,32,25.5,5.7,-3
LOS ANGELES CHARGERS,LAC,30,26.7,3.0,-5
TENNESSEE TITANS,TEN,32,28.7,2.8,0
WASHINGTON COMMANDERS,WAS,32,30.0,1.9,+1
ARIZONA CARDINALS,ARI,32,31.0,1.5,-1
