PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
AARON JONES,RB,66.1,9.5,0.0,0.0,2.7,0.1,21.2,12.9,0.2,59.6,42.0,104.9,0.0,0.0,64.6,12.3,38.0,134.9,65.0,7.4,6.0,86.0,30.0,1.0,233.0,65.0,142.0,2.0,656.0,9.2,MIN,6.0,95.0,26,16,30,1,56.5,52
AARON RODGERS,QB,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,120.3,0.0,83.0,0.0,118.0,15.7,9.0,196.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,12.4,NYJ,9.0,152.0,15,15,11,1,137.0,119
ADAM THIELEN,WR,184.7,7.5,0.0,0.0,6.1,0.2,59.6,0.1,0.0,0.4,131.0,128.0,0.0,0.0,158.5,13.6,95.0,231.0,153.0,26.9,10.0,262.0,103.0,4.0,1014.0,171.0,1.0,0.0,6.0,23.2,CAR,10.0,266.0,17,13,18,2,168.0,157
ADAM TRAUTMAN,TE,355.3,2.3,0.0,0.0,1.3,0.2,12.0,0.0,0.0,0.0,299.0,38.4,0.0,0.0,355.6,3.6,299.0,60.4,403.0,21.7,15.0,381.0,22.0,3.0,204.0,413.0,0.0,0.0,0.0,21.3,DEN,15.0,376.0,30,25,30,2,500.0,500
ADONAI MITCHELL,WR,172.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,173.3,0.0,114.0,0.0,164.0,25.1,10.0,226.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,24.0,IND,10.0,231.0,22,19,26,3,148.0,174
AIDAN OCONNELL,QB,290.1,12.1,1.1,201.6,0.0,0.0,0.0,1.5,0.1,1.0,178.0,132.8,12.0,2218.0,291.6,12.1,188.0,132.8,289.0,33.6,13.0,338.0,0.0,0.0,0.0,287.0,17.0,1.0,11.0,36.1,LV,13.0,338.0,21,21,14,1,500.0,500
AINIAS SMITH,WR,347.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,342.0,0.0,290.0,0.0,380.0,31.1,14.0,390.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,29.8,PHI,14.0,390.0,6,11,7,5,500.0,500
AJ BARNER,TE,357.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,369.0,0.0,356.0,0.0,471.0,15.9,16.0,389.0,0.0,0.0,0.0,462.0,0.0,0.0,0.0,31.2,SEA,16.0,394.0,27,29,18,0,500.0,500
AJ BROWN,WR,8.9,10.8,0.0,0.0,6.2,0.4,85.6,0.0,0.0,0.0,4.0,183.6,0.0,0.0,9.9,17.0,6.0,289.6,9.0,1.1,2.0,13.0,106.0,7.0,1456.0,9.0,0.0,0.0,0.0,1.4,PHI,2.0,12.0,6,11,7,1,9.0,9
AJ DILLON,RB,224.6,6.4,0.0,0.0,1.5,0.0,14.9,11.9,0.1,40.9,151.0,95.6,0.0,0.0,231.2,7.8,155.0,117.6,231.0,38.0,12.0,311.0,22.0,0.0,223.0,227.0,178.0,2.0,613.0,36.4,GB,11.0,287.0,29,29,15,3,500.0,500
ALEC PIERCE,WR,266.1,3.7,0.0,0.0,1.9,0.1,30.2,0.0,0.0,0.0,220.0,63.4,0.0,0.0,267.2,5.6,220.0,95.4,273.0,27.3,12.0,336.0,32.0,2.0,514.0,267.0,0.0,0.0,0.0,26.1,IND,12.0,337.0,22,19,26,4,500.0,500
ALEXANDER MATTISON,RB,215.0,6.5,0.0,0.0,1.9,0.2,12.0,11.3,0.0,43.8,159.0,103.2,0.0,0.0,227.0,8.3,161.0,133.2,229.0,26.9,11.0,300.0,30.0,3.0,192.0,219.0,180.0,0.0,700.0,30.0,LV,11.0,315.0,9,19,3,2,500.0,500
ALLEN LAZARD,WR,304.4,2.6,0.0,0.0,1.6,0.1,22.2,0.0,0.0,0.0,263.0,37.1,0.0,0.0,310.5,4.3,246.0,60.1,342.0,36.2,14.0,426.0,23.0,1.0,311.0,340.0,0.0,0.0,0.0,26.2,NYJ,14.0,373.0,16,20,12,4,500.0,500
ALLEN ROBINSON,WR,345.0,1.6,0.0,0.0,2.0,0.0,16.5,0.0,0.0,0.0,340.0,28.0,0.0,0.0,339.0,3.6,333.0,62.0,488.0,6.0,16.0,345.0,34.0,0.0,280.0,493.0,0.0,0.0,0.0,5.0,NYG,16.0,350.0,4,23,1,5,500.0,500
ALVIN KAMARA,RB,63.0,12.2,0.0,0.0,5.8,0.1,35.8,13.8,0.4,53.4,52.0,158.0,0.0,0.0,46.0,17.9,16.0,233.0,44.0,16.2,5.0,79.0,75.0,1.0,466.0,60.0,180.0,5.0,694.0,11.7,NO,6.0,101.0,27,20,31,1,46.5,35
AMARI COOPER,WR,38.8,10.3,0.0,0.0,4.8,0.3,83.3,0.0,0.0,0.0,23.0,155.0,0.0,0.0,42.3,15.1,24.0,227.0,42.0,7.3,5.0,63.0,72.0,5.0,1250.0,37.0,0.0,0.0,0.0,6.3,CLE,5.0,62.0,26,18,30,1,56.0,68
AMEER ABDULLAH,RB,341.3,1.3,0.0,0.0,1.1,0.0,7.7,0.9,0.0,5.2,313.0,22.0,0.0,0.0,335.3,2.4,312.0,41.0,395.0,26.2,15.0,386.0,19.0,0.0,131.0,402.0,15.0,0.0,89.0,22.1,LV,15.0,379.0,9,19,3,4,500.0,500
AMON-RA ST BROWN,WR,7.1,13.2,0.0,0.0,7.4,0.6,94.7,0.3,0.0,1.5,3.0,211.9,0.0,0.0,4.7,20.7,2.0,330.9,4.0,1.4,1.0,9.0,119.0,10.0,1515.0,8.0,4.0,0.0,24.0,1.1,DET,2.0,10.0,24,30,11,1,7.5,7
ANDERS CARLSON,K,211.5,7.4,,,,,,,,,209.0,125.0,,,,,,,,,,,,,,426.0,,,,2.5,GB,15.0,214.0,22,19,22,1,500.0,500
ANDREI IOSIVAS,WR,272.0,2.2,0.0,0.0,0.9,0.3,7.3,0.0,0.0,0.0,175.0,35.6,0.0,0.0,266.6,3.2,167.0,50.6,268.0,33.7,12.0,372.0,15.0,4.0,116.0,271.0,0.0,0.0,0.0,32.5,CIN,12.0,373.0,27,27,23,4,500.0,500
ANDY DALTON,QB,341.0,7.9,0.7,120.3,0.0,0.0,0.0,1.0,0.0,4.0,295.0,23.6,2.0,361.0,341.0,7.9,295.0,23.6,489.0,46.0,16.0,387.0,0.0,0.0,0.0,491.0,3.0,0.0,12.0,46.0,CAR,16.0,387.0,5,9,6,2,500.0,500
ANTHONY GOULD,WR,357.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0,369.7,0.0,357.0,0.0,493.0,9.3,16.0,379.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,8.5,IND,16.0,366.0,22,19,26,7,500.0,500
ANTHONY RICHARDSON,QB,48.3,18.4,0.8,144.3,0.0,0.0,0.0,6.3,1.0,34.0,17.0,73.7,3.0,577.0,48.5,18.4,18.0,73.7,46.0,8.9,6.0,82.0,0.0,0.0,0.0,49.0,25.0,4.0,136.0,8.8,IND,5.0,82.0,26,27,16,1,53.0,49
ANTONIO GIBSON,RB,154.6,5.0,0.0,0.0,3.0,0.1,24.3,4.1,0.1,16.6,119.0,79.4,0.0,0.0,144.0,8.0,102.0,127.4,142.0,14.5,9.0,180.0,48.0,2.0,389.0,150.0,65.0,1.0,265.0,16.1,NE,9.0,218.0,8,10,7,2,150.0,162
AT PERRY,WR,249.7,4.9,0.0,0.0,1.2,0.4,24.6,0.0,0.0,0.0,175.0,48.6,0.0,0.0,258.5,6.1,201.0,60.6,258.0,23.9,12.0,309.0,12.0,4.0,246.0,249.0,0.0,0.0,0.0,25.9,NO,12.0,297.0,15,21,10,3,500.0,500
ATLANTA FALCONS,DEF,234.3,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,95.0,0.0,0.0,308.5,5.6,193.0,95.0,425.0,78.8,15.0,414.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,64.9,ATL,15.0,326.0,14,14,15,0,500.0,500
AUDRIC ESTIME,RB,218.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,228.0,0.0,161.0,0.0,226.0,31.4,11.0,336.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,32.8,DEN,11.0,329.0,19,18,20,3,192.5,500
