PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_FAN PTS,AVG_XPA,AVG_XPM,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,TEAM,XPA,XPM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER
ANDERS CARLSON,0.0,6.0,14.0,4.0,3.0,0.0,0.4,0.8,0.2,0.2,7.4,2.3,2.0,125.0,24.8,10.0,28.0,5.4,5.0,35.0,GB,39.0,34.0,22,19,22,0,0,0
AUSTIN SEIBERT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,29.6,25.0,34.0,3.0,6.0,34.0,NYJ,1.0,1.0,30,29,12,0,0,0
BLAKE GRUPE,0.0,10.0,6.0,8.0,6.0,0.0,0.6,0.4,0.5,0.4,8.8,2.4,2.4,150.0,17.4,14.0,18.0,1.4,4.0,21.0,NO,40.0,40.0,2,3,15,0,0,0
BRANDON AUBREY,0.0,9.0,13.0,4.0,10.0,0.0,0.5,0.8,0.2,0.6,10.6,3.1,2.9,181.0,1.8,1.0,2.0,0.8,1.0,5.0,DAL,52.0,49.0,7,10,6,0,0,0
BRANDON MCMANUS,0.0,4.0,10.0,11.0,5.0,0.0,0.2,0.6,0.6,0.3,8.6,2.1,2.1,146.0,22.9,5.0,26.0,14.6,4.0,81.0,FA,35.0,35.0,33,33,33,0,0,0
BRETT MAHER,0.0,3.0,4.0,7.0,3.0,0.0,0.4,0.5,0.9,0.4,9.6,1.9,1.6,77.0,33.6,29.0,37.0,5.8,6.0,45.0,FA,15.0,13.0,33,33,33,0,0,0
CADE YORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,27.0,38.0,3.0,6.0,35.0,CLE,0.0,0.0,4,2,18,0,0,0
CAIRO SANTOS,0.0,9.0,11.0,8.0,7.0,0.0,0.5,0.6,0.5,0.4,9.3,1.9,1.8,158.0,14.5,12.0,14.0,1.3,3.0,17.0,CHI,33.0,31.0,10,13,11,0,0,0
CAM LITTLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,23.0,31.0,16.1,6.0,83.0,JAC,0.0,0.0,5,8,5,0,0,0
CAMERON DICKER,0.0,7.0,8.0,9.0,7.0,0.0,0.4,0.5,0.5,0.4,8.9,2.1,2.1,151.0,11.6,8.0,11.0,1.7,3.0,16.0,LAC,35.0,35.0,29,22,31,0,0,0
