PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_PASS_YDS,AVG_PTS VS.,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RET TD,AVG_RK,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_SAFE,AVG_TGT,AVG_XPA,AVG_XPM,AVG_YDS,BEST_RK,BLK KICK,BOOM,BUST,DEF TD,DEPTH,FAN PTS,FULL_SOS,FUMR,INT,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,PASS_YDS,PLAYOFF_SOS,POS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_AVG_RK,PPR_BEST_RK,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,PTS VS.,REC,REC_TDS,REC_YDS,RET TD,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,SAFE,SEASON_SOS,STARTER,STD.DEV_RK,TEAM,TGT,TIERS,WORST_RK,XPA,XPM,YDS
AARON JONES,,,,,,,,,,,,,9.5,,,,,,,0.0,0.0,,2.7,0.1,21.2,,95.0,12.9,0.2,59.6,,,3.9,,,,RB19,,10.0,20.0,,1.0,104.9,26.0,,,,,,,0.0,0.0,30.0,RB,20.9,15.0,18.0,3.3,4.0,31.0,12.3,76.0,RB18,134.9,18.1,12.0,18.0,2.6,4.0,24.0,62.0,62.1,6.0,42.0,,30.0,1.0,233.0,,59.0,142.0,2.0,656.0,,,16.0,40.0,65.0,MIN,43.0,6.0,48.0,,,
AARON RODGERS,,,,,,,,,,,,,0.0,,,1.0,0.0,0.0,0%,0.0,0.0,,,,,,152.0,0.0,0.0,0.0,1.0,,,,,0.0,QB20,,0.0,100.0,,1.0,0.0,15.0,,,1.0,0.0,0.0,0%,0.0,0.0,11.0,QB,19.9,13.0,20.0,2.2,4.0,26.0,,178.0,QB20,,,,,,,,117.0,119.7,9.0,83.0,,,,,,116.0,0.0,0.0,0.0,1.0,,15.0,0.0,118.4,NYJ,,9.0,83.0,,,0.0
ADAM PRENTICE,,,,,,,,,,,,,0.0,,,,,,,,,,0.2,0.0,0.9,,,0.2,0.0,0.9,,,0.2,,,,,,0.0,100.0,,0.0,0.4,27.0,,,,,,,,,31.0,,155.5,140.0,188.0,15.5,12.0,171.0,0.2,,,2.4,156.5,145.0,188.0,11.5,12.0,168.0,,,,,,2.0,0.0,12.0,,,2.0,0.0,12.0,,,20.0,0.0,,NO,3.0,,,,,
ADAM THIELEN,,,,,,,,,,,,,7.5,,,,,,,0.0,0.0,,6.1,0.2,59.6,,271.0,0.1,0.0,0.4,,,8.1,,,,WR63,,13.0,31.0,,2.0,128.0,17.0,,,,,,,0.0,0.0,18.0,WR,67.5,51.0,63.0,7.0,7.0,99.0,13.6,264.0,WR61,231.0,60.7,44.0,62.0,8.1,6.0,94.0,146.0,152.7,9.0,99.0,,103.0,4.0,1014.0,,161.0,1.0,0.0,6.0,,,13.0,25.0,175.5,CAR,137.0,10.0,125.0,,,
ADAM TRAUTMAN,,,,,,,,,,,,,2.3,,,,,,,0.0,0.0,,1.3,0.2,12.0,,394.0,0.0,0.0,0.0,,,2.1,,,,TE57,,0.0,81.0,,2.0,38.4,30.0,,,,,,,0.0,0.0,30.0,TE,55.3,46.0,60.0,6.9,7.0,69.0,3.6,394.0,TE58,60.4,56.7,47.0,61.0,7.1,7.0,70.0,409.0,363.1,15.0,300.0,,22.0,3.0,204.0,,415.0,0.0,0.0,0.0,,,25.0,19.0,360.6,DEN,35.0,15.0,301.0,,,
ADONAI MITCHELL,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,289.0,0.0,0.0,0.0,,,0.0,,,,WR66,,0.0,0.0,,3.0,0.0,22.0,,,,,,,0.0,0.0,26.0,WR,65.5,44.0,66.0,7.4,7.0,93.0,0.0,294.0,WR66,0.0,68.3,55.0,71.0,8.9,7.0,108.0,171.0,176.5,10.0,114.0,,0.0,0.0,0.0,,167.0,0.0,0.0,0.0,,,19.0,0.0,173.1,IND,0.0,10.0,106.0,,,
AIDAN OCONNELL,,,,,,,,,,,,,12.1,,,31.2,19.4,0.6,62%,1.1,201.6,,,,,,334.0,1.5,0.1,1.0,2.2,,,,,201.6,QB35,,0.0,80.0,,2.0,132.8,21.0,,,343.0,213.0,7.0,62%,12.0,2218.0,14.0,QB,34.9,25.0,35.0,2.0,5.0,38.0,,355.0,QB35,,,,,,,,300.0,299.9,13.0,146.0,,,,,,301.0,17.0,1.0,11.0,24.0,,21.0,20.0,300.0,LV,,13.0,146.0,,,2218.0
AINIAS SMITH,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,396.0,0.0,0.0,0.0,,,0.0,,,,WR136,,0.0,0.0,,5.0,0.0,6.0,,,,,,,0.0,0.0,7.0,WR,132.4,105.0,133.0,13.2,10.0,172.0,0.0,396.0,WR134,0.0,131.7,105.0,136.0,13.3,10.0,171.0,382.0,352.6,14.0,290.0,,0.0,0.0,0.0,,383.0,0.0,0.0,0.0,,,11.0,0.0,359.3,PHI,0.0,15.0,293.0,,,
AJ BARNER,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,394.0,0.0,0.0,0.0,,,0.0,,,,TE66,,0.0,0.0,,0.0,0.0,27.0,,,,,,,0.0,0.0,18.0,TE,59.9,51.0,62.0,5.9,7.0,70.0,0.0,407.0,TE67,0.0,58.7,50.0,65.0,5.3,8.0,68.0,445.0,376.2,15.0,351.0,,0.0,0.0,0.0,,457.0,0.0,0.0,0.0,,,29.0,0.0,372.9,SEA,0.0,15.0,344.0,,,
AJ BROWN,,,,,,,,,,,,,10.8,,,,,,,0.0,0.0,,6.2,0.4,85.6,,20.0,0.0,0.0,0.0,,,9.3,,,,WR6,,19.0,13.0,,1.0,183.6,6.0,,,,,,,0.0,0.0,7.0,WR,6.4,5.0,6.0,1.0,2.0,11.0,17.0,19.0,WR6,289.6,6.7,6.0,6.0,1.0,2.0,11.0,9.0,9.9,2.0,9.0,,106.0,7.0,1456.0,,9.0,0.0,0.0,0.0,,,11.0,56.0,9.8,PHI,158.0,2.0,7.0,,,
