PLAYER NAME,AVG_RK,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,BEST_RK,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,STD.DEV_RK,TEAM,WORST_RK,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,DEPTH
JOSH ALLEN,0.7,24.2,34.1,22.6,1.1,66%,1.7,6.5,0.9,30.8,1.4,253.3,4,410.6,579.0,385.0,18.0,66%,29.0,111.0,15.0,524.0,24.0,0,BUF,1.4,4306.0,16,12,19,25,6,75,1
JALEN HURTS,1.0,21.9,31.6,20.7,0.9,65%,1.4,9.2,0.9,35.6,2.1,226.9,6,371.8,538.0,352.0,15.0,65%,23.0,157.0,15.0,605.0,36.0,0,PHI,2.3,3858.0,17,16,13,19,13,88,1
PATRICK MAHOMES,1.2,18.4,37.3,25.1,0.9,67%,1.7,4.7,0.0,24.3,1.7,261.4,6,294.2,597.0,401.0,14.0,67%,27.0,75.0,0.0,389.0,27.0,0,KC,3.3,4183.0,7,5,21,6,19,38,1
LAMAR JACKSON,1.1,21.1,28.6,19.2,0.4,67%,1.5,9.3,0.3,51.3,2.3,229.9,8,338.2,457.0,307.0,7.0,67%,24.0,148.0,5.0,821.0,37.0,0,BAL,3.6,3678.0,8,6,17,31,25,56,1
CJ STROUD,1.4,18.7,33.3,21.3,0.3,64%,1.5,2.6,0.2,11.1,2.5,273.9,10,280.0,499.0,319.0,5.0,64%,23.0,39.0,3.0,167.0,38.0,0,HOU,5.7,4108.0,27,23,28,14,36,43,1
ANTHONY RICHARDSON,2.3,18.4,21.0,12.5,0.3,60%,0.8,6.3,1.0,34.0,1.8,144.3,19,73.7,84.0,50.0,1.0,60%,3.0,25.0,4.0,136.0,7.0,0,IND,6.3,577.0,26,27,16,25,25,50,1
JOE BURROW,1.3,15.3,36.5,24.4,0.6,67%,1.5,3.1,0.0,8.8,2.4,230.9,12,153.2,365.0,244.0,6.0,67%,15.0,31.0,0.0,88.0,24.0,0,CIN,7.8,2309.0,30,32,26,10,40,40,1
DAK PRESCOTT,1.7,20.7,34.7,24.1,0.5,69%,2.1,3.2,0.1,14.2,2.3,265.6,11,351.8,590.0,410.0,9.0,69%,36.0,55.0,2.0,242.0,39.0,+1,DAL,7.9,4516.0,2,8,3,31,25,56,1
KYLER MURRAY,1.9,18.9,33.5,22.0,0.6,66%,1.3,5.5,0.4,30.5,2.3,224.9,13,151.4,268.0,176.0,5.0,66%,10.0,44.0,3.0,244.0,18.0,+1,ARI,8.6,1799.0,10,13,9,0,14,57,1
JORDAN LOVE,1.9,19.4,34.1,21.9,0.6,64%,1.9,2.9,0.2,14.5,1.8,244.6,15,330.1,579.0,372.0,11.0,64%,32.0,50.0,4.0,247.0,30.0,-2,GB,10.0,4159.0,6,1,22,6,19,63,1
BROCK PURDY,1.3,19.2,27.8,19.3,0.7,69%,1.9,2.4,0.1,9.0,1.8,267.5,15,306.6,444.0,308.0,11.0,69%,31.0,39.0,2.0,144.0,28.0,0,SF,11.3,4280.0,1,3,4,6,19,56,1
TUA TAGOVAILOA,2.2,16.7,32.9,22.8,0.8,69%,1.7,2.1,0.0,4.4,1.7,272.0,21,284.4,560.0,388.0,14.0,69%,29.0,35.0,0.0,74.0,29.0,+2,MIA,13.8,4624.0,32,30,32,13,38,44,1
JAYDEN DANIELS,3.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,+4,WAS,14.6,0.0,13,2,29,0,0,0,1
JARED GOFF,2.0,17.8,35.6,23.9,0.7,67%,1.8,1.9,0.1,1.2,1.8,269.1,19,303.1,605.0,407.0,12.0,67%,30.0,32.0,2.0,21.0,30.0,-2,DET,14.7,4575.0,23,25,20,13,44,38,1
CALEB WILLIAMS,2.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,CHI,14.9,0.0,4,4,12,0,0,0,1
JUSTIN HERBERT,2.8,18.5,35.1,22.8,0.5,65%,1.5,4.0,0.2,17.5,2.2,241.1,20,240.2,456.0,297.0,7.0,65%,20.0,52.0,3.0,228.0,29.0,-3,LAC,15.3,3134.0,29,31,25,15,38,62,1
TREVOR LAWRENCE,2.1,17.3,35.3,23.1,0.9,66%,1.3,4.4,0.3,21.2,2.2,251.0,20,276.5,564.0,370.0,14.0,66%,21.0,70.0,4.0,339.0,35.0,-1,JAC,16.0,4016.0,31,28,31,7,20,33,1
KIRK COUSINS,2.5,19.3,38.9,27.0,0.6,69%,2.3,1.8,0.0,3.1,2.1,291.4,23,154.7,311.0,216.0,5.0,69%,18.0,14.0,0.0,25.0,17.0,0,ATL,17.1,2331.0,14,7,27,13,25,63,1
MATTHEW STAFFORD,1.7,16.9,34.7,21.7,0.7,63%,1.6,1.4,0.0,4.3,2.0,264.3,23,254.1,521.0,326.0,11.0,63%,24.0,21.0,0.0,65.0,30.0,+1,LAR,18.4,3965.0,20,17,15,0,27,27,1
AARON RODGERS,1.8,0.0,1.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,1.0,0.0,24,0.0,1.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,1.0,-1,NYJ,20.0,0.0,15,15,11,0,100,0,1
DESHAUN WATSON,2.6,15.1,28.5,17.5,0.7,61%,1.2,4.3,0.2,23.7,2.8,185.8,28,90.8,171.0,105.0,4.0,61%,7.0,26.0,1.0,142.0,17.0,0,CLE,21.3,1115.0,25,26,18,0,33,50,1
BAKER MAYFIELD,1.6,16.7,33.3,21.4,0.6,64%,1.6,3.6,0.1,9.6,2.4,237.9,26,284.1,566.0,364.0,10.0,64%,28.0,62.0,1.0,163.0,40.0,0,TB,22.1,4044.0,22,11,24,6,31,44,1
GENO SMITH,2.0,15.7,33.3,21.5,0.6,65%,1.3,2.5,0.1,10.3,2.1,241.6,28,235.3,499.0,323.0,9.0,65%,20.0,37.0,1.0,155.0,31.0,0,SEA,23.3,3624.0,12,19,7,7,43,21,1
WILL LEVIS,2.0,11.8,28.3,16.6,0.4,58%,0.9,2.8,0.1,6.3,3.1,200.9,28,106.0,255.0,149.0,4.0,58%,8.0,25.0,1.0,57.0,28.0,0,TEN,24.3,1808.0,18,24,5,0,67,11,1
DEREK CARR,1.9,14.7,32.2,22.1,0.5,68%,1.5,1.9,0.0,2.4,1.8,228.1,31,249.1,548.0,375.0,8.0,68%,25.0,32.0,0.0,40.0,31.0,0,NO,26.4,3878.0,11,18,8,0,44,13,1
JJ MCCARTHY,3.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,+2,MIN,26.9,0.0,3,10,2,0,0,0,1
DANIEL JONES,2.4,10.5,26.7,18.0,1.0,68%,0.3,6.7,0.2,34.3,5.0,151.5,34,63.0,160.0,108.0,6.0,68%,2.0,40.0,1.0,206.0,30.0,+2,NYG,27.1,909.0,9,22,1,17,83,17,1
BRYCE YOUNG,2.0,10.4,32.9,19.7,0.6,60%,0.7,2.4,0.0,15.8,3.9,179.8,32,166.4,527.0,315.0,10.0,60%,11.0,39.0,0.0,253.0,62.0,-1,CAR,27.6,2877.0,5,9,6,0,80,13,1
RUSSELL WILSON,2.7,17.7,29.8,19.8,0.5,66%,1.7,5.3,0.2,22.7,3.0,204.7,32,264.9,447.0,297.0,8.0,66%,26.0,80.0,3.0,341.0,45.0,+1,PIT,28.0,3070.0,28,29,23,7,13,40,1
DRAKE MAYE,2.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,+2,NE,30.2,0.0,24,14,30,0,0,0,1
