,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
AARON JONES,9.5,2.7,0.1,21.2,12.9,0.2,59.6,3.9,104.9,21.4,13.0,21.0,3.4,4.0,31.0,12.3,134.9,19.0,10,18,2.7,4,26,30.0,1.0,233.0,142.0,2.0,656.0,MIN,43.0,26,16,30,10,20,40,10,20,50,1,56.5,52,34,39.1,10,29.4,6,35.3,10,11.1,2,5.4
ADAM PRENTICE,0.0,0.2,0.0,0.9,0.2,0.0,0.9,0.2,0.4,152.5,143.0,171.0,9.5,11.0,162.0,0.2,2.4,153.0,150,172,3.0,11,156,2.0,0.0,12.0,2.0,0.0,12.0,NO,3.0,27,20,31,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AJ DILLON,6.4,1.5,0.0,14.9,11.9,0.1,40.9,1.9,95.6,64.3,48.0,64.0,8.0,7.0,80.0,7.8,117.6,65.0,48,66,8.7,7,87,22.0,0.0,223.0,178.0,2.0,613.0,GB,28.0,29,29,15,0,27,33,0,33,20,3,500.0,500,34,39.1,18,52.9,7,41.2,1,1.1,0,0.0
ALEC INGOLD,0.7,0.8,0.0,7.0,0.1,0.0,0.0,0.9,11.9,151.3,137.0,160.0,8.8,11.0,161.0,1.5,24.9,141.0,118,153,13.4,10,151,13.0,0.0,119.0,2.0,0.0,0.0,MIA,16.0,6,5,19,0,100,0,0,100,0,4,500.0,500,0,0.0,0,0.0,0,0.0,2,3.0,0,0.0
ALEXANDER MATTISON,6.5,1.9,0.2,12.0,11.3,0.0,43.8,2.8,103.2,62.8,51.0,62.0,8.1,7.0,100.0,8.3,133.2,63.9,51,64,7.3,7,98,30.0,3.0,192.0,180.0,0.0,700.0,LV,44.0,9,19,3,0,33,33,0,33,40,2,500.0,500,23,45.1,12,42.9,9,56.3,11,13.9,6,12.8
ALVIN KAMARA,12.2,5.8,0.1,35.8,13.8,0.4,53.4,6.6,158.0,20.1,16.0,19.0,3.8,4.0,29.0,17.9,233.0,13.2,6,13,4.3,3,24,75.0,1.0,466.0,180.0,5.0,694.0,NO,86.0,27,20,31,15,8,77,23,0,85,1,46.5,35,36,39.6,22,40.0,8,40.0,8,12.3,1,3.0
AMEER ABDULLAH,1.3,1.1,0.0,7.7,0.9,0.0,5.2,1.4,22.0,106.1,89.0,113.0,11.3,9.0,125.0,2.4,41.0,100.2,87,112,11.2,9,124,19.0,0.0,131.0,15.0,0.0,89.0,LV,24.0,9,19,3,0,94,0,0,94,0,4,500.0,500,0,0.0,0,0.0,0,0.0,3,4.2,2,5.7
ANTONIO GIBSON,5.0,3.0,0.1,24.3,4.1,0.1,16.6,3.7,79.4,48.9,37.0,48.0,3.8,6.0,62.0,8.0,127.4,44.2,32,43,4.8,6,56,48.0,2.0,389.0,65.0,1.0,265.0,NE,59.0,8,10,7,0,47,13,0,33,20,2,150.0,162,8,14.3,1,3.8,1,6.7,5,7.8,1,2.9
AUDRIC ESTIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,51.0,60.0,8.1,7.0,102.0,0.0,0.0,64.2,51,61,7.6,7,97,0.0,0.0,0.0,0.0,0.0,0.0,DEN,0.0,19,18,20,0,0,0,0,0,0,3,192.5,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AUSTIN EKELER,9.6,3.6,0.1,31.1,12.8,0.4,44.9,5.3,134.4,37.9,25.0,38.0,4.8,5.0,51.0,13.2,185.4,32.6,18,33,6.5,5,50,51.0,1.0,436.0,179.0,5.0,628.0,WAS,74.0,16,9,28,15,23,46,15,23,46,2,90.5,97,30,42.3,24,53.3,13,56.5,9,12.3,2,4.5
AVERY WILLIAMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.3,100.0,139.0,16.1,10.0,138.0,0.0,0.0,117.3,96,135,15.8,10,138,0.0,0.0,0.0,0.0,0.0,0.0,ATL,0.0,7,15,2,0,0,0,0,0,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BIJAN ROBINSON,11.1,3.4,0.2,28.6,12.6,0.2,57.4,5.1,188.3,2.5,1.0,2.0,0.7,1.0,5.0,14.5,246.3,2.4,1,2,0.6,1,3,58.0,4.0,487.0,214.0,4.0,976.0,ATL,86.0,7,15,2,6,19,63,6,19,75,1,5.5,5,23,29.1,12,33.3,2,18.2,10,18.5,6,21.4
BLAKE CORUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7,32.0,41.0,4.8,5.0,61.0,0.0,0.0,43.6,35,44,4.4,6,61,0.0,0.0,0.0,0.0,0.0,0.0,LAR,0.0,1,2,14,0,0,0,0,0,0,2,109.5,120,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BLAKE WATSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,75.0,111.0,12.1,9.0,114.0,0.0,0.0,94.9,74,113,13.5,9,117,0.0,0.0,0.0,0.0,0.0,0.0,DEN,0.0,19,18,20,0,0,0,0,0,0,5,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BOSTON SCOTT,1.0,0.3,0.0,4.3,1.7,0.0,7.2,0.5,11.8,117.4,105.0,122.0,8.3,10.0,130.0,1.3,15.8,107.0,97,120,13.1,10,130,4.0,0.0,52.0,20.0,0.0,86.0,LAR,6.0,1,2,14,0,100,0,0,100,0,0,500.0,500,2,1.9,1,1.5,1,3.3,0,0.0,0,0.0
BRAELON ALLEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,45.0,61.0,8.0,7.0,94.0,0.0,0.0,65.4,48,67,8.0,7,97,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,0.0,22,24,16,0,0,0,0,0,0,2,184.5,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BRANDON BOLDEN,2.2,0.0,0.0,0.0,0.8,0.2,6.2,0.0,11.1,157.0,152.0,174.0,5.0,11.0,162.0,2.2,11.1,162.0,160,175,2.0,11,164,0.0,0.0,0.0,4.0,1.0,31.0,FA,0.0,33,33,33,0,80,20,0,80,0,0,500.0,500,2,3.1,2,5.4,0,0.0,0,0.0,0,0.0
BREECE HALL,12.6,4.5,0.2,34.8,13.1,0.3,58.5,5.6,214.5,2.6,1.0,3.0,0.7,1.0,5.0,17.1,290.5,2.5,1,3,0.6,1,4,76.0,4.0,591.0,223.0,5.0,994.0,NYJ,95.0,22,24,16,13,19,50,25,19,56,1,6.5,4,21,56.8,10,66.7,1,50.0,5,10.2,3,9.7
BRIAN ROBINSON,10.8,2.4,0.3,24.5,11.9,0.3,48.9,2.9,162.1,27.3,21.0,26.0,3.3,4.0,35.0,13.2,198.1,29.6,21,30,4.3,5,37,36.0,4.0,368.0,178.0,5.0,733.0,WAS,43.0,16,9,28,14,0,57,14,7,57,1,96.5,80,26,46.4,13,50.0,7,46.7,5,7.8,2,5.7
CAM AKERS,5.1,1.6,0.0,10.0,8.6,0.3,23.9,1.7,35.7,92.1,73.0,92.0,7.0,8.0,104.0,6.7,46.7,93.7,73,92,7.3,8,109,11.0,0.0,70.0,60.0,2.0,167.0,HOU,12.0,2,3,21,0,43,29,0,29,0,0,500.0,500,7,0.0,5,0.0,2,0.0,2,2.5,0,0.0
CARTAVIOUS BIGSBY,1.4,0.1,0.0,0.4,3.1,0.1,8.3,0.3,21.8,69.0,52.0,68.0,7.6,7.0,97.0,1.4,22.8,72.9,54,70,8.4,7,100,1.0,0.0,6.0,50.0,2.0,132.0,JAC,4.0,30,27,26,0,86,0,0,93,0,3,500.0,500,9,13.2,4,12.1,2,13.3,0,0.0,0,0.0
CHASE BROWN,3.3,1.2,0.1,13.0,3.7,0.0,14.9,1.3,39.5,37.4,29.0,37.0,4.8,5.0,56.0,4.5,53.5,35.5,26,35,5.6,5,53,14.0,1.0,156.0,44.0,0.0,179.0,CIN,15.0,24,17,29,0,73,9,0,73,9,2,117.0,132,4,5.6,1,2.1,0,0.0,1,1.4,0,0.0
CHASE EDMONDS,2.0,1.1,0.0,6.2,3.8,0.0,13.5,1.3,25.7,89.2,72.0,89.0,6.0,8.0,112.0,3.1,39.7,86.2,68,87,6.4,8,111,14.0,0.0,81.0,49.0,0.0,176.0,TB,17.0,28,30,9,0,83,0,0,83,0,3,500.0,500,4,6.3,0,0.0,0,0.0,0,0.0,0,0.0
CHRIS EVANS,0.2,0.1,0.0,-0.1,0.3,0.0,1.7,0.1,1.1,125.5,110.0,131.0,11.6,10.0,145.0,0.3,2.1,118.4,94,125,16.2,10,143,1.0,0.0,-1.0,2.0,0.0,12.0,CIN,1.0,24,17,29,0,100,0,0,100,0,4,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CHRISTIAN MCCAFFREY,20.3,4.2,0.4,35.3,17.0,0.9,91.2,5.2,324.3,1.1,1.0,1.0,0.4,1.0,3.0,24.5,391.3,1.1,1,1,0.4,1,3,67.0,7.0,564.0,272.0,14.0,1459.0,SF,83.0,10,12,5,56,0,100,63,0,100,1,1.0,1,63,62.4,34,60.7,17,53.1,16,22.9,8,30.8
CHRISTOPHER BROOKS,2.6,0.0,0.0,0.0,4.8,0.0,26.5,0.0,10.6,123.8,105.0,130.0,14.1,10.0,146.0,2.6,10.6,129.5,108,133,15.2,10,149,0.0,0.0,0.0,19.0,0.0,106.0,MIA,0.0,6,5,19,0,75,0,0,75,0,0,500.0,500,2,2.2,2,3.4,0,0.0,0,0.0,0,0.0
CHRISTOPHER RODRIGUEZ,3.3,0.2,0.0,1.1,4.6,0.2,22.5,0.2,35.9,86.0,70.0,82.0,6.6,8.0,111.0,3.4,37.9,85.7,68,82,7.3,8,114,2.0,0.0,12.0,51.0,2.0,247.0,WAS,2.0,16,9,28,0,90,10,0,90,10,3,500.0,500,7,12.5,4,15.4,3,20.0,0,0.0,0,0.0
CHUBA HUBBARD,8.4,2.3,0.0,13.7,14.0,0.3,53.1,2.6,143.5,43.5,29.0,43.0,5.5,6.0,55.0,10.7,182.5,43.8,31,42,5.1,6,55,39.0,0.0,233.0,238.0,5.0,902.0,CAR,44.0,32,31,27,6,19,38,6,19,50,2,135.5,185,33,57.9,17,58.6,8,50.0,1,2.8,0,0.0
CJ HAM,0.2,0.4,0.0,1.5,0.1,0.0,0.4,0.5,3.2,151.0,142.0,164.0,7.0,11.0,159.0,0.6,10.2,134.7,127,156,10.1,10,149,7.0,0.0,25.0,1.0,0.0,7.0,MIN,9.0,26,16,30,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CLYDE EDWARDS-HELAIRE,3.5,1.1,0.1,12.5,4.7,0.1,14.9,1.5,53.1,67.9,51.0,63.0,6.4,7.0,92.0,4.7,70.1,65.3,50,59,7.2,7,94,17.0,1.0,188.0,70.0,1.0,223.0,KC,22.0,3,6,11,0,71,14,0,71,14,2,198.0,500,7,9.7,5,13.2,2,11.1,5,5.7,5,10.4
CODY SCHRADER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.5,96.0,123.0,8.9,10.0,116.0,0.0,0.0,114.0,100,126,7.8,10,123,0.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,10,12,5,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CORDARRELLE PATTERSON,2.0,0.6,0.1,2.7,3.6,0.0,12.9,0.9,27.9,87.6,66.0,88.0,8.2,8.0,103.0,2.6,36.9,84.4,61,84,8.4,8,102,9.0,1.0,38.0,50.0,0.0,181.0,PIT,12.0,17,23,4,0,75,0,0,92,0,3,500.0,500,7,8.9,5,13.9,2,18.2,2,3.7,1,3.6
CRAIG REYNOLDS,1.6,0.3,0.0,3.1,2.7,0.1,11.9,0.3,24.6,97.0,85.0,105.0,8.7,9.0,120.0,2.0,29.6,102.2,89,106,10.3,9,137,5.0,0.0,47.0,41.0,1.0,179.0,DET,5.0,14,11,18,0,79,7,0,79,7,3,500.0,500,6,5.7,5,8.2,2,6.9,0,0.0,0,0.0
DAIJUN EDWARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.8,109.0,136.0,15.5,10.0,148.0,0.0,0.0,121.4,109,132,6.5,10,127,0.0,0.0,0.0,0.0,0.0,0.0,PIT,0.0,17,23,4,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DALVIN COOK,1.7,1.0,0.0,5.2,4.5,0.0,14.3,1.3,25.2,88.2,72.0,97.0,9.2,8.0,112.0,2.7,40.2,93.2,73,98,11.1,8,116,15.0,0.0,78.0,67.0,0.0,214.0,FA,20.0,33,33,33,0,93,0,0,93,0,0,500.0,500,8,21.6,2,13.3,0,0.0,0,0.0,0,0.0
DAMEON PIERCE,5.0,0.9,0.0,7.2,10.4,0.1,29.7,1.2,69.7,57.6,49.0,57.0,4.5,7.0,75.0,5.9,82.7,60.0,50,57,5.3,7,78,13.0,0.0,101.0,145.0,2.0,416.0,HOU,17.0,2,3,21,0,46,31,0,54,15,2,188.5,500,22,28.6,14,32.6,8,34.8,1,1.5,0,0.0
