,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
ADAM TRAUTMAN,2.3,1.3,0.2,12.0,0.0,0.0,0.0,2.1,38.4,54.4,45.0,57.0,6.3,7.0,71.0,3.6,60.4,54.9,45,57,6.3,7,71,22.0,3.0,204.0,0.0,0.0,0.0,DEN,35.0,30,25,30,0,81,19,0,81,6,2,500.0,500,0,0.0,0,0.0,0,0.0,13,20.0,9,25.7
AJ BARNER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4,51.0,68.0,6.9,7.0,69.0,0.0,0.0,58.9,51,68,7.0,7,70,0.0,0.0,0.0,0.0,0.0,0.0,SEA,0.0,27,29,18,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ALBERT OKWUEGBUNAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,103.3,86.0,94.0,13.6,9.0,118.0,0.0,0.0,99.0,85,90,13.7,8,119,0.0,0.0,0.0,0.0,0.0,0.0,PHI,1.0,31,30,24,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ANDREW BECK,1.9,0.7,0.1,3.7,0.3,0.1,0.2,0.9,27.8,138.5,136.0,146.0,2.5,10.0,141.0,2.6,38.8,137.5,135,146,2.5,10,140,11.0,2.0,55.0,5.0,1.0,3.0,HOU,13.0,7,1,32,0,79,7,0,93,0,5,500.0,500,3,3.9,3,7.0,3,13.0,4,5.9,3,8.3
ANDREW OGLETREE,2.2,0.8,0.2,12.3,0.0,0.0,0.0,1.8,26.7,86.3,79.0,93.0,5.2,9.0,90.0,3.0,35.7,85.3,78,93,5.4,9,91,9.0,2.0,147.0,0.0,0.0,0.0,IND,21.0,21,24,7,0,83,17,0,83,8,0,500.0,500,0,0.0,0,0.0,0,0.0,2,3.4,2,8.0
ANTHONY FIRKSER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,101.0,133.0,16.0,10.0,133.0,0.0,0.0,124.0,121,135,3.0,10,127,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,0.0,28,21,31,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AUSTIN HOOPER,1.4,1.5,0.0,13.8,0.0,0.0,0.0,1.8,23.4,56.6,45.0,60.0,8.4,7.0,70.0,2.8,48.4,55.5,43,59,8.5,7,69,25.0,0.0,234.0,0.0,0.0,0.0,NE,31.0,14,20,12,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,3,4.2,1,2.9
BEN SIMS,0.5,0.3,0.1,1.3,0.0,0.0,0.0,0.4,8.1,124.3,103.0,127.0,15.3,10.0,138.0,0.8,12.1,126.0,108,129,13.1,10,139,4.0,1.0,21.0,0.0,0.0,0.0,GB,6.0,8,9,15,0,92,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,2,2.2,1,2.7
BEN SINNOTT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,16.0,26.0,5.6,4.0,44.0,0.0,0.0,26.2,15,24,5.2,4,42,0.0,0.0,0.0,0.0,0.0,0.0,WAS,0.0,16,15,20,0,0,0,0,0,0,1,199.5,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BLAKE BELL,0.4,0.3,0.1,1.5,0.0,0.0,0.0,0.5,6.6,144.5,144.0,149.0,0.5,10.0,145.0,0.7,11.6,136.5,136,145,0.5,10,137,5.0,1.0,26.0,0.0,0.0,0.0,FA,9.0,33,33,33,0,92,8,0,92,0,0,500.0,500,0,0.0,0,0.0,0,0.0,1,1.1,1,2.1
BRAYDEN WILLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,117.0,138.0,4.0,10.0,125.0,0.0,0.0,119.0,119,132,0.0,10,119,0.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,12,7,22,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BRENTON STRANGE,0.7,0.4,0.1,2.5,0.0,0.0,0.0,0.6,9.5,73.8,61.0,80.0,9.0,8.0,88.0,1.0,14.5,74.6,61,81,8.9,8,88,5.0,1.0,35.0,0.0,0.0,0.0,JAC,9.0,19,10,25,0,91,9,0,91,9,2,500.0,500,0,0.0,0,0.0,0,0.0,4,6.3,3,10.0
BREVIN JORDAN,2.6,1.3,0.2,16.8,0.0,0.0,0.0,1.6,33.9,48.6,40.0,48.0,6.9,6.0,65.0,3.9,50.9,53.0,44,48,7.8,6,70,17.0,2.0,219.0,0.0,0.0,0.0,HOU,21.0,7,1,32,0,75,25,0,75,0,3,500.0,500,0,0.0,0,0.0,0,0.0,2,2.9,1,2.8
BREVYN SPANN-FORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,85.0,118.0,24.7,9.0,145.0,0.0,0.0,115.0,91,113,20.9,9,142,0.0,0.0,0.0,0.0,0.0,0.0,DAL,0.0,29,28,21,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BROCK BOWERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,6.0,11.0,2.6,3.0,20.0,0.0,0.0,11.6,6,11,2.2,3,17,0.0,0.0,0.0,0.0,0.0,0.0,LV,0.0,10,18,9,0,0,0,0,0,0,1,96.5,108,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
