PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
JUSTIN TUCKER,BAL,1,4,1.5,0.7
BRANDON AUBREY,DAL,1,5,1.8,0.8
HARRISON BUTKER,KC,3,11,4.6,1.8
JASON SANDERS,MIA,3,13,5.6,2.6
TYLER BASS,BUF,3,13,7.2,2.0
KAIMI FAIRBAIRN,HOU,3,13,6.3,2.9
JAKE MOODY,SF,3,17,7.1,2.8
JAKE ELLIOTT,PHI,3,21,7.4,3.4
YOUNGHOE KOO,ATL,3,17,8.9,2.7
EVAN MCPHERSON,CIN,5,14,9.3,1.9
CAMERON DICKER,LAC,8,16,11.6,1.7
MATT GAY,IND,7,16,12.6,1.9
DUSTIN HOPKINS,CLE,10,23,13.9,4.2
CAIRO SANTOS,CHI,12,17,14.5,1.3
JASON MYERS,SEA,11,29,15.6,3.4
GREG ZUERLEIN,NYJ,4,22,16.7,3.7
DANIEL CARLSON,LV,12,23,16.8,2.3
BLAKE GRUPE,NO,14,21,17.4,1.4
MICHAEL BADGLEY,DET,4,25,19.2,5.6
CHRIS BOSWELL,PIT,3,26,20.6,3.9
WIL LUTZ,DEN,6,27,20.6,3.8
CHASE MCLAUGHLIN,TB,9,30,20.6,4.8
EDDY PINEIRO,CAR,7,29,23.6,5.0
MATT PRATER,ARI,11,30,23.5,4.7
GREG JOSEPH,GB,8,32,23.1,5.0
GRAHAM GANO,NYG,9,32,25.9,5.0
BRANDON MCMANUS,FA,5,81,22.9,14.6
ANDERS CARLSON,GB,10,35,24.8,5.4
NICK FOLK,TEN,25,31,28.1,2.3
JOSHUA KARTY,LAR,18,82,31.0,16.9
WILL REICHARD,MIN,22,37,29.1,4.5
CAM LITTLE,JAC,23,83,33.2,16.1
JOEY SLYE,NE,27,36,31.6,2.7
CHAD RYLAND,NE,28,38,31.1,2.8
RILEY PATTERSON,JAC,24,37,30.3,4.2
AUSTIN SEIBERT,NYJ,25,34,29.6,3.0
CADE YORK,CLE,27,35,30.8,3.0
BRETT MAHER,FA,29,45,33.6,5.8
JAKE BATES,DET,13,43,28.0,15.0
RAMIZ AHMED,WAS,27,34,30.5,3.5
RANDY BULLOCK,FA,28,44,37.0,6.7
