POS_RK,POS_TIERS,PLAYER NAME,TEAM,AVG_FAN PTS,AVG_PASS_COMP,AVG_PASS_ATT,AVG_PASS_PCT,AVG_YDS,AVG_PASS_TDS,AVG_PASS_INT,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS,AVG_SACK
1,1,JOSH ALLEN,BUF,24.2,22.6,34.1,66%,253.3,1.7,1.1,6.5,30.8,0.9,1.4
2,1,JALEN HURTS,PHI,21.9,20.7,31.6,65%,226.9,1.4,0.9,9.2,35.6,0.9,2.1
3,1,PATRICK MAHOMES,KC,18.4,25.1,37.3,67%,261.4,1.7,0.9,4.7,24.3,0.0,1.7
4,1,LAMAR JACKSON,BAL,21.1,19.2,28.6,67%,229.9,1.5,0.4,9.3,51.3,0.3,2.3
5,2,CJ STROUD,HOU,18.7,21.3,33.3,64%,273.9,1.5,0.3,2.6,11.1,0.2,2.5
6,2,ANTHONY RICHARDSON,IND,18.4,12.5,21.0,60%,144.3,0.8,0.3,6.3,34.0,1.0,1.8
7,2,JOE BURROW,CIN,15.3,24.4,36.5,67%,230.9,1.5,0.6,3.1,8.8,0.0,2.4
8,2,DAK PRESCOTT,DAL,20.7,24.1,34.7,69%,265.6,2.1,0.5,3.2,14.2,0.1,2.3
9,2,KYLER MURRAY,ARI,18.9,22.0,33.5,66%,224.9,1.3,0.6,5.5,30.5,0.4,2.3
10,3,JORDAN LOVE,GB,19.4,21.9,34.1,64%,244.6,1.9,0.6,2.9,14.5,0.2,1.8
11,3,BROCK PURDY,SF,19.2,19.3,27.8,69%,267.5,1.9,0.7,2.4,9.0,0.1,1.8
12,3,TUA TAGOVAILOA,MIA,16.7,22.8,32.9,69%,272.0,1.7,0.8,2.1,4.4,0.0,1.7
13,3,JAYDEN DANIELS,WAS,0,0,0,0,0,0,0,0,0,0,0
14,3,JARED GOFF,DET,17.8,23.9,35.6,67%,269.1,1.8,0.7,1.9,1.2,0.1,1.8
15,3,CALEB WILLIAMS,CHI,0,0,0,0,0,0,0,0,0,0,0
16,3,JUSTIN HERBERT,LAC,18.5,22.8,35.1,65%,241.1,1.5,0.5,4.0,17.5,0.2,2.2
17,3,TREVOR LAWRENCE,JAC,17.3,23.1,35.3,66%,251.0,1.3,0.9,4.4,21.2,0.3,2.2
18,4,KIRK COUSINS,ATL,19.3,27.0,38.9,69%,291.4,2.3,0.6,1.8,3.1,0.0,2.1
19,4,MATTHEW STAFFORD,LAR,16.9,21.7,34.7,63%,264.3,1.6,0.7,1.4,4.3,0.0,2.0
20,4,AARON RODGERS,NYJ,0.0,0.0,1.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,4,DESHAUN WATSON,CLE,15.1,17.5,28.5,61%,185.8,1.2,0.7,4.3,23.7,0.2,2.8
22,4,BAKER MAYFIELD,TB,16.7,21.4,33.3,64%,237.9,1.6,0.6,3.6,9.6,0.1,2.4
23,4,GENO SMITH,SEA,15.7,21.5,33.3,65%,241.6,1.3,0.6,2.5,10.3,0.1,2.1
24,4,WILL LEVIS,TEN,11.8,16.6,28.3,58%,200.9,0.9,0.4,2.8,6.3,0.1,3.1
25,4,DEREK CARR,NO,14.7,22.1,32.2,68%,228.1,1.5,0.5,1.9,2.4,0.0,1.8
26,5,JJ MCCARTHY,MIN,0,0,0,0,0,0,0,0,0,0,0
27,5,DANIEL JONES,NYG,10.5,18.0,26.7,68%,151.5,0.3,1.0,6.7,34.3,0.2,5.0
28,5,BRYCE YOUNG,CAR,10.4,19.7,32.9,60%,179.8,0.7,0.6,2.4,15.8,0.0,3.9
29,5,RUSSELL WILSON,PIT,17.7,19.8,29.8,66%,204.7,1.7,0.5,5.3,22.7,0.2,3.0
30,5,DRAKE MAYE,NE,0,0,0,0,0,0,0,0,0,0,0
31,5,BO NIX,DEN,0,0,0,0,0,0,0,0,0,0,0
32,5,JUSTIN FIELDS,PIT,18.4,17.5,28.5,61%,197.1,1.2,0.7,9.5,50.5,0.3,3.4
33,5,GARDNER MINSHEW,LV,12.8,19.1,30.6,62%,206.6,0.9,0.6,2.1,6.3,0.2,2.1
34,5,SAM DARNOLD,MIN,2.4,2.8,4.6,61%,29.7,0.2,0.1,2.1,1.5,0.1,0.6
