POS_RK,POS_TIERS,PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
1,1,JOSH ALLEN,BUF,1,4,1.5,0.8
2,1,JALEN HURTS,PHI,1,4,2.2,0.8
3,1,PATRICK MAHOMES,KC,1,7,3.4,1.2
4,1,LAMAR JACKSON,BAL,1,6,3.4,1.0
5,2,ANTHONY RICHARDSON,IND,3,12,5.8,1.5
6,2,CJ STROUD,HOU,4,12,6.2,1.5
7,2,JOE BURROW,CIN,5,11,7.8,1.4
8,2,DAK PRESCOTT,DAL,3,13,8.0,2.0
9,2,KYLER MURRAY,ARI,4,16,8.7,2.2
10,3,JORDAN LOVE,GB,5,15,10.1,1.9
11,3,BROCK PURDY,SF,8,16,11.6,1.8
12,3,JAYDEN DANIELS,WAS,9,31,13.7,4.2
13,3,TUA TAGOVAILOA,MIA,10,19,14.2,2.2
14,3,JARED GOFF,DET,11,20,14.4,2.0
15,3,CALEB WILLIAMS,CHI,8,28,14.9,3.0
16,3,TREVOR LAWRENCE,JAC,9,19,15.2,2.5
17,3,JUSTIN HERBERT,LAC,10,22,15.6,2.7
18,4,KIRK COUSINS,ATL,11,23,17.3,2.4
19,4,MATTHEW STAFFORD,LAR,14,25,18.8,1.9
20,4,AARON RODGERS,NYJ,15,27,20.3,2.1
21,4,DESHAUN WATSON,CLE,10,28,20.9,2.8
22,4,BAKER MAYFIELD,TB,18,26,22.2,1.5
23,4,GENO SMITH,SEA,18,27,22.7,2.0
24,4,WILL LEVIS,TEN,20,30,24.3,1.9
25,4,DEREK CARR,NO,20,30,25.8,1.9
26,4,DANIEL JONES,NYG,19,33,25.9,2.8
27,4,BRYCE YOUNG,CAR,24,32,27.4,1.9
28,5,RUSSELL WILSON,PIT,21,33,27.6,2.4
29,5,JJ MCCARTHY,MIN,20,37,28.8,3.0
30,5,DRAKE MAYE,NE,25,36,30.4,2.2
31,5,BO NIX,DEN,22,38,30.4,2.8
32,5,JUSTIN FIELDS,PIT,9,38,32.2,3.7
33,5,GARDNER MINSHEW,LV,25,39,32.1,2.4
34,5,SAM DARNOLD,MIN,28,39,33.6,1.6
35,5,AIDAN OCONNELL,LV,28,38,34.9,1.9
36,5,JACOBY BRISSETT,NE,30,40,34.9,2.0
37,5,MICHAEL PENIX,ATL,32,69,37.2,5.2
38,6,SAM HOWELL,SEA,31,45,38.1,2.6
