POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS,PASS_COMP,PASS_ATT,PASS_PCT,YDS,PASS_TDS,PASS_INT,RUSH_ATT,RUSH_YDS,RUSH_TDS,SACK
1,1,JOSH ALLEN,BUF,410.6,385,579,66%,4306,29,18,111,524,15,24
2,1,JALEN HURTS,PHI,371.8,352,538,65%,3858,23,15,157,605,15,36
3,1,PATRICK MAHOMES,KC,294.2,401,597,67%,4183,27,14,75,389,0,27
4,1,LAMAR JACKSON,BAL,338.2,307,457,67%,3678,24,7,148,821,5,37
5,2,ANTHONY RICHARDSON,IND,73.7,50,84,60%,577,3,1,25,136,4,7
6,2,CJ STROUD,HOU,280,319,499,64%,4108,23,5,39,167,3,38
7,2,JOE BURROW,CIN,153.2,244,365,67%,2309,15,6,31,88,0,24
8,2,DAK PRESCOTT,DAL,351.8,410,590,69%,4516,36,9,55,242,2,39
9,2,KYLER MURRAY,ARI,151.4,176,268,66%,1799,10,5,44,244,3,18
10,3,JORDAN LOVE,GB,330.1,372,579,64%,4159,32,11,50,247,4,30
11,3,BROCK PURDY,SF,306.6,308,444,69%,4280,31,11,39,144,2,28
12,3,JAYDEN DANIELS,WAS,0,0,0,0,0,0,0,0,0,0,0
13,3,TUA TAGOVAILOA,MIA,284.4,388,560,69%,4624,29,14,35,74,0,29
14,3,JARED GOFF,DET,303.1,407,605,67%,4575,30,12,32,21,2,30
15,3,CALEB WILLIAMS,CHI,0,0,0,0,0,0,0,0,0,0,0
16,3,TREVOR LAWRENCE,JAC,276.5,370,564,66%,4016,21,14,70,339,4,35
17,3,JUSTIN HERBERT,LAC,240.2,297,456,65%,3134,20,7,52,228,3,29
18,4,KIRK COUSINS,ATL,154.7,216,311,69%,2331,18,5,14,25,0,17
19,4,MATTHEW STAFFORD,LAR,254.1,326,521,63%,3965,24,11,21,65,0,30
20,4,AARON RODGERS,NYJ,0,0,1,0%,0,0,0,0,0,0,1
21,4,DESHAUN WATSON,CLE,90.8,105,171,61%,1115,7,4,26,142,1,17
22,4,BAKER MAYFIELD,TB,284.1,364,566,64%,4044,28,10,62,163,1,40
23,4,GENO SMITH,SEA,235.3,323,499,65%,3624,20,9,37,155,1,31
24,4,WILL LEVIS,TEN,106,149,255,58%,1808,8,4,25,57,1,28
25,4,DEREK CARR,NO,249.1,375,548,68%,3878,25,8,32,40,0,31
26,4,DANIEL JONES,NYG,63,108,160,68%,909,2,6,40,206,1,30
27,4,BRYCE YOUNG,CAR,166.4,315,527,60%,2877,11,10,39,253,0,62
28,5,RUSSELL WILSON,PIT,264.9,297,447,66%,3070,26,8,80,341,3,45
29,5,JJ MCCARTHY,MIN,0,0,0,0,0,0,0,0,0,0,0
30,5,DRAKE MAYE,NE,0,0,0,0,0,0,0,0,0,0,0
31,5,BO NIX,DEN,0,0,0,0,0,0,0,0,0,0,0
32,5,JUSTIN FIELDS,PIT,239.2,227,370,61%,2562,16,9,124,657,4,44
33,5,GARDNER MINSHEW,LV,205.2,305,490,62%,3305,15,9,34,100,3,34
34,5,SAM DARNOLD,MIN,24.4,28,46,61%,297,2,1,21,15,1,6
35,5,AIDAN OCONNELL,LV,132.8,213,343,62%,2218,12,7,17,11,1,24
36,5,JACOBY BRISSETT,NE,22.9,18,23,78%,224,3,0,3,19,0,0
37,5,MICHAEL PENIX,ATL,0,0,0,0,0,0,0,0,0,0,0
38,6,SAM HOWELL,SEA,277.5,388,612,63%,3946,21,21,48,263,5,65
39,6,DREW LOCK,NYG,32.1,48,76,63%,543,3,3,5,14,0,6
40,6,JOE FLACCO,IND,108.8,123,204,60%,1616,13,8,9,2,0,8
41,6,KENNY PICKETT,PHI,114.2,201,324,62%,2070,6,4,42,54,1,23
42,6,JARRETT STIDHAM,DEN,27.6,40,66,61%,496,2,1,9,8,0,7
43,6,JAMEIS WINSTON,CLE,15,25,47,53%,264,2,3,5,-6,0,2
44,6,JAKE BROWNING,CIN,150.4,171,243,70%,1936,12,7,27,127,3,24
45,6,MAC JONES,JAC,118.4,224,345,65%,2120,10,12,26,96,0,22
46,6,TYROD TAYLOR,NYJ,90.3,116,180,64%,1341,5,3,38,197,0,17
47,6,JIMMY GAROPPOLO,LAR,73.1,110,169,65%,1205,7,9,20,39,0,14
48,6,ZACH WILSON,DEN,126.9,221,368,60%,2271,8,7,36,211,0,46
49,7,JOSHUA DOBBS,SF,210.7,262,417,63%,2464,13,10,77,421,6,30
50,7,MARCUS MARIOTA,WAS,12.8,15,23,65%,164,1,1,8,52,0,3
51,7,ANDY DALTON,CAR,23.6,34,58,59%,361,2,0,3,12,0,3
52,7,DESMOND RIDDER,ARI,188.1,249,388,64%,2836,12,12,53,193,5,31
53,7,SPENCER RATTLER,NO,0,0,0,0,0,0,0,0,0,0,0
54,7,TREY LANCE,DAL,0,0,0,0,0,0,0,0,0,0,0
55,7,CARSON WENTZ,KC,27.1,17,24,71%,163,2,1,17,56,1,2
56,7,HENDON HOOKER,DET,0,0,0,0,0,0,0,0,0,0,0
57,7,MIKE WHITE,MIA,3.1,5,6,83%,74,1,1,8,-9,0,0
58,7,KYLE TRASK,TB,-0.1,0,1,0%,0,0,0,1,-1,0,0
59,7,MASON RUDOLPH,TEN,39.6,55,74,74%,719,3,0,10,8,0,6
60,7,TYSON BAGENT,CHI,59.3,94,143,66%,859,3,6,23,109,2,5
61,7,MALIK WILLIS,TEN,3.1,4,5,80%,74,0,0,5,21,0,4
62,7,DAVIS MILLS,HOU,17.8,18,39,46%,173,2,0,2,9,0,2
63,7,RYAN TANNEHILL,FA,87,149,230,65%,1616,4,7,17,74,1,32
64,7,MITCHELL TRUBISKY,BUF,53.7,67,107,63%,632,4,5,16,54,2,7
65,7,JOSH JOHNSON,BAL,0,0,0,0,0,0,0,0,0,0,0
66,7,EASTON STICK,LAC,68.1,111,174,64%,1129,3,1,27,144,1,14
67,7,TAYLOR HEINICKE,ATL,70,74,136,54%,890,5,4,15,124,1,8
68,7,SEAN CLIFFORD,GB,1.3,1,1,100%,37,0,0,3,-2,0,0
69,8,TYLER HUNTLEY,CLE,25.6,21,37,57%,203,3,0,15,55,0,4
70,8,MICHAEL PRATT,GB,0,0,0,0,0,0,0,0,0,0,0
71,8,DORIAN THOMPSON-ROBINSON,CLE,26.1,60,112,54%,440,1,4,14,65,0,6
