POS_RK,POS_TIERS,PLAYER NAME,TEAM,AVG_FAN PTS
1,1,CHRISTIAN MCCAFFREY,SF,20.3
2,1,BREECE HALL,NYJ,12.6
3,1,BIJAN ROBINSON,ATL,11.1
4,1,JONATHAN TAYLOR,IND,13.7
5,2,SAQUON BARKLEY,PHI,13.0
6,2,JAHMYR GIBBS,DET,12.7
7,2,KYREN WILLIAMS,LAR,18.6
8,2,DERRICK HENRY,BAL,12.9
9,2,TRAVIS ETIENNE,JAC,13.2
10,3,ISIAH PACHECO,KC,12.1
11,3,JOSH JACOBS,GB,11.1
12,3,DEVON ACHANE,MIA,14.9
13,3,KENNETH WALKER,SEA,11.4
14,3,JOE MIXON,HOU,12.6
15,3,RACHAAD WHITE,TB,12.0
16,3,JAMES COOK,BUF,11.1
17,4,DAVID MONTGOMERY,DET,13.7
18,4,AARON JONES,MIN,9.5
19,4,ALVIN KAMARA,NO,12.2
20,4,JAMES CONNER,ARI,13.4
21,4,NAJEE HARRIS,PIT,9.8
22,4,ZAMIR WHITE,LV,3.9
23,4,RHAMONDRE STEVENSON,NE,9.0
24,4,RAHEEM MOSTERT,MIA,16.2
25,4,DANDRE SWIFT,CHI,10.0
26,5,TONY POLLARD,TEN,9.9
27,5,BRIAN ROBINSON,WAS,10.8
28,5,ZACK MOSS,CIN,10.2
29,5,NICK CHUBB,CLE,9.6
30,5,JAVONTE WILLIAMS,DEN,8.3
31,5,GUS EDWARDS,LAC,10.3
32,5,DEVIN SINGLETARY,NYG,8.1
33,5,JAYLEN WARREN,PIT,8.0
34,5,AUSTIN EKELER,WAS,9.6
35,5,TYJAE SPEARS,TEN,6.0
36,5,JONATHON BROOKS,CAR,0
37,6,EZEKIEL ELLIOTT,DAL,7.3
38,6,TREY BENSON,ARI,0
39,6,JEROME FORD,CLE,9.8
40,6,CHASE BROWN,CIN,3.3
41,6,ZACH CHARBONNET,SEA,4.6
42,6,BLAKE CORUM,LAR,0
43,6,CHUBA HUBBARD,CAR,8.4
44,6,TYLER ALLGEIER,ATL,7.0
45,6,ANTONIO GIBSON,NE,5.0
46,6,KENDRE MILLER,NO,4.2
47,6,TY CHANDLER,MIN,5.0
48,6,KHALIL HERBERT,CHI,7.7
49,6,RICO DOWDLE,DAL,4.7
50,7,JALEEL MCLAUGHLIN,DEN,4.4
51,7,ROSCHON JOHNSON,CHI,4.5
52,7,MARSHAWN LLOYD,GB,0
53,7,JK DOBBINS,LAC,9.7
54,7,ELIJAH MITCHELL,SF,3.8
55,7,DAMEON PIERCE,HOU,5.0
56,7,KINGSTON DAVIS,BUF,0
57,7,JAYLEN WRIGHT,MIA,0
58,7,ALEXANDER MATTISON,LV,6.5
59,7,KEATON MITCHELL,BAL,8.7
60,7,AJ DILLON,GB,6.4
61,7,DONTA FOREMAN,CLE,8.9
62,7,KENNY GAINWELL,PHI,4.2
63,7,MILES SANDERS,CAR,3.8
64,7,MARKEISE IRVING,TB,0
65,7,BRAELON ALLEN,NYJ,0
66,7,AUDRIC ESTIME,DEN,0
67,7,CLYDE EDWARDS-HELAIRE,KC,3.5
68,7,CARTAVIOUS BIGSBY,JAC,1.4
69,7,JAMAAL WILLIAMS,NO,3.3
70,8,JUSTICE HILL,BAL,5.1
71,8,KIMANI VIDAL,LAC,0
72,8,SAMAJE PERINE,DEN,4.2
73,8,TYRONE TRACY,NYG,0
74,8,WILL SHIPLEY,PHI,0
75,8,DEUCE VAUGHN,DAL,1.1
76,8,JEFFERY WILSON,MIA,2.7
77,8,EVAN HULL,IND,0.7
78,8,MICHAEL CARTER,ARI,2.3
79,8,CHRISTOPHER RODRIGUEZ,WAS,3.3
80,8,ISRAEL ABANIKANDA,NYJ,1.3
81,8,ISAAC GUERENDO,SF,0
82,8,JORDAN MASON,SF,2.6
83,8,DERNEST JOHNSON,JAC,1.5
84,8,TREY SERMON,IND,1.4
85,8,CHASE EDMONDS,TB,2.0
86,8,PIERRE STRONG,CLE,2.2
87,8,KAREEM HUNT,FA,6.9
88,8,CORDARRELLE PATTERSON,PIT,2.0
89,8,DYLAN LAUBE,LV,0
90,8,EMARI DEMERCADO,ARI,3.7
91,9,RONNIE RIVERS,LAR,1.7
92,9,ERIC GRAY,NYG,0.5
93,9,CAM AKERS,MIN,5.1
94,9,JERICK MCKINNON,FA,5.0
95,9,ISAIAH SPILLER,LAC,1.4
96,9,RASHAAD PENNY,CAR,1.3
97,9,DALVIN COOK,FA,1.7
98,9,SALVON AHMED,MIA,3.0
99,9,JOSHUA KELLEY,FA,3.2
100,9,MATT BREIDA,FA,1.8
101,9,RASHEEN ALI,BAL,0
102,10,CRAIG REYNOLDS,DET,1.6
103,10,ROYCE FREEMAN,DAL,4.1
104,10,KEAONTAY INGRAM,KC,1.4
105,10,ISAIAH DAVIS,NYJ,0
106,10,TY JOHNSON,BUF,2.8
107,10,LATAVIUS MURRAY,FA,4.1
