PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS
1,1,CHRISTIAN MCCAFFREY,SF,24.5,17.0,91.2,0.9,5.2,4.2,35.3,0.4
2,1,BIJAN ROBINSON,ATL,14.5,12.6,57.4,0.2,5.1,3.4,28.6,0.2
3,1,BREECE HALL,NYJ,17.1,13.1,58.5,0.3,5.6,4.5,34.8,0.2
4,2,JAHMYR GIBBS,DET,16.1,12.1,63.0,0.7,4.7,3.5,21.1,0.1
5,2,JONATHAN TAYLOR,IND,15.6,16.9,74.1,0.7,2.3,1.9,15.3,0.1
6,2,SAQUON BARKLEY,PHI,15.9,17.6,68.7,0.4,4.3,2.9,20.0,0.3
7,2,TRAVIS ETIENNE,JAC,16.6,15.7,59.3,0.6,4.3,3.4,28.0,0.1
8,3,KYREN WILLIAMS,LAR,21.3,19.0,95.3,1.0,4.0,2.7,17.2,0.3
9,3,ISIAH PACHECO,KC,15.3,14.6,66.8,0.5,3.5,3.1,17.4,0.1
10,3,RACHAAD WHITE,TB,15.8,16.0,58.2,0.4,4.1,3.8,32.3,0.2
11,3,DEVON ACHANE,MIA,17.3,9.4,72.7,0.7,3.4,2.5,17.9,0.3
12,3,DERRICK HENRY,BAL,14.5,16.5,68.6,0.7,2.1,1.6,12.6,0.0
13,3,JAMES COOK,BUF,13.7,13.9,66.0,0.1,3.2,2.6,26.2,0.2
14,3,JOSH JACOBS,GB,13.9,17.9,61.9,0.5,4.2,2.8,22.8,0.0
15,3,ALVIN KAMARA,NO,17.9,13.8,53.4,0.4,6.6,5.8,35.8,0.1
16,3,JOE MIXON,HOU,15.7,15.1,60.8,0.5,3.8,3.1,22.1,0.2
17,3,KENNETH WALKER,SEA,13.3,14.6,60.3,0.5,2.5,1.9,17.3,0.1
18,4,AARON JONES,MIN,12.3,12.9,59.6,0.2,3.9,2.7,21.2,0.1
19,4,RHAMONDRE STEVENSON,NE,12.1,13.0,51.6,0.3,4.3,3.2,19.8,0.0
20,4,JAMES CONNER,ARI,15.5,16.0,80.0,0.5,2.5,2.1,12.7,0.2
21,4,DAVID MONTGOMERY,DET,14.8,15.6,72.5,0.9,1.7,1.1,8.4,0.0
22,4,DANDRE SWIFT,CHI,12.5,14.3,65.6,0.3,3.1,2.4,13.4,0.1
23,4,ZAMIR WHITE,LV,4.9,6.9,30.1,0.1,1.3,1.0,6.5,0.0
24,4,JAYLEN WARREN,PIT,11.6,8.8,46.1,0.2,4.4,3.6,21.8,0.0
25,4,NAJEE HARRIS,PIT,11.5,15.0,60.9,0.5,2.2,1.7,10.0,0.0
26,4,TONY POLLARD,TEN,13.1,14.8,59.1,0.4,3.9,3.2,18.3,0.0
