PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
CHRISTIAN MCCAFFREY,SF,3,1.1,0.3,0
BREECE HALL,NYJ,4,2.3,0.6,+1
BIJAN ROBINSON,ATL,4,2.6,0.5,-1
JONATHAN TAYLOR,IND,11,5.0,1.4,+1
JAHMYR GIBBS,DET,7,5.0,1.0,-1
SAQUON BARKLEY,PHI,10,6.1,1.2,0
TRAVIS ETIENNE,JAC,12,7.9,1.6,+3
KYREN WILLIAMS,LAR,16,9.8,3.1,0
RACHAAD WHITE,TB,18,10.2,2.1,+6
ISIAH PACHECO,KC,17,10.7,2.1,+1
DEVON ACHANE,MIA,24,11.8,3.2,-4
JOSH JACOBS,GB,21,12.6,2.9,0
DERRICK HENRY,BAL,24,12.7,4.0,-4
ALVIN KAMARA,NO,20,13.5,3.8,+2
JAMES COOK,BUF,20,13.8,2.3,-2
JOE MIXON,HOU,23,14.9,2.6,-2
KENNETH WALKER,SEA,22,16.9,1.9,0
AARON JONES,MIN,24,18.2,2.7,0
RHAMONDRE STEVENSON,NE,28,20.0,2.7,+1
DAVID MONTGOMERY,DET,29,22.3,3.2,-1
JAMES CONNER,ARI,32,22.8,3.9,+6
DANDRE SWIFT,CHI,31,22.9,3.6,0
ZAMIR WHITE,LV,33,24.2,4.5,0
JAYLEN WARREN,PIT,37,25.2,4.2,0
NAJEE HARRIS,PIT,34,25.7,4.3,-4
JAVONTE WILLIAMS,DEN,40,26.2,4.1,+4
TONY POLLARD,TEN,36,26.2,4.0,+2
RAHEEM MOSTERT,MIA,41,29.1,4.8,0
TYJAE SPEARS,TEN,38,30.5,4.0,+3
AUSTIN EKELER,WAS,42,30.8,4.9,+9
BRIAN ROBINSON,WAS,37,30.9,3.5,+3
ZACK MOSS,CIN,44,31.5,5.6,-6
DEVIN SINGLETARY,NYG,43,31.9,3.6,0
NICK CHUBB,CLE,49,34.3,6.0,+10
JONATHON BROOKS,CAR,101,35.4,14.4,-10
EZEKIEL ELLIOTT,DAL,48,36.9,5.7,+4
GUS EDWARDS,LAC,49,37.6,3.9,-1
CHASE BROWN,CIN,73,38.6,6.3,-3
ZACH CHARBONNET,SEA,48,39.0,3.0,+2
JEROME FORD,CLE,55,39.1,4.7,-2
TREY BENSON,ARI,100,40.7,9.8,-10
ANTONIO GIBSON,NE,52,42.3,3.0,+7
CHUBA HUBBARD,CAR,55,43.6,5.0,+11
BLAKE CORUM,LAR,102,45.4,8.3,-7
KENDRE MILLER,NO,61,46.6,4.6,-3
TYLER ALLGEIER,ATL,62,48.3,4.1,+4
TY CHANDLER,MIN,64,46.4,4.9,-1
JALEEL MCLAUGHLIN,DEN,103,49.9,9.9,+4
KHALIL HERBERT,CHI,69,50.1,5.5,+6
RICO DOWDLE,DAL,61,48.1,4.9,-7
ROSCHON JOHNSON,CHI,66,51.0,5.7,+7
MARSHAWN LLOYD,GB,104,53.0,10.3,-7
JK DOBBINS,LAC,75,52.4,6.7,+3
ELIJAH MITCHELL,SF,70,58.0,4.7,+5
DAMEON PIERCE,HOU,75,58.9,4.9,+7
KINGSTON DAVIS,BUF,107,59.5,12.4,-9
ALEXANDER MATTISON,LV,100,60.5,6.9,+12
JAYLEN WRIGHT,MIA,106,58.7,10.9,-10
KENNY GAINWELL,PHI,77,61.0,4.9,+19
MILES SANDERS,CAR,75,59.5,4.7,+24
AJ DILLON,GB,81,61.6,7.5,+12
KEATON MITCHELL,BAL,105,62.4,8.7,+3
MARKEISE IRVING,TB,108,63.7,10.0,-10
DONTA FOREMAN,CLE,77,65.8,4.5,-3
CLYDE EDWARDS-HELAIRE,KC,77,66.7,4.6,-2
JAMAAL WILLIAMS,NO,84,67.3,4.9,+15
