PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,TGT,REC,REC_YDS,REC_TDS
1,1,CHRISTIAN MCCAFFREY,SF,391.3,272,1459,14,83,67,564,7
2,1,BREECE HALL,NYJ,290.5,223,994,5,95,76,591,4
3,1,BIJAN ROBINSON,ATL,246.3,214,976,4,86,58,487,4
4,2,JONATHAN TAYLOR,IND,156.4,169,741,7,23,19,153,1
5,2,JAHMYR GIBBS,DET,242.1,182,945,10,71,52,316,1
6,2,SAQUON BARKLEY,PHI,223.2,247,962,6,60,41,280,4
7,2,TRAVIS ETIENNE,JAC,282.4,267,1008,11,73,58,476,1
8,3,KYREN WILLIAMS,LAR,255,228,1144,12,48,32,206,3
9,3,RACHAAD WHITE,TB,267.9,272,990,6,70,64,549,3
10,3,ISIAH PACHECO,KC,213.9,205,935,7,49,44,244,2
11,3,DEVON ACHANE,MIA,190.7,103,800,8,37,27,197,3
12,3,JOSH JACOBS,GB,181.1,233,805,6,54,37,296,0
13,3,DERRICK HENRY,BAL,246.7,280,1167,12,36,28,214,0
14,3,ALVIN KAMARA,NO,233,180,694,5,86,75,466,1
15,3,JAMES COOK,BUF,232.7,237,1122,2,54,44,445,4
16,3,JOE MIXON,HOU,267,257,1034,9,64,52,376,3
17,4,KENNETH WALKER,SEA,199.4,219,905,8,37,29,259,1
18,4,AARON JONES,MIN,134.9,142,656,2,43,30,233,1
19,4,RHAMONDRE STEVENSON,NE,145.7,156,619,4,51,38,238,0
20,4,DAVID MONTGOMERY,DET,207.2,219,1015,13,24,16,117,0
21,4,JAMES CONNER,ARI,201.5,208,1040,7,33,27,165,2
22,4,DANDRE SWIFT,CHI,199.3,229,1049,5,49,39,214,1
23,4,ZAMIR WHITE,LV,73.9,104,451,1,19,15,98,0
24,4,JAYLEN WARREN,PIT,196.4,149,784,4,74,61,370,0
25,5,NAJEE HARRIS,PIT,195.5,255,1035,8,38,29,170,0
26,5,JAVONTE WILLIAMS,DEN,179.2,217,774,3,58,47,228,2
27,5,TONY POLLARD,TEN,222.6,252,1005,6,67,55,311,0
28,5,RAHEEM MOSTERT,MIA,267.7,209,1012,18,32,25,175,3
29,5,TYJAE SPEARS,TEN,153.8,100,453,2,70,52,385,1
30,5,AUSTIN EKELER,WAS,185.4,179,628,5,74,51,436,1
31,5,BRIAN ROBINSON,WAS,198.1,178,733,5,43,36,368,4
32,5,ZACK MOSS,CIN,169.6,183,794,5,37,27,192,2
33,5,DEVIN SINGLETARY,NYG,167.3,216,898,4,38,30,193,0
34,5,NICK CHUBB,CLE,23.1,28,170,0,4,4,21,0
35,5,JONATHON BROOKS,CAR,0,0,0,0,0,0,0,0
36,6,EZEKIEL ELLIOTT,DAL,174.5,184,642,3,65,51,313,2
37,6,GUS EDWARDS,LAC,187,198,810,13,13,12,180,0
38,6,CHASE BROWN,CIN,53.5,44,179,0,15,14,156,1
39,6,ZACH CHARBONNET,SEA,106.1,108,462,1,40,33,209,0
40,6,JEROME FORD,CLE,211.2,204,813,4,63,44,319,5
41,6,TREY BENSON,ARI,0,0,0,0,0,0,0,0
42,6,ANTONIO GIBSON,NE,127.4,65,265,1,59,48,389,2
43,6,CHUBA HUBBARD,CAR,182.5,238,902,5,44,39,233,0
44,6,BLAKE CORUM,LAR,0,0,0,0,0,0,0,0
45,6,KENDRE MILLER,NO,43.3,41,156,1,11,10,117,0
46,6,TYLER ALLGEIER,ATL,137.6,186,683,4,23,18,193,1
47,6,TY CHANDLER,MIN,101,102,461,3,25,21,159,0
48,6,JALEEL MCLAUGHLIN,DEN,106,76,410,1,36,31,160,2
